车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2051,普快,大连,12:23,鞍山,当天16:19,16:22,牡丹江,05:28
2061,普快,大连,13:44,鞍山,当天17:58,18:02,加格达奇,13:56
2083,普快,大连,08:49,鞍山,当天12:39,12:42,海拉尔,09:22
2549,普快,北京,22:45,鞍山,第2日07:19,07:19,鞍山,07:19
2727,普快,大连,10:05,鞍山,当天13:54,13:58,绥芬河,06:33
2728,普快,绥芬河,16:05,鞍山,第2日07:08,07:11,大连,11:26
4215,普快,鞍山,07:40,鞍山,当天07:40,07:40,沈阳,09:05
4229,普快,营口,05:12,鞍山,当天06:53,06:56,沈阳,08:30
4230,普快,沈阳,17:13,鞍山,当天18:41,18:45,营口,20:28
K1259,快速,大连,22:07,鞍山,第2日01:54,01:57,齐齐哈尔,13:54
K1566/K1567,快速,包头,12:40,鞍山,第2日15:30,15:35,大连,19:49
K187/K190,快速,沈阳北,12:20,鞍山,当天13:51,13:55,上海,16:04
K188/K189,快速,上海,18:08,鞍山,第2日22:05,22:09,沈阳北,23:42
K2045/K2048,快速,沈阳北,08:00,鞍山,当天09:24,09:28,西安,14:44
K345/K348,快速,温州,18:20,鞍山,第3日06:43,06:46,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,鞍山,当天21:05,21:09,温州,11:40
K4709,快速,大连,22:38,鞍山,第2日02:25,02:29,牡丹江,15:50
K4710,快速,牡丹江,20:20,鞍山,第2日09:49,09:54,大连,14:13
K4831/K4834,快速,佳木斯,14:06,鞍山,第2日07:41,07:45,大连,12:02
K4832/K4833,快速,大连,15:53,鞍山,当天19:32,19:36,佳木斯,12:08
K5001,快速,大连,06:30,鞍山,当天10:57,11:01,白城,20:13
K5002,快速,白城,15:10,鞍山,当天23:53,23:58,大连,04:47
K549,快速,大连,17:02,鞍山,当天21:00,21:04,齐齐哈尔,07:50
K55/K58,快速,大连,11:45,鞍山,当天15:50,15:55,包头,12:16
K56/K57,快速,包头,18:18,鞍山,第2日14:59,15:04,大连,19:12
K7352/K7353,快速,赤峰,18:47,鞍山,第2日06:06,06:10,大连,10:08
K7369,快速,营口,12:32,鞍山,当天14:05,14:09,图们,07:40
K7370,快速,图们,17:00,鞍山,第2日09:36,09:39,营口,11:12
K7375,快速,大连,17:19,鞍山,当天21:21,21:25,吉林,06:26
K7376,快速,吉林,15:45,鞍山,第2日00:48,00:52,大连,05:41
K7381,快速,大连,13:16,鞍山,当天17:14,17:17,沈阳北,19:20
K7382,快速,沈阳北,06:52,鞍山,当天08:34,08:37,大连,12:46
K7385,快速,大连,16:25,鞍山,当天20:23,20:26,通化,07:07
K7386,快速,通化,17:33,鞍山,第2日03:55,03:58,大连,08:36
K7459/K7462,快速,大连,07:00,鞍山,当天11:12,11:16,通辽,18:20
K7460/K7461,快速,通辽,08:45,鞍山,当天15:48,15:51,大连,20:02
K7511,快速,大连,14:00,鞍山,当天18:09,18:14,白河,09:15
K7512,快速,白河,17:35,鞍山,第2日08:44,08:47,大连,12:58
K7527/K7530,快速,大连,20:49,鞍山,第2日00:23,00:26,珠斯花,11:06
K7528,快速,珠斯花,14:03,鞍山,第2日01:00,01:03,大连,05:33
K929,快速,大连,16:38,鞍山,当天20:39,20:42,佳木斯,11:59
K95,快速,北京,23:03,鞍山,第2日07:27,07:30,抚顺北,09:57
K96,快速,抚顺北,22:02,鞍山,第2日00:26,00:29,北京,11:42
T261,空调特快,大连,16:14,鞍山,当天19:47,19:51,牡丹江,07:43
T262,空调特快,牡丹江,16:12,鞍山,第2日04:09,04:12,大连,07:42
Z185/Z188,直达特快,沈阳北,17:35,鞍山,当天18:57,19:00,深圳,04:28
Z186/Z187,直达特快,深圳,19:50,鞍山,第3日04:11,04:14,沈阳北,05:30
