车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2035/2038,普快,图们,19:56,安图,当天21:56,22:02,香坊,08:30
2036/2037,普快,香坊,19:55,安图,第2日05:14,05:18,图们,07:40
4343,普快,吉林,06:35,安图,当天12:04,12:07,图们,14:35
4344,普快,图们,06:55,安图,当天09:21,09:26,吉林,15:38
K1053/K1056,快速,延吉,07:31,安图,当天08:32,08:39,青岛北,14:59
K1054/K1055,快速,青岛北,18:39,安图,第3日03:15,03:20,延吉,04:45
K2035/K2038,快速,图们,20:43,安图,当天22:42,22:47,香坊,06:53
K2036/K2037,快速,香坊,19:55,安图,第2日04:40,04:45,图们,06:45
K216,快速,图们,11:22,安图,当天13:21,13:26,北京,11:53
K5059,快速,沈阳,20:21,安图,第2日07:12,07:17,图们,09:55
K5060,快速,图们,20:00,安图,当天21:58,22:03,沈阳,10:26
K5072,快速,图们,08:43,安图,当天10:41,11:00,长春,18:32
K7367,快速,长春,21:02,安图,第2日04:45,04:48,图们,06:47
K7368,快速,图们,20:29,安图,当天22:28,22:34,长春,05:45
K7369,快速,营口,12:32,安图,第2日05:34,05:37,图们,07:40
K7370,快速,图们,17:00,安图,当天18:57,19:00,营口,11:12
