车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5818/5819,普快,乌鲁木齐,11:27,巴楚,第2日04:12,04:17,和田,13:32
7561/7564,普慢,和田,16:13,巴楚,第2日01:32,01:40,乌鲁木齐南,16:38
7562/7563,普慢,乌鲁木齐南,12:14,巴楚,第2日04:10,04:14,和田,13:26
K6704,快速,和田,13:51,巴楚,第2日01:25,01:31,乌鲁木齐南,19:16
K6705/K6708,快速,喀什,16:50,巴楚,当天21:18,21:24,乌鲁木齐南,14:16
K6707,快速,吐鲁番,12:39,巴楚,第2日05:05,05:11,喀什,08:08
K6717,快速,吐鲁番,22:05,巴楚,第2日16:27,16:40,喀什,21:43
T9515/T9518,空调特快,喀什,17:34,巴楚,当天20:31,20:37,伊宁,16:54
T9516/T9517,空调特快,伊宁,09:30,巴楚,第2日06:30,06:32,喀什,09:29
T9592/T9593,空调特快,乌鲁木齐南,13:43,巴楚,第2日04:19,04:26,和田,13:05
T9594,空调特快,和田,14:22,巴楚,当天23:41,23:47,乌鲁木齐南,13:12
