车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1488,普快,郑州,20:55,霸州,第2日08:46,08:56,北京西,10:00
4498,普快,衡水,14:12,霸州,当天16:24,16:28,北京,17:45
K105,快速,北京西,23:19,霸州,第2日00:14,00:26,深圳,04:20
K106,快速,深圳,10:31,霸州,第2日15:17,15:19,北京西,16:23
K1072,快速,安庆,17:42,霸州,第2日09:45,09:48,北京西,10:59
K1110,快速,黄山,16:32,霸州,第2日10:49,10:51,北京西,12:35
K1453,快速,北京西,12:19,霸州,当天13:14,13:16,赣州,11:40
K148,快速,阜阳,21:13,霸州,第2日07:19,07:21,北京西,08:33
K2045/K2048,快速,沈阳北,08:00,霸州,当天20:50,20:53,西安,14:44
K2386/K2387,快速,南宁,22:40,霸州,第3日13:41,13:43,长春,05:04
K329/K332,快速,天津,19:52,霸州,当天21:15,21:18,洛阳,08:39
K330/K331,快速,洛阳,17:00,霸州,第2日04:48,04:50,天津,06:14
K4204,快速,东莞东,12:05,霸州,第2日20:48,20:51,北京西,21:55
K4299,快速,北京,18:20,霸州,当天19:26,19:29,合肥,08:46
K4336/K4337,快速,烟台,10:30,霸州,第2日00:07,00:10,呼和浩特东,11:16
K4601,快速,北京西,23:56,霸州,第2日01:07,01:10,阜阳,10:24
K4602,快速,阜阳,16:35,霸州,第2日02:51,03:01,北京西,04:28
K5221,快速,北京,06:16,霸州,当天07:44,07:47,清河城,10:47
K5222,快速,清河城,11:33,霸州,当天14:51,14:54,北京,16:45
K5225,快速,北京,06:30,霸州,当天07:45,07:48,清河城,10:50
K5256,快速,石家庄,09:08,霸州,当天11:56,12:19,天津,13:45
K7717/K7720,快速,秦皇岛,20:42,霸州,第2日03:46,03:48,衡水,06:22
K7718/K7719,快速,衡水,07:30,霸州,当天09:31,09:34,秦皇岛,17:47
K7772,快速,清河城,14:16,霸州,当天17:29,17:31,北京,18:53
K7773,快速,北京,09:46,霸州,当天11:03,11:05,衡水,13:18
K7774,快速,衡水,15:32,霸州,当天17:38,17:48,北京,19:06
K918/K919,快速,天津,15:36,霸州,当天16:59,17:01,汉口,11:56
T318/T319,空调特快,天津,15:36,霸州,当天16:59,17:01,汉口,11:24
Y501,旅游列车,北京西,07:53,霸州,当天08:50,09:00,衡水,11:32
Y502,旅游列车,衡水,17:50,霸州,当天19:44,19:46,北京西,20:56
Z186/Z187,直达特快,深圳,19:50,霸州,第2日18:39,18:41,沈阳北,05:30
