车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3716,动车组,广州南,15:03,百色,当天21:15,21:15,百色,21:15
D3782/D3783,动车组,广州南,09:18,百色,当天15:05,15:05,百色,15:05
D3786/D3787,动车组,广州南,14:35,百色,当天20:27,20:27,百色,20:27
D3789/D3792,动车组,百色,15:26,百色,当天15:26,15:26,广州南,21:33
D3793/D3796,动车组,百色,07:40,百色,当天07:40,07:40,广州南,13:13
D3794/D3795,动车组,广州南,16:28,百色,当天22:52,22:52,百色,22:52
D3801/D3804,动车组,昆明南,07:13,百色,当天10:13,10:18,广州南,16:06
D3805/D3808,动车组,昆明南,08:36,百色,当天11:39,11:45,南宁东,13:40
D3817/D3820,动车组,昆明南,09:44,百色,当天12:44,12:54,广州南,18:49
D3829/D3832,动车组,昆明南,10:52,百色,当天13:44,13:49,广州南,19:46
D3845/D3848,动车组,百色,16:20,百色,当天16:20,16:20,广州南,22:36
D3850/D3851,动车组,广州南,12:57,百色,当天18:34,18:39,昆明南,21:38
D3858/D3859,动车组,广州南,13:44,百色,当天19:39,19:43,昆明南,22:31
D3861/D3864,动车组,昆明南,11:47,百色,当天14:47,14:52,广州南,20:36
D3862/D3863,动车组,广州南,10:48,百色,当天16:31,16:36,昆明南,19:44
D3911,动车组,南宁东,07:00,百色,当天08:51,08:56,昆明南,12:11
D3912,动车组,昆明南,16:11,百色,当天19:06,19:11,南宁东,21:02
D3915,动车组,南宁东,08:02,百色,当天09:53,09:58,昆明南,12:53
D3916,动车组,昆明南,17:22,百色,当天20:22,20:26,南宁东,22:28
D3917,动车组,南宁东,08:15,百色,当天10:19,10:24,昆明南,13:38
D3918,动车组,昆明南,18:04,百色,当天21:04,21:09,南宁东,23:06
D3919,动车组,南宁东,09:25,百色,当天11:27,11:32,昆明南,14:40
D3920,动车组,昆明南,18:17,百色,当天21:17,21:22,南宁东,23:12
D3943,动车组,衡阳东,07:05,百色,当天14:47,14:52,昆明南,18:00
D3945,动车组,桂林,14:48,百色,当天19:26,19:30,昆明南,22:18
D3946,动车组,昆明南,15:19,百色,当天18:31,18:36,桂林,22:48
D3951/D3954,动车组,昆明南,10:03,百色,当天13:03,13:08,北海,16:34
D3952/D3953,动车组,北海,14:02,百色,当天17:32,17:37,昆明南,20:37
D3956/D3957,动车组,北海,15:32,百色,当天18:55,19:01,昆明南,21:49
D4123,动车组,南宁东,11:23,百色,当天13:12,13:16,昆明南,16:22
D4124,动车组,昆明南,16:45,百色,当天20:00,20:04,南宁东,21:58
D4125,动车组,桂林北,07:15,百色,当天12:01,12:05,昆明南,15:18
D4126,动车组,昆明南,15:45,百色,当天18:53,18:57,桂林北,23:32
D4201,动车组,南宁东,07:58,百色,当天09:47,09:52,昆明南,12:58
D4202,动车组,昆明南,08:00,百色,当天11:08,11:12,南宁,12:47
D4203,动车组,南宁东,09:28,百色,当天11:25,11:29,昆明南,14:35
D4204,动车组,昆明南,08:30,百色,当天11:47,11:52,南宁,13:28
D4205,动车组,南宁东,11:00,百色,当天12:56,13:00,昆明南,16:13
D4206,动车组,昆明南,09:00,百色,当天12:08,12:12,南宁,14:01
D4207,动车组,南宁,13:20,百色,当天15:01,15:07,昆明南,18:21
D4208,动车组,昆明南,10:00,百色,当天13:12,13:16,南宁,14:59
