车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,蚌埠,第2日12:00,12:03,上海,18:15
1228/1229,普快,上海,20:22,蚌埠,第2日02:25,02:32,阜新南,23:26
1462,普快,上海,12:18,蚌埠,当天18:56,19:06,北京,10:46
2593/2596,普快,郑州,20:40,蚌埠,第2日04:06,04:09,杭州,13:20
2594/2595,普快,杭州,15:24,蚌埠,第2日01:40,01:44,郑州,08:45
3188/3189,普快,上海,07:46,蚌埠,当天15:51,16:06,乌鲁木齐南,00:19
3206/3207,普快,合肥,08:40,蚌埠,当天11:00,11:11,库尔勒,05:11
3208,普快,库尔勒,16:37,蚌埠,第4日12:07,12:19,合肥,14:03
3555/3558,普快,信阳,13:00,蚌埠,当天21:36,22:05,上海,04:49
3556/3557,普快,上海,05:49,蚌埠,当天12:07,12:21,信阳,20:09
4310,普快,通辽,12:16,蚌埠,第2日12:00,12:03,上海,18:15
D4665/D4668,动车组,郑州,13:38,蚌埠,当天18:32,18:34,上海,23:27
D4666/D4667,动车组,上海,07:22,蚌埠,当天12:00,12:04,郑州,16:24
D9490,动车组,上海,07:41,蚌埠,当天12:10,12:12,徐州,13:31
D9571,动车组,徐州,13:53,蚌埠,当天15:12,15:15,上海,20:15
D9572/D9573,动车组,上海,06:55,蚌埠,当天11:28,11:34,徐州,12:58
D9574,动车组,南京,10:30,蚌埠,当天12:13,12:15,徐州,13:34
D9575,动车组,徐州,14:25,蚌埠,当天15:43,15:46,上海,20:58
D9576,动车组,上海,07:25,蚌埠,当天12:18,12:20,徐州,13:40
D9577,动车组,徐州,13:47,蚌埠,当天15:05,15:07,上海,19:59
D9579,动车组,徐州,14:30,蚌埠,当天15:48,15:51,上海,20:33
D9580,动车组,上海,07:30,蚌埠,当天12:23,12:25,徐州,13:45
K101/K104,快速,北京,23:20,蚌埠,第2日11:43,11:47,温州,05:50
K1045/K1048,快速,上海,20:28,蚌埠,第2日02:13,02:38,漯河,12:01
K1046/K1047,快速,漯河,14:40,蚌埠,当天22:45,23:10,上海,05:15
K1102/K1103,快速,上海,13:44,蚌埠,当天20:31,20:35,安阳,07:05
K1147/K1150,快速,苏州,10:12,蚌埠,当天15:36,15:42,新乡,23:35
K1148/K1149,快速,新乡,17:58,蚌埠,第2日03:10,03:32,苏州,08:53
K1182/K1183,快速,义乌,17:09,蚌埠,第2日04:33,04:37,烟台,18:32
K1322/K1323,快速,榆林,09:20,蚌埠,第2日10:27,10:44,苏州,15:47
K1324,快速,苏州,17:15,蚌埠,第2日01:05,01:25,榆林,05:15
K1331/K1334,快速,银川,12:15,蚌埠,第2日10:27,10:31,上海,16:16
K1332/K1333,快速,上海,18:17,蚌埠,第2日02:19,02:26,银川,23:58
K1505,快速,周口,09:27,蚌埠,当天15:54,16:06,上海,22:35
K1506/K1507,快速,上海,23:47,蚌埠,第2日05:41,05:59,周口,12:55
K151/K154,快速,郑州,18:13,蚌埠,第2日00:39,00:46,上海,06:41
K1511,快速,聊城,12:59,蚌埠,当天22:14,22:35,金华,09:20
K152/K153,快速,上海,16:31,蚌埠,当天23:36,00:09,郑州,07:27
K1537/K1540,快速,南京,14:28,蚌埠,当天16:52,17:00,乌鲁木齐,15:13
K1561/K1564,快速,济南,21:31,蚌埠,第2日04:41,04:47,南宁,13:46
K1562/K1563,快速,南宁,22:10,蚌埠,第3日07:38,07:59,济南,15:00
K161,快速,徐州,19:33,蚌埠,当天21:35,21:46,南宁,05:20
K1651/K1654,快速,郑州,20:41,蚌埠,第2日04:06,04:09,杭州,13:20
K1652/K1653,快速,杭州,15:59,蚌埠,第2日01:51,02:13,郑州,08:28
K171/K174,快速,日照,17:50,蚌埠,第2日04:06,04:16,上海,11:31
K172/K173,快速,上海,13:09,蚌埠,当天21:00,21:03,日照,06:07
K1805/K1808,快速,银川,17:18,蚌埠,第2日20:07,20:17,杭州,06:29
K1806/K1807,快速,杭州,11:44,蚌埠,当天21:18,21:21,银川,21:53
K187/K190,快速,沈阳北,12:20,蚌埠,第2日10:19,10:23,上海,16:04
K188/K189,快速,上海,18:08,蚌埠,第2日02:07,02:20,沈阳北,23:42
K233/K236,快速,石家庄,13:00,蚌埠,第2日01:28,01:34,上海,09:23
K234/K235,快速,上海,11:10,蚌埠,当天17:57,18:03,石家庄,06:20
K2665/K2668,快速,临汾,12:05,蚌埠,第2日07:11,07:47,苏州,13:46
K2666/K2667,快速,苏州,15:30,蚌埠,当天21:12,21:15,临汾,16:23
K282/K283,快速,上海,20:46,蚌埠,第2日02:57,03:00,成都,11:18
K290/K291,快速,上海,08:51,蚌埠,当天15:01,15:14,成都,21:35
K345/K348,快速,温州,18:20,蚌埠,第2日09:49,10:00,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,蚌埠,第2日17:27,17:31,温州,11:40
K359/K362,快速,银川,20:38,蚌埠,第2日23:58,00:01,上海,06:06
K360/K361,快速,上海,09:23,蚌埠,当天15:30,15:36,银川,20:04
K372/K373,快速,上海,16:03,蚌埠,当天21:54,21:58,太原,12:25
K375/K378,快速,西宁,21:05,蚌埠,第2日23:34,23:41,上海,05:24
K376/K377,快速,上海,08:57,蚌埠,当天15:07,15:20,西宁,16:51
K4045/K4048,快速,新乡,07:54,蚌埠,当天16:44,16:56,上海,00:18
K4046/K4047,快速,上海,02:50,蚌埠,当天09:28,09:40,新乡,19:00
K4054,快速,上海,05:10,蚌埠,当天11:21,11:40,郑州,18:20
K4055/K4058,快速,上海,05:10,蚌埠,当天11:21,11:40,郑州,18:20
K4056/K4057,快速,郑州,12:39,蚌埠,当天21:00,21:12,上海,04:18
K4167/K4170,快速,郑州,14:12,蚌埠,当天20:39,20:55,上海,02:57
K4185/K4188,快速,西安,12:49,蚌埠,第2日06:10,06:18,上海,13:24
K4189/K4192,快速,西安,01:57,蚌埠,当天19:22,19:30,上海,02:00
K4190/K4191,快速,上海,02:58,蚌埠,当天10:01,10:06,西安,01:30
K4246/K4247,快速,昆山,19:55,蚌埠,第2日05:49,05:57,兰州,09:45
K4537/K4540,快速,灵宝,16:08,蚌埠,第2日08:57,09:14,上海,15:19
K4538/K4539,快速,上海,23:58,蚌埠,第2日05:59,06:04,郑州,11:55
K46,快速,福州,18:12,蚌埠,第2日17:10,17:14,北京,05:07
K4605,快速,北京,18:01,蚌埠,第2日09:07,09:15,上海,15:30
K4606,快速,上海,16:25,蚌埠,第2日01:27,01:33,北京,15:49
K4665/K4668,快速,乌鲁木齐南,14:43,蚌埠,第3日18:10,18:28,上海,01:31
K4666/K4667,快速,上海,14:43,蚌埠,当天22:19,22:25,乌鲁木齐南,04:51
K48/K49,快速,杭州,13:48,蚌埠,第2日00:46,00:58,齐齐哈尔,08:10
K4965/K4968,快速,嘉峪关,03:59,蚌埠,第2日18:10,18:28,上海,01:31
K4966/K4967,快速,上海,14:43,蚌埠,当天22:19,22:25,嘉峪关,11:20
K4984/K4985,快速,南通,06:00,蚌埠,当天10:47,10:50,长春,12:54
K515/K518,快速,吉林,09:50,蚌埠,第2日11:37,11:41,上海,17:32
K516/K517,快速,上海,09:16,蚌埠,当天15:24,15:30,吉林,17:50
K5541/K5544,快速,阜阳,14:06,蚌埠,当天18:52,19:07,上海,00:45
K5542/K5543,快速,上海,02:30,蚌埠,当天08:22,08:40,阜阳,13:17
K5546,快速,上海,08:43,蚌埠,当天15:49,16:01,淮北,18:25
K5551,快速,阜阳,07:05,蚌埠,当天10:05,10:23,上海,16:36
K5552/K5553,快速,上海,01:25,蚌埠,当天07:10,07:24,阜阳,10:38
K5561,快速,阜阳,11:08,蚌埠,当天14:21,14:33,上海,21:04
K5562/K5563,快速,上海,22:41,蚌埠,第2日05:58,06:20,阜阳,10:05
K5565,快速,阜阳,09:40,蚌埠,当天13:54,14:08,上海,20:52
K5566/K5567,快速,上海,21:59,蚌埠,第2日06:46,07:00,阜阳,12:28
K557/K560,快速,上海,14:49,蚌埠,当天21:30,21:45,延安,15:13
K5571/K5574,快速,阜阳,12:42,蚌埠,当天17:49,18:01,上海,23:57
K5572/K5573,快速,上海,21:14,蚌埠,第2日05:10,05:22,阜阳,09:30
K5575,快速,阜阳,11:18,蚌埠,当天14:18,14:33,苏州,19:40
K5576/K5577,快速,上海,21:14,蚌埠,第2日06:05,06:27,阜阳,11:00
K5585,快速,淮南,13:08,蚌埠,当天14:33,14:44,上海,21:43
K5586/K5587,快速,上海,04:30,蚌埠,当天10:28,10:48,淮南,12:19
K5601/K5604,快速,阜阳,13:26,蚌埠,当天18:01,18:21,宁波,05:58
K5602/K5603,快速,宁波,18:53,蚌埠,第2日06:42,06:55,阜阳,12:36
K5616/K5617,快速,上海,23:28,蚌埠,第2日06:16,06:31,阜阳,10:45
K5667,快速,淮北,06:50,蚌埠,当天10:38,10:59,合肥,14:15
K5701,快速,徐州,08:22,蚌埠,当天10:25,10:33,南京,13:10
K5702,快速,南京,13:55,蚌埠,当天16:01,16:14,徐州,18:30
K5704,快速,南京,06:05,蚌埠,当天08:18,08:31,徐州,10:35
K5705,快速,徐州,08:23,蚌埠,当天10:20,10:26,南京,12:32
K5706,快速,南京,13:20,蚌埠,当天15:27,15:33,徐州,18:07
K5707,快速,徐州,20:40,蚌埠,当天22:37,22:55,上海,05:17
K5715,快速,蚌埠,14:12,蚌埠,当天14:12,14:12,上海,20:58
K5716,快速,上海,06:08,蚌埠,当天12:47,12:47,蚌埠,12:47
K5717,快速,蚌埠,14:48,蚌埠,当天14:48,14:48,上海,20:51
K5718,快速,上海,07:29,蚌埠,当天14:08,14:08,蚌埠,14:08
K5719,快速,徐州,17:58,蚌埠,当天22:35,22:51,上海,06:21
K5720,快速,上海,22:22,蚌埠,第2日04:28,04:49,徐州,09:53
K5722,快速,上海,22:30,蚌埠,第2日06:27,06:38,徐州,09:20
K5799,快速,淮北,20:45,蚌埠,当天22:39,22:51,上海,06:27
K5800,快速,上海,20:16,蚌埠,第2日02:48,03:00,淮北,06:02
K5803,快速,徐州,12:23,蚌埠,当天14:12,14:16,上海,21:40
K5804/K5805,快速,上海,02:00,蚌埠,当天07:35,07:39,连云港东,12:52
K5806,快速,南京,06:45,蚌埠,当天08:58,09:02,徐州,11:00
K5807,快速,徐州,03:10,蚌埠,当天04:52,05:24,南京,07:57
K5808,快速,南京,08:55,蚌埠,当天11:27,11:52,徐州,14:03
K5809,快速,徐州,18:56,蚌埠,当天20:54,21:00,南京,23:03
K5810,快速,南京,14:20,蚌埠,当天16:18,16:24,徐州,18:15
K5811,快速,连云港东,16:25,蚌埠,当天21:43,21:49,杭州,08:39
K5812/K5813,快速,杭州,17:52,蚌埠,第2日04:45,04:49,连云港东,10:02
K5814,快速,连云港东,16:25,蚌埠,当天21:43,21:49,杭州,08:39
K5815,快速,淮北,13:30,蚌埠,当天16:05,16:17,上海,23:20
K5816/K5817,快速,徐州,17:50,蚌埠,当天19:39,19:47,南京,21:46
K5818,快速,南京,12:40,蚌埠,当天14:52,15:00,徐州,16:58
K5819,快速,徐州,15:00,蚌埠,当天16:55,17:01,南京,19:10
K5820,快速,南京,09:33,蚌埠,当天11:40,11:46,徐州,13:29
K5822/K5823,快速,南京,06:54,蚌埠,当天09:09,09:21,徐州,11:20
K5825,快速,蚌埠,14:23,蚌埠,当天14:23,14:23,上海,22:12
K5826,快速,上海,07:20,蚌埠,当天13:01,13:01,蚌埠,13:01
K5827,快速,蚌埠,14:00,蚌埠,当天14:00,14:00,上海,20:27
K5828,快速,上海,06:28,蚌埠,当天12:51,12:51,蚌埠,12:51
K5830,快速,上海,20:40,蚌埠,第2日02:52,03:20,徐州,05:59
K5831,快速,徐州,11:00,蚌埠,当天14:58,15:18,芜湖,20:00
K5832,快速,芜湖,21:00,蚌埠,第2日02:29,02:45,徐州,07:30
K5833,快速,徐州,16:35,蚌埠,当天18:31,18:46,南京,21:22
K5834,快速,南京,11:10,蚌埠,当天13:16,13:31,徐州,15:35
K611/K614,快速,连云港东,18:14,蚌埠,当天23:46,23:50,南昌,08:43
K661/K664,快速,石家庄,15:22,蚌埠,第2日06:28,06:32,南通,11:24
K662,快速,南通,12:45,蚌埠,当天18:10,18:15,石家庄,10:20
K676/K677,快速,徐州,18:25,蚌埠,当天20:15,20:31,广州东,20:57
K735/K738,快速,上海,14:06,蚌埠,当天21:06,21:09,洛阳,07:11
K736/K737,快速,洛阳,19:34,蚌埠,第2日04:12,04:35,上海,12:35
K76/K77,快速,宁波,15:43,蚌埠,第2日03:42,03:45,长春,09:39
K8351/K8354,快速,连云港东,16:25,蚌埠,当天22:06,22:25,杭州,08:39
K8352/K8353,快速,杭州,17:52,蚌埠,第2日04:45,04:49,连云港东,10:00
K8355/K8358,快速,连云港东,19:30,蚌埠,第2日00:52,01:04,上海,08:22
K8356/K8357,快速,上海,20:52,蚌埠,第2日03:30,03:39,连云港东,08:32
K8359,快速,淮北,15:35,蚌埠,当天17:39,18:06,合肥,20:15
K8360,快速,合肥,08:41,蚌埠,当天10:51,11:02,淮北,13:48
K8365,快速,阜阳,13:05,蚌埠,当天16:22,16:44,上海,22:49
K8366/K8367,快速,上海,23:41,蚌埠,第2日05:09,05:24,亳州,09:57
K8371,快速,徐州,18:42,蚌埠,当天22:25,22:37,江山,14:33
K8372,快速,江山,15:33,蚌埠,第2日04:56,05:09,淮北,07:33
K8385/K8388,快速,亳州,09:59,蚌埠,当天15:15,15:58,上海,22:22
