车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,包头,第2日12:00,12:00,包头,12:00
2462/2463,普快,包头,16:14,包头,当天16:14,16:14,临汾,08:40
2635,普快,呼和浩特,16:03,包头,当天18:16,18:30,兰州西,09:32
2636,普快,兰州西,10:48,包头,第2日04:05,04:13,呼和浩特,06:03
2701,普快,呼和浩特,20:56,包头,当天22:49,23:05,银川,05:15
2702,普快,银川,06:45,包头,当天13:22,13:37,呼和浩特,15:29
6055,普慢,大同,08:00,包头,当天16:59,16:59,包头,16:59
6056,普慢,包头,08:10,包头,当天08:10,08:10,大同,18:06
6851,普慢,包头东,08:45,包头,当天09:01,09:15,乌海西,15:37
6852,普慢,乌海西,09:10,包头,当天16:01,16:09,包头东,16:25
6853,普慢,包头东,16:29,包头,当天16:48,16:56,白云鄂博,21:08
6854,普慢,白云鄂博,07:07,包头,当天11:18,11:24,包头东,11:41
D6751,动车组,呼和浩特东,06:24,包头,当天07:39,07:39,包头,07:39
D6752,动车组,包头,08:00,包头,当天08:00,08:00,呼和浩特,09:12
D6753,动车组,呼和浩特东,08:20,包头,当天09:48,09:48,包头,09:48
D6754,动车组,包头,10:18,包头,当天10:18,10:18,呼和浩特,11:24
D6755,动车组,呼和浩特,10:06,包头,当天11:10,11:10,包头,11:10
D6756,动车组,包头,11:40,包头,当天11:40,11:40,呼和浩特,12:50
D6757,动车组,呼和浩特,12:40,包头,当天13:50,13:50,包头,13:50
D6758,动车组,包头,13:00,包头,当天13:00,13:00,呼和浩特,14:12
D6759,动车组,呼和浩特,14:01,包头,当天15:05,15:05,包头,15:05
D6760,动车组,包头,14:45,包头,当天14:45,14:45,呼和浩特,15:57
D6761,动车组,呼和浩特,15:06,包头,当天16:10,16:10,包头,16:10
D6762,动车组,包头,16:45,包头,当天16:45,16:45,呼和浩特,17:49
D6763,动车组,呼和浩特,17:23,包头,当天18:33,18:33,包头,18:33
D6764,动车组,包头,18:55,包头,当天18:55,18:55,呼和浩特东,20:20
D6765,动车组,呼和浩特,18:42,包头,当天19:46,19:46,包头,19:46
D6766,动车组,包头,20:08,包头,当天20:08,20:08,呼和浩特东,21:26
D6767,动车组,呼和浩特东,08:02,包头,当天09:25,09:30,鄂尔多斯,10:41
D6768,动车组,鄂尔多斯,19:18,包头,当天20:29,20:34,呼和浩特东,21:53
D6769,动车组,集宁南,10:00,包头,当天12:23,12:23,包头,12:23
D6770,动车组,包头,06:30,包头,当天06:30,06:30,集宁南,08:57
D6771,动车组,集宁南,18:50,包头,当天21:07,21:07,包头,21:07
D6772,动车组,包头,15:37,包头,当天15:37,15:37,集宁南,18:02
D6773,动车组,集宁南,15:15,包头,当天17:37,17:42,鄂尔多斯,18:53
D6774,动车组,鄂尔多斯,11:15,包头,当天12:26,12:31,集宁南,14:50
K1115/K1118,快速,北京西,12:52,包头,第2日06:02,06:02,包头,06:02
K1116/K1117,快速,包头,19:11,包头,当天19:11,19:11,北京西,11:45
K1177,快速,北京,13:35,包头,当天23:55,00:02,银川,06:06
K1178,快速,银川,17:50,包头,当天23:51,00:12,北京,11:18
K1276/K1277,快速,南昌,09:52,包头,第2日20:30,20:30,包头,20:30
K1316/K1317,快速,福州,11:50,包头,第3日05:44,06:09,呼和浩特东,08:30
K1382/K1383,快速,包头,12:02,包头,当天12:02,12:02,哈尔滨西,15:22
K1517/K1520,快速,沈阳北,12:33,包头,第2日13:03,13:13,西宁,08:17
K1518/K1519,快速,西宁,12:20,包头,第2日08:12,08:24,沈阳北,06:31
K1535,快速,呼和浩特东,13:19,包头,当天15:31,15:39,重庆北,13:34
K1536,快速,重庆北,11:51,包头,第2日09:10,09:29,呼和浩特东,11:19
