车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4429,普快,北京,13:55,昌黎,当天21:22,21:24,秦皇岛,21:59
4430,普快,秦皇岛,07:23,昌黎,当天08:04,08:31,北京,12:55
K216,快速,图们,11:22,昌黎,第2日06:57,07:06,北京,11:53
K2385/K2388,快速,长春,11:45,昌黎,当天21:24,21:26,南宁,16:55
K430/K7430,快速,白山市,15:12,昌黎,第2日07:20,07:30,北京,10:27
K515/K518,快速,吉林,09:50,昌黎,当天21:37,21:46,上海,17:32
K519/K522,快速,秦皇岛,18:56,昌黎,当天19:37,19:48,太原,08:01
K5249,快速,北京,13:02,昌黎,当天16:52,16:52,昌黎,16:52
K5250,快速,昌黎,17:50,昌黎,当天17:50,17:50,北京,21:55
K716/K717,快速,郑州,14:55,昌黎,第2日06:25,06:28,大连,15:04
K7713/K7716,快速,秦皇岛,12:03,昌黎,当天12:38,12:40,石家庄,20:44
K7714/K7715,快速,石家庄,10:44,昌黎,当天19:07,19:16,秦皇岛,19:57
K7717/K7720,快速,秦皇岛,20:42,昌黎,当天22:20,22:35,衡水,06:22
K7718/K7719,快速,衡水,07:30,昌黎,当天16:29,16:41,秦皇岛,17:47
K956/K957,快速,青岛北,18:25,昌黎,第2日06:35,06:51,白城,21:32
T297,空调特快,北京,12:00,昌黎,当天14:51,14:54,牡丹江,07:26
T3297,空调特快,北京,21:30,昌黎,第2日00:51,00:54,牡丹江,16:58
T5681/T5684,空调特快,秦皇岛,10:19,昌黎,当天11:01,11:10,石家庄,19:48
T5682/T5683,空调特快,石家庄,06:57,昌黎,当天14:58,15:13,秦皇岛,15:53
T5687,空调特快,北京,11:01,昌黎,当天13:24,13:26,秦皇岛,14:04
T5688,空调特快,秦皇岛,16:28,昌黎,当天17:07,17:09,北京,20:40
