车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4905,普快,安康,09:03,城固,当天12:33,12:35,汉中,13:04
4906,普快,汉中,14:17,城固,当天14:42,14:44,安康,19:25
4913,普快,安康,07:38,城固,当天11:31,11:49,汉中,12:18
4971/4974,普快,西安,10:58,城固,当天21:09,21:12,汉中,21:57
4972,普快,汉中,08:15,城固,当天08:40,08:43,西安,16:38
8381,普快,安康,07:00,城固,当天11:10,11:15,汉中,11:50
8382,普快,汉中,15:35,城固,当天16:00,16:02,安康,20:26
K8221,快速,安康,07:33,城固,当天11:29,11:31,汉中,12:02
K8222,快速,汉中,14:14,城固,当天14:41,14:44,安康,19:26
K8223,快速,安康,09:01,城固,当天12:34,12:36,汉中,13:05
K8233/K8236,快速,西安,11:10,城固,当天21:31,21:39,汉中,22:13
K8234,快速,汉中,08:12,城固,当天08:37,08:40,西安,16:33
