车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7266,普慢,怀化,07:00,慈利,当天14:12,14:14,澧县,15:58
7267,普慢,澧县,16:28,慈利,当天18:14,18:18,张家界,20:00
K1373/K1376,快速,上海南,16:49,慈利,第2日11:11,11:14,怀化,17:10
K1374/K1375,快速,怀化,15:08,慈利,当天19:57,20:00,上海南,15:13
K1886/K1887,快速,张家界,16:16,慈利,当天17:36,17:40,太原,18:30
K4267,快速,北京西,23:00,慈利,第2日21:22,21:25,怀化,01:12
K473,快速,北京,16:16,慈利,第2日15:16,15:19,昆明,12:14
K6587/K6590,快速,张家界,19:24,慈利,当天20:45,20:50,广州,10:08
K6588/K6589,快速,广州,14:21,慈利,第2日05:12,05:16,张家界,06:33
K6593/K6596,快速,张家界,10:45,慈利,当天12:34,12:37,长沙,16:15
K6594/K6595,快速,长沙,16:55,慈利,当天20:43,20:48,张家界,21:55
K807/K810,快速,苏州,16:59,慈利,第2日15:55,15:58,怀化,21:19
K808/K809,快速,怀化,12:00,慈利,当天17:05,17:10,苏州,14:54
K9035/K9038,快速,张家界,16:55,慈利,当天17:54,17:57,广州,06:07
K9036/K9037,快速,广州,20:05,慈利,第2日08:27,08:30,张家界,09:40
K9087/K9090,快速,张家界,19:40,慈利,当天20:45,20:50,广州,10:09
K9088/K9089,快速,广州,14:22,慈利,第2日05:12,05:16,张家界,06:31
T8315/T8318,空调特快,张家界,16:56,慈利,当天17:56,17:59,广州,06:07
T8316/T8317,空调特快,广州,20:06,慈利,第2日08:11,08:17,张家界,09:29
T8321/T8324,空调特快,张家界,08:15,慈利,当天09:14,09:19,长沙,12:49
T8325/T8328,空调特快,张家界,14:13,慈利,当天15:14,15:22,长沙,18:55
T8326/T8327,空调特快,长沙,07:16,慈利,当天10:53,10:56,张家界,11:55
