车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6902,城际高速,株洲南,07:05,大丰,当天07:14,07:15,长沙,07:47
C6903,城际高速,长沙,08:05,大丰,当天08:48,08:49,株洲南,09:00
C6904,城际高速,株洲南,09:17,大丰,当天09:26,09:27,长沙,10:08
C6905,城际高速,长沙,10:25,大丰,当天11:01,11:02,株洲南,11:13
C6906,城际高速,株洲南,11:30,大丰,当天11:39,11:40,长沙,12:22
C6907,城际高速,长沙,12:40,大丰,当天13:20,13:21,株洲南,13:32
C6908,城际高速,株洲南,13:50,大丰,当天13:59,14:00,长沙,14:35
C6909,城际高速,长沙,14:50,大丰,当天15:23,15:24,株洲南,15:35
C6910,城际高速,株洲南,15:50,大丰,当天15:59,16:00,长沙,16:42
C6911,城际高速,长沙,17:00,大丰,当天17:48,17:49,株洲南,18:00
C6912,城际高速,株洲南,18:15,大丰,当天18:24,18:25,长沙,19:00
C6913,城际高速,长沙,19:15,大丰,当天19:59,20:00,株洲南,20:11
C6914,城际高速,株洲南,20:27,大丰,当天20:36,20:37,长沙,21:14
C6915,城际高速,长沙,21:30,大丰,当天22:18,22:19,株洲南,22:30
C6916,城际高速,株洲南,08:00,大丰,当天08:09,08:10,长沙,09:09
C6917,城际高速,长沙,07:10,大丰,当天07:40,07:41,株洲南,07:52
C6918,城际高速,株洲南,08:07,大丰,当天08:16,08:17,长沙,08:56
C6919,城际高速,长沙,09:11,大丰,当天09:50,09:51,株洲南,10:02
C6920,城际高速,株洲南,10:17,大丰,当天10:26,10:27,长沙,11:09
C6921,城际高速,长沙,11:25,大丰,当天12:06,12:07,株洲南,12:18
C6922,城际高速,株洲南,12:35,大丰,当天12:44,12:45,长沙,13:30
C6923,城际高速,长沙,13:45,大丰,当天14:18,14:19,株洲南,14:30
C6924,城际高速,株洲南,14:45,大丰,当天14:54,14:55,长沙,15:35
C6925,城际高速,长沙,15:50,大丰,当天16:26,16:27,株洲南,16:38
C6926,城际高速,株洲南,16:55,大丰,当天17:04,17:05,长沙,17:44
C6927,城际高速,长沙,18:00,大丰,当天18:30,18:31,株洲南,18:42
C6928,城际高速,株洲南,19:00,大丰,当天19:09,19:10,长沙,19:52
C6929,城际高速,长沙,20:10,大丰,当天20:51,20:52,株洲南,21:03
C6930,城际高速,株洲南,21:20,大丰,当天21:29,21:30,长沙,21:57
C6931,城际高速,长沙,09:30,大丰,当天10:17,10:18,株洲南,10:29
C6932,城际高速,株洲南,10:45,大丰,当天10:54,10:55,长沙,11:39
C6933,城际高速,长沙,14:05,大丰,当天14:46,14:47,株洲南,14:57
C6934,城际高速,株洲南,15:15,大丰,当天15:24,15:25,长沙,16:17
C6935,城际高速,长沙,18:50,大丰,当天19:23,19:24,株洲南,19:35
C6936,城际高速,株洲南,19:50,大丰,当天19:59,20:00,长沙,20:45
