车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1882/1883,普快,伊春,06:10,大庆,当天13:44,14:23,北京北,12:28
4001,普快,哈尔滨,05:48,大庆,当天08:24,08:30,齐齐哈尔,10:38
4002,普快,齐齐哈尔,11:08,大庆,当天12:41,12:45,哈尔滨,15:59
4075,普快,哈尔滨东,09:58,大庆,当天12:18,12:27,加格达奇,23:51
4076,普快,加格达奇,08:36,大庆,当天20:15,20:20,哈尔滨东,23:05
6213,普慢,滨江,16:29,大庆,当天20:00,20:05,大庆西,20:17
6214,普慢,大庆西,05:25,大庆,当天05:37,05:40,滨江,09:51
6601/6604,普慢,哈尔滨,04:20,大庆,当天08:39,08:53,大庆西,09:05
6602/6603,普慢,大庆西,17:43,大庆,当天17:55,17:57,哈尔滨东,21:57
K4729,快速,北京,22:36,大庆,第2日22:09,22:14,海拉尔,08:00
K4929,快速,北京,22:36,大庆,第2日21:35,21:38,齐齐哈尔,23:09
K5122,快速,齐齐哈尔,21:30,大庆,当天22:55,23:10,牡丹江,08:25
K5140,快速,漠河,14:08,大庆,第2日06:55,07:00,哈尔滨东,10:02
K7015,快速,哈尔滨西,09:05,大庆,当天11:12,11:17,齐齐哈尔,12:49
K7016,快速,齐齐哈尔,13:24,大庆,当天14:44,14:47,哈尔滨西,17:28
K7049,快速,哈尔滨西,20:06,大庆,当天21:57,22:06,加格达奇,06:48
K7183,快速,哈尔滨,16:42,大庆,当天18:51,18:53,齐齐哈尔,21:05
K7184,快速,齐齐哈尔,05:04,大庆,当天06:22,06:24,哈尔滨,08:51
K7185,快速,哈尔滨西,08:30,大庆,当天10:13,10:13,大庆,10:13
K7186,快速,大庆,14:13,大庆,当天14:13,14:13,哈尔滨西,16:34
