车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5633,普快,普雄,07:40,德昌,当天13:14,13:19,攀枝花,16:44
5634,普快,攀枝花,08:22,德昌,当天11:20,11:24,普雄,17:59
K145,快速,成都,14:28,德昌,第2日01:17,01:20,昆明,09:28
K9399,快速,成都,11:00,德昌,当天23:13,23:16,攀枝花,01:46
K9400,快速,攀枝花,15:55,德昌,当天17:53,17:57,成都,08:07
K9407/K9410,快速,绵阳,21:19,德昌,第2日12:17,12:22,攀枝花,14:48
K9408/K9409,快速,攀枝花,18:48,德昌,当天20:47,21:05,成都,10:14
K9469/K9472,快速,攀枝花,23:59,德昌,第2日03:19,03:23,隆昌,19:57
K9470/K9471,快速,隆昌,23:36,德昌,第2日18:55,19:00,攀枝花,21:09
K9484,快速,攀枝花,09:34,德昌,当天11:37,11:40,成都,23:57
K9552,快速,攀枝花,17:04,德昌,当天19:00,19:08,成都,10:13
K9553,快速,营山,19:12,德昌,第2日12:15,12:19,攀枝花,14:48
T8869,空调特快,成都,08:11,德昌,当天20:05,20:08,攀枝花,22:12
