车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,定西,第2日12:54,12:56,兰州西,15:04
1096,普快,兰州西,16:27,定西,当天18:09,18:11,太原,13:29
3030/3031,普快,库尔勒,17:05,定西,第3日00:50,00:53,襄阳,09:56
3118,普快,哈密,13:10,定西,第2日13:06,13:13,天水,17:13
3188/3189,普快,上海,07:46,定西,第2日19:11,19:18,乌鲁木齐南,00:19
3669,普快,天水,23:30,定西,第2日02:24,02:30,乌鲁木齐南,04:51
3902/3903,普快,汉口,23:59,定西,第3日02:29,02:34,乌鲁木齐南,04:29
3927,普快,商丘,07:33,定西,第2日03:14,03:17,乌鲁木齐南,06:18
3928,普快,乌鲁木齐南,08:12,定西,第2日15:22,15:33,郑州,12:10
7501,普慢,陇西,15:11,定西,当天16:55,16:57,兰州,19:24
7502,普慢,兰州,09:57,定西,当天12:59,13:01,陇西,14:22
K1025/K1028,快速,兰州,23:56,定西,第2日01:16,01:33,青岛,07:48
K1039/K1042,快速,兰州,22:02,定西,当天23:22,23:25,宁波,08:09
K1040/K1041,快速,宁波,12:54,定西,第2日19:35,19:37,兰州,21:18
K119,快速,西安,22:27,定西,第2日04:55,04:59,兰州,06:40
K120,快速,兰州,19:50,定西,当天21:10,21:15,西安,05:10
K132/K133,快速,兰州,13:16,定西,当天14:36,14:38,深圳西,09:30
K175,快速,商丘,17:20,定西,第2日10:37,10:42,乌鲁木齐,12:34
K178,快速,西宁,11:20,定西,当天16:30,16:45,郑州,08:18
K226/K227,快速,广州,20:20,定西,第3日07:01,07:03,兰州,08:44
K2629,快速,西安,23:25,定西,第2日06:06,06:09,乌鲁木齐,08:50
K2630,快速,乌鲁木齐,20:53,定西,第2日22:39,22:41,西安,06:54
K305/K308,快速,温州,18:50,定西,第3日06:26,06:27,兰州,08:08
K306/K307,快速,兰州,20:33,定西,当天21:53,21:56,温州,13:40
K376/K377,快速,上海,08:57,定西,第2日11:58,12:00,西宁,16:51
K4100,快速,西宁,22:05,定西,第2日02:41,02:44,西安,11:07
K4127,快速,天水,23:20,定西,第2日02:45,02:50,乌鲁木齐南,04:50
K418/K419,快速,泰州,16:15,定西,第2日19:02,19:05,兰州,20:46
K4246/K4247,快速,昆山,19:55,定西,第3日07:50,07:53,兰州,09:45
K4331/K4334,快速,乌鲁木齐南,21:57,定西,第3日02:45,02:50,重庆北,00:10
K4332/K4333,快速,重庆北,16:45,定西,第2日08:46,08:49,乌鲁木齐南,19:17
K4346/K4347,快速,乌鲁木齐南,12:18,定西,第2日19:21,19:28,成都,18:55
K4349/K4352,快速,奎屯,10:29,定西,第2日21:01,21:04,成都,19:25
K4350/K4351,快速,成都,03:55,定西,第2日01:36,01:46,奎屯,09:23
K4530,快速,乌鲁木齐,20:53,定西,第2日22:39,22:41,西安,06:51
K4561/K4564,快速,西安,23:00,定西,第2日05:34,05:38,兰州西,07:48
K4562/K4563,快速,兰州西,19:07,定西,当天20:54,20:56,西安,07:20
K4629,快速,北京西,18:22,定西,第2日18:53,18:56,兰州,20:37
K4630,快速,兰州,14:42,定西,当天16:02,16:06,北京西,17:11
K4665/K4668,快速,乌鲁木齐南,14:43,定西,第2日17:39,17:43,上海,01:31
K4965/K4968,快速,嘉峪关,03:59,定西,当天17:39,17:43,上海,01:31
K629,快速,北京西,18:22,定西,第2日18:53,18:56,兰州,20:37
K630,快速,兰州,14:42,定西,当天16:02,16:06,北京西,17:11
K748/K749,快速,南宁,17:20,定西,第3日10:29,10:31,西宁,15:36
K855/K858,快速,兰州,12:36,定西,当天13:56,13:59,成都,10:16
K9659,快速,天水,14:50,定西,当天17:46,18:00,兰州西,20:24
K9660,快速,兰州西,08:29,定西,当天10:35,10:37,天水,14:03
T115/T118,空调特快,兰州,11:15,定西,当天12:37,12:41,上海,13:30
T116/T117,空调特快,上海,15:32,定西,第2日14:22,14:25,兰州,16:04
T389,空调特快,合肥,17:00,定西,第2日14:00,14:05,西宁,18:56
T390,空调特快,西宁,08:20,定西,当天12:47,12:50,合肥,10:00
T6603,空调特快,天水,16:50,定西,当天19:20,19:24,兰州,21:03
T6604,空调特快,兰州,10:12,定西,当天11:32,11:34,天水,14:40
Y671/Y674,旅游列车,天水,14:42,定西,当天17:19,17:22,敦煌,08:56
Y672/Y673,旅游列车,敦煌,18:25,定西,第2日10:21,10:24,天水,13:32
Z105,直达特快,济南,22:02,定西,第2日17:02,17:06,乌鲁木齐,11:32
Z151,直达特快,北京西,16:03,定西,第2日09:38,09:41,西宁,14:20
Z152,直达特快,西宁,14:30,定西,当天18:50,18:53,北京西,14:26
Z215/Z218,直达特快,兰州,14:35,定西,当天15:55,15:58,上海,14:54
Z216/Z217,直达特快,上海,18:37,定西,第2日15:47,15:51,兰州,17:27
Z271/Z274,直达特快,西宁,23:00,定西,第2日03:22,03:28,青岛,04:51
Z292,直达特快,汉口,17:40,定西,第2日11:50,11:52,乌鲁木齐,08:20
Z4151,直达特快,北京西,22:20,定西,第2日15:18,15:20,西宁,18:40
