车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1228/1229,普快,上海,20:22,东光,第2日12:19,12:21,阜新南,23:26
4423/4426,普快,邯郸,09:40,东光,当天16:58,17:00,秦皇岛,23:18
4424/4425,普快,秦皇岛,06:27,东光,当天13:36,13:38,邯郸,21:20
4481,普快,天津,07:01,东光,当天09:32,09:35,涉县,19:45
K1053/K1056,快速,延吉,07:31,东光,第2日07:25,07:27,青岛北,14:59
K1785,快速,北京,14:25,东光,当天18:13,18:15,东营南,21:46
K188/K189,快速,上海,18:08,东光,第2日09:56,09:58,沈阳北,23:42
K285,快速,北京,16:35,东光,当天20:37,20:40,烟台,06:52
K294/K295,快速,济南,19:25,东光,当天21:57,21:59,哈尔滨东,17:29
K412,快速,威海,20:52,东光,第2日08:25,08:27,北京,12:53
K4690,快速,齐齐哈尔,09:50,东光,第2日09:09,09:12,青岛北,19:55
K5232,快速,德州,17:43,东光,当天18:32,18:35,北京,00:08
K7703/K7706,快速,天津,07:01,东光,当天09:14,09:16,潞城,21:36
K865/K868,快速,唐山,19:46,东光,第2日00:31,00:33,临汾,11:51
