车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1455/1458,普快,通辽,17:25,丰镇,第2日15:06,15:14,呼和浩特,18:29
2461/2464,普快,临汾,18:40,丰镇,第2日05:50,05:57,包头,12:00
2462/2463,普快,包头,16:14,丰镇,当天21:15,21:17,临汾,08:40
6055,普慢,大同,08:00,丰镇,当天08:49,08:52,包头,16:59
6056,普慢,包头,08:10,丰镇,当天17:01,17:05,大同,18:06
K1276/K1277,快速,南昌,09:52,丰镇,第2日14:47,14:52,包头,20:30
K4041,快速,北京,09:00,丰镇,当天16:27,16:37,敦煌,21:20
Z319,直达特快,大同,14:02,丰镇,当天14:39,14:42,包头,19:07
Z320,直达特快,包头,07:00,丰镇,当天11:37,11:43,大同,12:49
Z4191,直达特快,大同,12:42,丰镇,当天13:22,13:24,包头,17:30
Z4192,直达特快,包头,07:02,丰镇,当天11:13,11:17,大同,12:02
