车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1151/1154,普快,杭州,12:38,阜阳,当天21:48,22:08,西安,10:42
2275/2278,普快,郑州,23:52,阜阳,第2日04:52,05:07,杭州,14:06
2276/2277,普快,杭州,15:31,阜阳,第2日02:30,02:52,郑州,07:54
2613/2616,普快,连云港东,16:41,阜阳,当天23:21,23:42,汉口,05:42
2614/2615,普快,汉口,17:55,阜阳,当天23:12,23:27,连云港东,06:55
3093,普快,北京西,01:30,阜阳,当天14:05,14:16,麻城,17:59
3094,普快,武穴,06:12,阜阳,当天12:29,12:41,北京西,00:15
3159,普快,阜阳,15:15,阜阳,当天15:15,15:15,东莞东,11:46
3160,普快,东莞东,18:00,阜阳,第2日14:10,14:10,阜阳,14:10
3385/3388,普快,吉安,06:19,阜阳,当天18:10,18:21,郑州,01:25
3386/3387,普快,郑州,16:00,阜阳,当天22:15,22:26,东莞东,20:45
3732,普快,阜阳,15:25,阜阳,当天15:25,15:25,北京西,02:32
3782,普快,东莞东,01:20,阜阳,第2日03:50,04:11,徐州,08:25
K1011/K1014,快速,石家庄北,15:30,阜阳,第2日00:23,00:43,上海,10:05
K1012/K1013,快速,上海,11:41,阜阳,当天21:58,22:19,石家庄北,07:05
K1045/K1048,快速,上海,20:28,阜阳,第2日06:38,07:00,漯河,12:01
K1046/K1047,快速,漯河,14:40,阜阳,当天18:44,19:16,上海,05:15
K105,快速,北京西,23:19,阜阳,第2日09:19,09:29,深圳,04:20
K1050/K1051,快速,温州,23:00,阜阳,第2日18:11,18:28,青岛北,06:10
K106,快速,深圳,10:31,阜阳,第2日06:27,06:37,北京西,16:23
K1065/K1068,快速,汉口,11:39,阜阳,当天16:38,16:51,威海,08:01
K1071,快速,北京西,12:12,阜阳,当天22:39,22:57,安庆,06:18
K1072,快速,安庆,17:42,阜阳,第2日00:07,00:21,北京西,10:59
K1073,快速,济南,18:18,阜阳,第2日01:32,01:57,长沙,13:02
K1074,快速,长沙,15:00,阜阳,第2日01:42,02:05,济南,09:33
K1109,快速,北京西,13:35,阜阳,当天23:48,00:03,黄山,09:46
K1110,快速,黄山,16:32,阜阳,第2日01:24,01:39,北京西,12:35
K1136/K1137,快速,青岛,17:40,阜阳,第2日05:39,05:59,南宁,10:45
K1201/K1204,快速,烟台,12:38,阜阳,第2日03:46,04:12,贵阳,04:45
K1202/K1203,快速,贵阳,16:01,阜阳,第2日17:24,17:40,烟台,10:08
K1237/K1240,快速,郑州,12:33,阜阳,当天17:20,17:36,温州,11:57
K1238/K1239,快速,温州,15:10,阜阳,第2日07:40,07:59,郑州,12:53
K1263,快速,石家庄,14:45,阜阳,第2日01:20,01:35,杭州,10:51
K1264,快速,杭州,11:53,阜阳,当天20:51,21:06,石家庄,06:58
K1282/K1283,快速,深圳东,15:40,阜阳,第2日11:18,11:30,济南,19:15
K132/K133,快速,兰州,13:16,阜阳,第2日11:59,12:07,深圳西,09:30
K1377/K1380,快速,绍兴,21:03,阜阳,第2日09:31,09:52,洛阳,19:39
K1378/K1379,快速,洛阳,21:35,阜阳,第2日08:58,09:20,绍兴,20:03
K1395/K1398,快速,太原,21:14,阜阳,第2日10:05,10:20,温州,05:30
K1453,快速,北京西,12:19,阜阳,当天22:54,23:07,赣州,11:40
K147,快速,北京西,09:43,阜阳,当天20:06,20:06,阜阳,20:06
K148,快速,阜阳,21:13,阜阳,当天21:13,21:13,北京西,08:33
K1505,快速,周口,09:27,阜阳,当天12:02,12:19,上海,22:35
K1506/K1507,快速,上海,23:47,阜阳,第2日09:37,09:52,周口,12:55
K1546/K1547,快速,福州,21:50,阜阳,第2日18:18,18:46,佳木斯,04:47
K1575/K1578,快速,太原,10:20,阜阳,当天21:49,22:03,福州,11:10
K1576/K1577,快速,福州,17:47,阜阳,第2日08:58,09:24,太原,21:33
K1619/K1622,快速,天津,22:20,阜阳,第2日08:24,08:49,深圳东,06:34
K1623/K1626,快速,连云港东,16:36,阜阳,当天23:21,23:42,汉口,05:12
K2275/K2278,快速,郑州,23:53,阜阳,第2日04:33,05:05,杭州,14:06
K2276/K2277,快速,杭州,15:44,阜阳,第2日01:12,01:24,郑州,06:36
K2385/K2388,快速,长春,11:45,阜阳,第2日11:48,12:15,南宁,16:55
K2386/K2387,快速,南宁,22:40,阜阳,第3日02:18,02:42,长春,05:04
K29/K32,快速,洛阳,13:14,阜阳,当天20:13,20:28,福州,13:28
K2905/K2908,快速,西安,20:59,阜阳,第2日09:50,10:05,温州,05:00
