车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1489,普快,天津,20:30,公主岭,第2日11:10,11:12,佳木斯,22:50
1490,普快,佳木斯,18:20,公主岭,第2日05:49,05:51,天津,19:22
2051,普快,大连,12:23,公主岭,当天20:34,20:36,牡丹江,05:28
2124/2125,普快,丹东,15:35,公主岭,当天23:26,23:28,齐齐哈尔,12:36
2727,普快,大连,10:05,公主岭,当天18:19,18:21,绥芬河,06:33
2728,普快,绥芬河,16:05,公主岭,第2日03:03,03:05,大连,11:26
6335,普慢,公主岭,06:20,公主岭,当天06:20,06:20,长春,07:27
6336,普慢,长春,18:08,公主岭,当天19:09,19:09,公主岭,19:09
K1054/K1055,快速,青岛北,18:39,公主岭,第2日17:36,17:38,延吉,04:45
K125/K128,快速,长春,13:32,公主岭,当天14:10,14:12,西安,20:22
K1546/K1547,快速,福州,21:50,公主岭,第3日17:19,17:21,佳木斯,04:47
K1571/K1574,快速,重庆北,14:57,公主岭,第3日10:44,10:46,长春,11:30
K2385/K2388,快速,长春,11:45,公主岭,当天12:24,12:26,南宁,16:55
K294/K295,快速,济南,19:25,公主岭,第2日12:58,13:08,哈尔滨东,17:29
K39/K7139,快速,北京,23:00,公主岭,第2日11:33,11:43,鸡西,23:52
K4017,快速,北京,04:34,公主岭,当天19:41,19:43,长春,20:27
K4022,快速,哈尔滨,06:35,公主岭,当天10:18,10:21,北京,01:06
K4081/K4084,快速,北京,01:43,公主岭,当天15:02,15:05,齐齐哈尔,05:50
K4082/K4083,快速,齐齐哈尔,19:30,公主岭,第2日09:49,09:51,北京,00:43
K4119,快速,天津,00:14,公主岭,当天15:13,15:16,牡丹江,01:14
K4575/K4578,快速,哈尔滨西,01:25,公主岭,当天04:45,04:47,济南,22:59
K4576/K4577,快速,菏泽,14:15,公主岭,第2日16:26,16:29,哈尔滨西,23:49
K4709,快速,大连,22:38,公主岭,第2日06:45,06:48,牡丹江,15:50
K4710,快速,牡丹江,20:20,公主岭,第2日05:19,05:22,大连,14:13
K4789,快速,天津,20:30,公主岭,第2日10:25,10:28,佳木斯,20:28
K4832/K4833,快速,大连,15:53,公主岭,当天23:48,23:50,佳木斯,12:08
K489,快速,天津,20:30,公主岭,第2日10:22,10:25,佳木斯,20:45
K4929,快速,北京,22:36,公主岭,第2日13:52,13:54,齐齐哈尔,23:09
K4930,快速,齐齐哈尔,06:30,公主岭,当天15:49,15:52,北京,08:50
K4984/K4985,快速,南通,06:00,公主岭,第2日12:07,12:10,长春,12:54
K4995,快速,沈阳,16:48,公主岭,当天19:55,19:57,黑河,10:04
K4996,快速,黑河,10:45,公主岭,第2日06:10,06:12,沈阳,09:24
K515/K518,快速,吉林,09:50,公主岭,当天12:34,12:36,上海,17:32
K516/K517,快速,上海,09:16,公主岭,第2日14:53,14:55,吉林,17:50
K702/K703,快速,青岛北,18:32,公主岭,第2日17:12,17:14,齐齐哈尔,00:35
K7387/K7390,快速,靖宇,06:58,公主岭,当天20:15,20:18,吉林,22:52
K7388/K7389,快速,吉林,13:26,公主岭,当天15:56,15:58,靖宇,05:05
K7391/K7394,快速,白山市,21:45,公主岭,第2日05:51,06:00,吉林,08:45
K926/K927,快速,郑州,15:28,公主岭,第2日14:12,14:23,哈尔滨东,18:41
T3018,空调特快,哈尔滨东,10:46,公主岭,当天14:43,14:46,北京,03:18
Z366/Z367,直达特快,南京,16:39,公主岭,第2日11:58,12:01,哈尔滨,15:45
Z4516/Z4517,直达特快,南京,16:39,公主岭,第2日11:58,12:01,哈尔滨,15:42
