车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3093,普快,北京西,01:30,光山,当天16:36,16:38,麻城,17:59
3094,普快,武穴,06:12,光山,当天09:58,10:01,北京西,00:15
3223,普快,潢川,22:55,光山,当天23:12,23:15,深圳东,20:15
3269,普快,潢川,21:16,光山,当天21:31,22:10,东莞东,19:00
3291,普快,潢川,12:07,光山,当天12:25,12:32,东莞东,09:37
8331,普快,淮滨,10:20,光山,当天11:32,11:34,麻城,13:23
8332,普快,麻城,07:05,光山,当天08:38,08:49,淮滨,09:50
K1136/K1137,快速,青岛,17:40,光山,第2日08:06,08:09,南宁,10:45
K1201/K1204,快速,烟台,12:38,光山,第2日06:06,06:08,贵阳,04:45
K1282/K1283,快速,深圳东,15:40,光山,第2日09:29,09:38,济南,19:15
K1309/K1312,快速,东莞东,18:10,光山,第2日11:08,11:11,西宁,12:23
K1310/K1311,快速,西宁,20:00,光山,第2日20:30,20:33,东莞东,13:17
K1453,快速,北京西,12:19,光山,第2日01:09,01:12,赣州,11:40
K1619/K1622,快速,天津,22:20,光山,第2日10:54,11:06,深圳东,06:34
K2386/K2387,快速,南宁,22:40,光山,第3日00:37,00:39,长春,05:04
K29/K32,快速,洛阳,13:14,光山,当天22:26,22:30,福州,13:28
K4035,快速,阜阳,13:50,光山,当天15:39,15:42,广州东,11:40
K445/K448,快速,西安,23:20,光山,第2日10:29,10:34,深圳,04:37
K561,快速,阜阳,11:35,光山,当天13:50,13:53,深圳东,07:20
K729/K732,快速,广州东,14:50,光山,第2日08:04,08:07,大同,05:27
K730/K731,快速,大同,14:20,光山,第2日10:18,10:21,广州东,05:26
K821/K824,快速,深圳东,16:58,光山,第2日10:58,11:00,信阳,13:10
K822/K823,快速,信阳,19:26,光山,当天21:16,21:19,深圳东,15:28
K987/K990,快速,信阳,20:40,光山,当天22:27,22:29,福州,15:52
K988/K989,快速,福州,17:19,光山,第2日11:01,11:03,信阳,13:38
T91,空调特快,北京,22:16,光山,第2日07:49,07:52,南昌,12:28
