车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3056/3057,普快,广元,05:00,广元,当天05:00,05:00,上海南,23:39
3255/3258,普快,成都,16:10,广元,当天23:02,23:41,上海,14:54
3256/3257,普快,上海,16:25,广元,第3日04:31,05:04,成都,15:43
3277,普快,北京,01:07,广元,第2日08:49,09:02,成都,14:03
3278,普快,成都,15:10,广元,当天21:39,22:04,北京,16:52
3398,普快,奎屯,20:11,广元,第4日15:18,15:58,成都,22:00
6063,普慢,宝鸡,07:30,广元,当天19:40,19:40,广元,19:40
6064,普慢,广元,06:50,广元,当天06:50,06:50,宝鸡,18:25
D5125/D5128,动车组,成都东,15:16,广元,当天18:54,18:54,广元,18:54
D5126,动车组,广元,20:12,广元,当天20:12,20:12,成都东,23:23
D5131,动车组,重庆北,09:10,广元,当天12:15,12:15,广元,12:15
D5132,动车组,广元,13:00,广元,当天13:00,13:00,重庆北,16:12
K1549/K1552,快速,银川,23:30,广元,第3日01:22,01:51,重庆,07:39
K1550/K1551,快速,重庆,15:32,广元,当天21:35,21:55,银川,22:19
K245/K248,快速,扬州,10:33,广元,第2日18:02,18:11,成都,23:15
K2610/K2611,快速,重庆,15:29,广元,当天21:04,21:23,陇南,22:54
K2612,快速,陇南,23:50,广元,第2日02:07,02:42,重庆,08:34
K2615/K2618,快速,岷县,10:00,广元,当天13:53,14:11,成都,19:35
K2616/K2617,快速,成都,20:15,广元,第2日01:49,02:05,岷县,06:02
K282/K283,快速,上海,20:46,广元,第3日06:09,06:19,成都,11:18
K290/K291,快速,上海,08:51,广元,第2日16:16,16:26,成都,21:35
K4217,快速,北京西,01:56,广元,第2日16:26,16:57,成都,21:57
K4218,快速,成都,22:57,广元,第2日04:20,04:40,北京西,19:55
K4229,快速,北京西,04:29,广元,第2日19:02,19:36,成都,00:39
K4230,快速,成都,01:39,广元,当天07:11,07:31,北京西,23:18
K4345/K4348,快速,成都,19:55,广元,第2日01:24,01:54,乌鲁木齐南,21:27
K4346/K4347,快速,乌鲁木齐南,12:18,广元,第3日13:29,13:41,成都,18:55
K4349/K4352,快速,奎屯,10:29,广元,第3日14:05,14:24,成都,19:25
K4350/K4351,快速,成都,03:55,广元,当天09:00,09:20,奎屯,09:23
K4806,快速,广元,03:10,广元,当天03:10,03:10,福州,20:05
K5,快速,西安,13:20,广元,第2日00:11,00:37,成都,05:26
K6,快速,成都,21:05,广元,第2日02:13,02:22,西安,12:20
K855/K858,快速,兰州,12:36,广元,第2日05:09,05:19,成都,10:16
K869,快速,郑州,13:34,广元,第2日08:07,08:19,成都,13:37
K879,快速,西安,19:45,广元,第2日06:35,06:46,成都,11:54
K880,快速,成都,12:55,广元,当天18:08,18:20,西安,05:45
K9371,快速,南充北,08:00,广元,当天10:18,10:18,广元,10:18
K9373/K9376,快速,南充北,15:10,广元,当天17:28,17:28,广元,17:28
K9418/K9419,快速,重庆北,11:51,广元,当天15:51,15:51,广元,15:51
K9420/K9421,快速,广元,16:40,广元,当天16:40,16:40,重庆北,21:10
K9431,快速,重庆北,16:25,广元,当天20:37,20:37,广元,20:37
K9432,快速,广元,07:21,广元,当天07:21,07:21,重庆北,12:01
K9433/K9436,快速,成都,16:04,广元,当天21:35,21:35,广元,21:35
K9434/K9435,快速,广元,08:35,广元,当天08:35,08:35,成都东,13:36
K9441/K9444,快速,重庆北,10:16,广元,当天14:51,14:51,广元,14:51
K9442/K9443,快速,重庆北,20:00,广元,第2日00:01,00:01,广元,00:01
K9460,快速,成都,13:11,广元,当天18:22,18:22,广元,18:22
K9495/K9498,快速,广元,17:58,广元,当天17:58,17:58,秀山,05:09
K9531,快速,广元,15:33,广元,当天15:33,15:33,成都,21:48
K9532,快速,成都,07:21,广元,当天13:22,13:22,广元,13:22
T21/T24,空调特快,拉萨,11:05,广元,第3日03:40,03:49,成都,08:16
T22/T23,空调特快,成都,20:45,广元,第2日01:23,01:29,拉萨,13:56
Z221/Z224,直达特快,拉萨,18:20,广元,第3日09:34,10:01,重庆北,13:46
Z222/Z223,直达特快,重庆北,15:42,广元,当天19:20,19:44,拉萨,09:55
Z321/Z324,直达特快,拉萨,18:20,广元,第3日09:34,09:52,成都,14:26
Z322,直达特快,成都,14:48,广元,当天19:34,19:44,拉萨,09:55
Z323,直达特快,成都,14:48,广元,当天19:34,19:44,拉萨,09:55
