车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1489,普快,天津,20:30,哈尔滨,第2日15:30,15:55,佳木斯,22:50
1490,普快,佳木斯,18:20,哈尔滨,第2日01:51,02:20,天津,19:22
4001,普快,哈尔滨,05:48,哈尔滨,当天05:48,05:48,齐齐哈尔,10:38
4002,普快,齐齐哈尔,11:08,哈尔滨,当天15:59,15:59,哈尔滨,15:59
4137,普快,哈尔滨,20:02,哈尔滨,当天20:02,20:02,双鸭山,05:19
6209,普慢,哈尔滨,05:16,哈尔滨,当天05:16,05:16,北安,11:58
6293,普慢,五常,08:30,哈尔滨,当天12:10,12:10,哈尔滨,12:10
6601/6604,普慢,哈尔滨,04:20,哈尔滨,当天04:20,04:20,大庆西,09:05
D6901,动车组,哈尔滨西,05:37,哈尔滨,当天05:46,05:50,齐齐哈尔,07:38
D6902,动车组,齐齐哈尔,05:47,哈尔滨,当天07:28,07:30,哈尔滨西,07:40
D6903,动车组,哈尔滨,06:40,哈尔滨,当天06:40,06:40,齐齐哈尔,08:48
D6904,动车组,齐齐哈尔,08:12,哈尔滨,当天10:00,10:02,哈尔滨西,10:11
D6905,动车组,哈尔滨,07:33,哈尔滨,当天07:33,07:33,齐齐哈尔,09:12
D6906,动车组,齐齐哈尔,09:15,哈尔滨,当天10:53,10:55,哈尔滨西,11:05
D6907,动车组,哈尔滨西,08:17,哈尔滨,当天08:27,08:29,齐齐哈尔,09:58
D6908,动车组,齐齐哈尔,09:30,哈尔滨,当天11:16,11:16,哈尔滨,11:16
D6910,动车组,齐齐哈尔,10:19,哈尔滨,当天11:48,11:50,哈尔滨西,12:02
D6911,动车组,哈尔滨西,09:49,哈尔滨,当天09:59,10:02,齐齐哈尔,11:46
D6912,动车组,齐齐哈尔,11:29,哈尔滨,当天13:08,13:08,哈尔滨,13:08
D6914,动车组,齐齐哈尔,12:06,哈尔滨,当天13:45,13:45,哈尔滨,13:45
D6915,动车组,哈尔滨西,10:42,哈尔滨,当天10:52,10:55,齐齐哈尔,12:41
D6916,动车组,齐齐哈尔,13:05,哈尔滨,当天14:47,14:49,哈尔滨西,14:58
D6917,动车组,哈尔滨,11:37,哈尔滨,当天11:37,11:37,齐齐哈尔,13:22
