车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3118,普快,哈密,13:10,哈密,当天13:10,13:10,天水,17:13
3248,普快,哈密,20:33,哈密,当天20:33,20:33,郑州,09:00
7551,普快,哈密,09:29,哈密,当天09:29,09:29,乌鲁木齐南,20:24
7552,普快,乌鲁木齐南,11:48,哈密,当天21:21,21:21,哈密,21:21
7553,普快,柳园,17:31,哈密,当天22:32,22:32,哈密,22:32
7554,普快,哈密,09:41,哈密,当天09:41,09:41,柳园,14:31
D2702,动车组,乌鲁木齐,08:29,哈密,当天11:54,12:00,兰州西,20:08
D2704,动车组,乌鲁木齐,08:56,哈密,当天12:21,12:27,兰州西,20:52
D2705,动车组,兰州西,08:54,哈密,当天17:07,17:13,乌鲁木齐,20:45
D2707,动车组,兰州西,09:30,哈密,当天17:46,17:52,乌鲁木齐,21:16
D2708,动车组,乌鲁木齐,10:15,哈密,当天13:38,13:51,兰州西,21:56
D2710,动车组,乌鲁木齐,10:36,哈密,当天13:59,14:09,兰州西,22:13
D2713,动车组,兰州西,11:20,哈密,当天19:35,19:49,乌鲁木齐,23:28
D2714,动车组,乌鲁木齐,11:44,哈密,当天15:08,15:14,兰州西,23:12
D2719,动车组,西宁,11:20,哈密,当天18:18,18:24,乌鲁木齐,21:58
D2720,动车组,乌鲁木齐,11:20,哈密,当天14:42,14:48,西宁,21:39
D4181,动车组,民和南,09:48,哈密,当天18:24,18:30,乌鲁木齐,22:02
D4182,动车组,乌鲁木齐,08:30,哈密,当天11:56,12:04,西宁,18:37
D4719,动车组,西宁,08:40,哈密,当天15:52,16:02,乌鲁木齐南,19:20
D4817,动车组,兰州西,12:00,哈密,当天21:01,21:07,乌鲁木齐南,00:25
D8801,动车组,哈密,08:44,哈密,当天08:44,08:44,乌鲁木齐,12:16
D8802,动车组,乌鲁木齐,09:43,哈密,当天13:14,13:14,哈密,13:14
D8803,动车组,哈密,11:35,哈密,当天11:35,11:35,乌鲁木齐,14:50
D8804,动车组,乌鲁木齐,13:19,哈密,当天16:33,16:33,哈密,16:33
D8805,动车组,哈密,15:11,哈密,当天15:11,15:11,乌鲁木齐,18:35
D8806,动车组,乌鲁木齐,16:20,哈密,当天19:46,19:46,哈密,19:46
D8807,动车组,哈密,16:58,哈密,当天16:58,16:58,乌鲁木齐,20:30
D8808,动车组,乌鲁木齐,19:44,哈密,当天23:18,23:18,哈密,23:18
D8809,动车组,哈密,20:46,哈密,当天20:46,20:46,乌鲁木齐,23:58
D8810,动车组,乌鲁木齐南,15:17,哈密,当天18:23,18:23,哈密,18:23
D8811,动车组,哈密,15:27,哈密,当天15:27,15:27,乌鲁木齐,19:00
D8812,动车组,乌鲁木齐,16:56,哈密,当天20:31,20:31,哈密,20:31
D8813,动车组,哈密,20:20,哈密,当天20:20,20:20,乌鲁木齐,23:53
D8815,动车组,哈密,09:28,哈密,当天09:28,09:28,乌鲁木齐,13:04
D8817,动车组,哈密,15:21,哈密,当天15:21,15:21,乌鲁木齐,18:55
D8818,动车组,乌鲁木齐,16:57,哈密,当天20:30,20:30,哈密,20:30
K1351/K1354,快速,连云港东,16:03,哈密,第3日08:36,08:52,乌鲁木齐,15:13
K1537/K1540,快速,南京,14:28,哈密,第3日08:36,08:52,乌鲁木齐,15:13
K175,快速,商丘,17:20,哈密,第3日05:41,06:04,乌鲁木齐,12:34
K2629,快速,西安,23:25,哈密,第3日02:02,02:23,乌鲁木齐,08:50
K2630,快速,乌鲁木齐,20:53,哈密,第2日03:59,04:12,西安,06:54
K4530,快速,乌鲁木齐,20:53,哈密,第2日03:59,04:10,西安,06:51
K4931,快速,敦煌,19:18,哈密,第2日03:10,03:24,乌鲁木齐,09:55
K4932,快速,乌鲁木齐,19:03,哈密,第2日01:50,01:56,敦煌,09:54
K9741,快速,柳园,21:31,哈密,第2日03:08,03:24,乌鲁木齐,09:52
K9742,快速,乌鲁木齐,18:50,哈密,第2日01:50,02:19,柳园,06:44
T191/T194,空调特快,乌鲁木齐,17:34,哈密,当天23:18,23:39,汉口,11:25
T192/T193,空调特快,汉口,16:56,哈密,第3日02:41,02:53,乌鲁木齐,08:39
T295,空调特快,兰州,17:47,哈密,第2日07:38,07:52,乌鲁木齐,13:33
T296,空调特快,乌鲁木齐,14:34,哈密,当天20:17,20:25,兰州,10:22
Z105,直达特快,济南,22:02,哈密,第3日06:39,06:49,乌鲁木齐,11:32
Z292,直达特快,汉口,17:40,哈密,第3日03:17,03:40,乌鲁木齐,08:20
Z40/Z41,直达特快,上海,19:40,哈密,第3日06:14,06:24,乌鲁木齐,11:02
