车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2083,普快,大连,08:49,海拉尔,第2日09:22,09:22,海拉尔,09:22
2685/2688,普快,满洲里,10:39,海拉尔,当天12:59,13:09,丹东,13:48
2686/2687,普快,丹东,16:20,海拉尔,第2日17:19,17:30,满洲里,19:46
4105/4108,普快,海拉尔,18:05,海拉尔,当天18:05,18:05,满归,05:00
4106/4107,普快,满归,20:21,海拉尔,第2日07:36,07:36,海拉尔,07:36
4179,普快,阿尔山北,12:32,海拉尔,当天17:33,17:33,海拉尔,17:33
4180,普快,海拉尔,06:45,海拉尔,当天06:45,06:45,阿尔山北,11:22
4181/4184,普快,海拉尔,06:16,海拉尔,当天06:16,06:16,满归,18:30
4182/4183,普快,满归,06:20,海拉尔,当天19:35,19:35,海拉尔,19:35
6237/6240,普慢,塔尔气,14:05,海拉尔,当天21:48,21:48,海拉尔,21:48
6238/6239,普慢,海拉尔,05:25,海拉尔,当天05:25,05:25,塔尔气,13:34
6267/6270,普慢,莫尔道嘎,15:41,海拉尔,第2日05:06,05:06,海拉尔,05:06
6268/6269,普慢,海拉尔,21:40,海拉尔,当天21:40,21:40,莫尔道嘎,09:18
K19,快速,北京,23:00,海拉尔,第3日02:05,02:13,满洲里,04:17
K20,快速,满洲里,23:59,海拉尔,第2日02:07,02:15,北京,05:46
K274/K275,快速,呼和浩特,21:51,海拉尔,第3日11:41,11:53,满洲里,14:00
K4729,快速,北京,22:36,海拉尔,第3日08:00,08:00,海拉尔,08:00
K4905/K4908,快速,锡林浩特,11:40,海拉尔,第2日07:27,07:37,满洲里,09:58
K4906,快速,满洲里,17:08,海拉尔,当天19:16,19:26,锡林浩特,16:59
K4997,快速,沈阳,16:11,海拉尔,第2日09:35,09:35,海拉尔,09:35
K5167,快速,阿尔山北,14:42,海拉尔,当天19:20,19:20,海拉尔,19:20
K5168,快速,海拉尔,07:45,海拉尔,当天07:45,07:45,阿尔山北,11:42
K5195,快速,齐齐哈尔,21:43,海拉尔,第2日05:42,05:42,海拉尔,05:42
K5196,快速,海拉尔,07:10,海拉尔,当天07:10,07:10,齐齐哈尔,15:36
K7055,快速,齐齐哈尔,22:40,海拉尔,第2日07:02,07:02,海拉尔,07:02
K7056,快速,海拉尔,22:06,海拉尔,当天22:06,22:06,齐齐哈尔,06:18
K7091,快速,哈尔滨,20:28,海拉尔,第2日07:07,08:09,满洲里,10:10
K7092,快速,满洲里,17:10,海拉尔,当天19:11,19:21,哈尔滨,06:02
K7140,快速,海拉尔,12:40,海拉尔,当天12:40,12:40,齐齐哈尔,20:57
K7167/K7170,快速,海拉尔,14:18,海拉尔,当天14:18,14:18,根河,21:30
K7168/K7169,快速,根河,05:45,海拉尔,当天12:36,12:36,海拉尔,12:36
K7179,快速,海拉尔,15:47,海拉尔,当天15:47,15:47,满洲里,17:59
K7180,快速,满洲里,07:10,海拉尔,当天09:25,09:25,海拉尔,09:25
K7181,快速,哈尔滨西,17:18,海拉尔,第2日04:16,04:16,海拉尔,04:16
K7182,快速,海拉尔,20:56,海拉尔,当天20:56,20:56,哈尔滨西,07:29
