车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2051,普快,大连,12:23,海林,第2日04:58,05:00,牡丹江,05:28
2727,普快,大连,10:05,海林,第2日03:53,03:57,绥芬河,06:33
2728,普快,绥芬河,16:05,海林,当天18:27,18:29,大连,11:26
6285/6288,普慢,长汀镇,06:00,海林,当天07:35,07:38,牡丹江,08:11
6286/6287,普慢,牡丹江,17:05,海林,当天17:39,17:42,长汀镇,19:21
K4120,快速,牡丹江,22:33,海林,当天22:53,22:56,天津,23:19
K4709,快速,大连,22:38,海林,第2日15:19,15:22,牡丹江,15:50
K4710,快速,牡丹江,20:20,海林,当天20:40,20:43,大连,14:13
K5123,快速,香坊,21:30,海林,第2日04:07,04:12,绥芬河,06:55
K5169/K5172,快速,长汀镇,16:41,海林,当天18:07,18:10,牡丹江,18:39
K5170,快速,牡丹江,07:05,海林,当天07:27,07:30,长汀镇,08:55
K7005/K7008,快速,佳木斯,07:11,海林,当天18:41,18:43,绥芬河,21:18
K7105/K7108,快速,嫩江,06:39,海林,当天18:51,18:54,牡丹江,19:22
K7172/K7173,快速,香坊,13:29,海林,当天17:33,17:36,鸡西,22:09
K7269/K7272,快速,长汀镇,17:57,海林,当天19:23,19:25,牡丹江,19:54
K7270,快速,牡丹江,06:33,海林,当天06:55,06:58,长汀镇,08:23
T17,空调特快,北京,16:46,海林,第2日10:58,11:00,牡丹江,11:28
T18,空调特快,牡丹江,16:47,海林,当天17:07,17:09,北京,09:48
T261,空调特快,大连,16:14,海林,第2日07:13,07:15,牡丹江,07:43
T297,空调特快,北京,12:00,海林,第2日06:56,06:58,牡丹江,07:26
T3297,空调特快,北京,21:30,海林,第2日16:28,16:30,牡丹江,16:58
