车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3147,普快,上海南,03:53,海宁,当天05:04,05:08,重庆,22:24
3315/3318,普快,苏州,00:26,海宁,当天03:15,03:19,怀化,04:30
3316/3317,普快,怀化,15:50,海宁,第2日17:16,17:19,苏州,23:06
3881,普快,岳阳,23:08,海宁,第2日15:02,15:07,上海南,19:00
K11/K14,快速,上海南,18:51,海宁,当天20:01,20:04,武昌,11:20
K111,快速,上海南,15:05,海宁,当天16:31,16:34,贵阳,18:26
K112,快速,贵阳,09:34,海宁,第2日11:13,11:16,上海南,12:47
K1125/K1128,快速,襄阳,13:10,海宁,第2日07:54,07:57,上海南,09:41
K1126/K1127,快速,上海南,14:59,海宁,当天16:20,16:23,襄阳,11:56
K1182/K1183,快速,义乌,17:09,海宁,当天19:47,19:50,烟台,18:32
K1185/K1188,快速,上海南,08:48,海宁,当天10:14,10:17,九江,21:50
K1186/K1187,快速,九江,16:50,海宁,第2日05:11,05:14,上海南,07:06
K12/K13,快速,武昌,16:20,海宁,第2日05:51,05:54,上海南,07:46
K122/K123,快速,上海南,13:40,海宁,当天15:05,15:08,十堰,11:30
K1250/K1251,快速,上海南,11:13,海宁,当天12:42,12:45,重庆,23:49
K135/K138,快速,长沙,18:36,海宁,第2日07:34,07:37,上海南,09:14
K1373/K1376,快速,上海南,16:49,海宁,当天18:16,18:25,怀化,17:10
K1374/K1375,快速,怀化,15:08,海宁,第2日13:12,13:15,上海南,15:13
K1509/K1512,快速,义乌,11:03,海宁,当天13:18,13:21,聊城,08:07
K1805/K1808,快速,银川,17:18,海宁,第3日05:33,05:36,杭州,06:29
K1806/K1807,快速,杭州,11:44,海宁,当天12:24,12:27,银川,21:53
K182,快速,韶关东,13:53,海宁,第2日06:02,06:05,上海南,07:44
K252/K253,快速,上海南,15:37,海宁,当天16:57,17:00,宜昌东,15:21
K271,快速,上海南,17:01,海宁,当天18:33,18:36,井冈山,06:10
K272,快速,井冈山,18:13,海宁,第2日06:16,06:19,上海南,07:46
K351/K354,快速,上海南,15:58,海宁,当天17:21,17:24,成都,04:50
K4177,快速,上海南,05:11,海宁,当天06:30,06:36,贵阳,11:00
K4178,快速,贵阳,12:00,海宁,第2日17:09,17:12,上海南,19:35
K4195/K4198,快速,昭通,03:40,海宁,第2日18:17,18:21,上海南,20:30
K4197,快速,上海南,22:14,海宁,当天23:27,23:32,贵阳,04:27
K4249,快速,上海南,21:38,海宁,当天22:57,23:01,贵阳,02:18
K4250,快速,永州,15:15,海宁,第2日11:44,11:49,上海南,13:41
K4417,快速,上海南,22:54,海宁,第2日00:05,00:10,昆明,15:57
K4418,快速,昆明,23:55,海宁,第3日18:43,18:48,上海南,21:38
K4522,快速,宜昌东,17:00,海宁,第2日19:59,20:04,上海南,21:51
K4590,快速,怀化,15:30,海宁,第2日14:16,14:21,上海南,17:33
K4662/K4663,快速,上海南,09:29,海宁,当天10:39,10:42,成都,05:17
K4670/K4671,快速,上海南,01:36,海宁,当天02:58,03:03,贵阳,08:06
K4760/K4761,快速,长沙,23:15,海宁,第2日14:17,14:20,上海南,15:57
K48/K49,快速,杭州,13:48,海宁,当天14:29,14:32,齐齐哈尔,08:10
K495,快速,上海南,19:03,海宁,当天20:14,20:17,贵阳,22:37
K496,快速,六盘水,10:47,海宁,第2日14:45,14:48,上海南,16:56
K511,快速,上海南,19:21,海宁,当天20:39,20:42,海口,06:30
K512,快速,海口,23:00,海宁,第3日07:05,07:08,上海南,08:55
K527,快速,南京,14:38,海宁,当天20:26,20:29,广州,18:48
K528,快速,广州,07:45,海宁,第2日03:02,03:05,南京,08:16
K5601/K5604,快速,阜阳,13:26,海宁,第2日02:25,02:29,宁波,05:58
K5602/K5603,快速,宁波,18:53,海宁,当天21:54,22:06,阜阳,12:36
K5652,快速,杭州,17:53,海宁,当天18:32,18:38,上海南,21:40
K5655,快速,上海南,21:10,海宁,当天22:20,22:23,义乌,00:45
K5656,快速,杭州,17:53,海宁,当天18:41,18:46,上海南,20:30
K575,快速,上海南,14:18,海宁,当天15:40,15:43,永州,09:05
K576,快速,永州,15:36,海宁,第2日09:28,09:31,上海南,11:18
K5780,快速,杭州,18:30,海宁,当天19:23,19:28,上海南,20:57
K5781,快速,上海南,14:18,海宁,当天15:40,15:43,义乌,17:55
K5782,快速,义乌,18:54,海宁,当天21:07,21:12,上海南,22:40
K5785,快速,上海南,07:23,海宁,当天08:46,08:57,杭州,10:00
K5786,快速,杭州,11:05,海宁,当天11:49,11:54,上海南,13:41
K5788,快速,杭州,17:31,海宁,当天18:15,18:20,上海南,19:37
K5811,快速,连云港东,16:25,海宁,第2日07:39,07:44,杭州,08:39
K5812/K5813,快速,杭州,17:52,海宁,当天18:31,18:36,连云港东,10:02
K5814,快速,连云港东,16:25,海宁,第2日07:39,07:44,杭州,08:39
K71/K74,快速,上海南,14:34,海宁,当天15:54,15:57,重庆北,19:54
K72/K73,快速,重庆北,07:27,海宁,第2日10:30,10:34,上海南,12:15
K739,快速,上海南,19:36,海宁,当天20:56,20:59,昆明,08:18
K740,快速,昆明,23:35,海宁,第3日12:33,12:37,上海南,14:33
K751/K754,快速,上海南,10:42,海宁,当天12:19,12:22,平顶山,12:20
K759,快速,上海南,12:01,海宁,当天13:29,13:32,衡阳,05:00
K76/K77,快速,宁波,15:43,海宁,当天19:06,19:09,长春,09:39
K79,快速,上海南,18:26,海宁,当天19:57,20:00,昆明,06:07
K80,快速,昆明,19:10,海宁,第3日03:30,03:33,上海南,05:16
K808/K809,快速,怀化,12:00,海宁,第2日11:25,11:28,苏州,14:54
K8351/K8354,快速,连云港东,16:25,海宁,第2日07:38,07:41,杭州,08:39
