车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,韩城,第2日01:59,02:09,兰州西,15:04
1096,普快,兰州西,16:27,韩城,第2日05:48,06:00,太原,13:29
2095,普快,太原,19:10,韩城,第2日02:31,02:51,西安,07:03
2096,普快,西安,19:00,韩城,当天22:43,23:01,太原南,07:00
6045,普慢,临汾,09:00,韩城,当天12:22,12:22,韩城,12:22
6046,普慢,韩城,16:54,韩城,当天16:54,16:54,临汾,20:41
7001/7004,普慢,西安,12:35,韩城,当天19:49,19:49,韩城,19:49
7002/7003,普慢,韩城,08:02,韩城,当天08:02,08:02,西安,14:45
K609,快速,北京,23:53,韩城,第2日15:28,15:28,韩城,15:28
K8163,快速,韩城,15:33,韩城,当天15:33,15:33,杨陵,20:55
K8164,快速,西安,11:40,韩城,当天14:51,14:51,韩城,14:51
K8183/K8186,快速,西安,16:26,韩城,当天19:47,19:47,韩城,19:47
K8185,快速,韩城,20:19,韩城,当天20:19,20:19,西安,23:21
K8193,快速,韩城,18:00,韩城,当天18:00,18:00,西安,23:08
K8239,快速,韩城,08:40,韩城,当天08:40,08:40,西安,12:04
K8240,快速,西安,08:00,韩城,当天10:54,10:54,韩城,10:54
K8241,快速,韩城,18:51,韩城,当天18:51,18:51,西安,21:57
K8242,快速,西安,15:30,韩城,当天18:21,18:21,韩城,18:21
K8243,快速,韩城,11:24,韩城,当天11:24,11:24,西安,14:24
K8244,快速,西安,14:59,韩城,当天18:12,18:12,韩城,18:12
