车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1185/K1188,快速,上海南,08:48,横峰,当天16:29,16:32,九江,21:50
K1186/K1187,快速,九江,16:50,横峰,当天22:05,22:33,上海南,07:06
K393/K396,快速,西安,23:58,横峰,第2日21:30,21:37,福州,07:10
K421/K424,快速,成都,11:15,横峰,第2日15:05,15:08,宁波,22:22
K422/K423,快速,宁波,07:39,横峰,当天14:45,14:57,成都,16:14
K4298,快速,赣州,09:45,横峰,当天18:10,18:22,杭州,23:35
K4505/K4508,快速,武昌,21:48,横峰,第2日08:43,08:55,温州,19:30
K4522,快速,宜昌东,17:00,横峰,第2日13:02,13:07,上海南,21:51
K4532/K4533,快速,景德镇,16:45,横峰,当天20:05,20:09,杭州,03:01
K476/K477,快速,贵阳,15:20,横峰,第2日10:49,10:52,福州,21:04
K4977/K4980,快速,上海南,05:51,横峰,当天15:29,15:34,九江,21:31
K4978/K4979,快速,九江,14:45,横峰,当天20:14,20:18,上海南,04:55
K5844,快速,南昌,10:57,横峰,当天13:44,13:47,玉山,14:40
K5846/K5847,快速,南昌,18:57,横峰,当天21:42,21:45,玉山,22:40
K5849,快速,玉山,10:25,横峰,当天11:21,11:24,南昌,14:05
K5861,快速,玉山,16:00,横峰,当天16:58,17:11,南昌,20:20
K5874,快速,南昌,17:05,横峰,当天19:48,19:52,玉山,20:53
K5895,快速,玉山,13:30,横峰,当天14:26,14:29,南昌,17:10
K759,快速,上海南,12:01,横峰,当天20:12,20:16,衡阳,05:00
K803/K806,快速,重庆北,08:07,横峰,第2日10:11,10:25,福州,20:10
K846/K847,快速,贵阳,22:20,横峰,第2日18:24,18:27,宁波,05:11
K8713,快速,玉山,08:18,横峰,当天09:12,09:15,南昌,12:06
K8714,快速,南昌,16:23,横峰,当天19:14,19:17,玉山,20:10
K8720,快速,鹰潭,14:28,横峰,当天15:23,15:26,上饶,15:54
K8721,快速,玉山,12:55,横峰,当天13:49,13:52,南昌,16:38
K8722,快速,南昌,07:27,横峰,当天10:32,10:35,玉山,11:28
K987/K990,快速,信阳,20:40,横峰,第2日06:51,06:55,福州,15:52
T8004,空调特快,南昌,18:16,横峰,当天20:51,20:54,玉山,21:43
