车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,葫芦岛,当天19:37,19:39,上海,18:15
1228/1229,普快,上海,20:22,葫芦岛,第2日20:33,20:35,阜新南,23:26
1490,普快,佳木斯,18:20,葫芦岛,第2日13:21,13:24,天津,19:22
2261,普快,天津,14:23,葫芦岛,当天19:31,19:34,乌兰浩特,07:08
2262,普快,乌兰浩特,17:06,葫芦岛,第2日07:05,07:08,天津,13:10
2589/2592,普快,北京,12:44,葫芦岛,当天19:42,19:45,松原,05:05
4310,普快,通辽,12:16,葫芦岛,当天19:37,19:39,上海,18:15
K1053/K1056,快速,延吉,07:31,葫芦岛,当天23:49,23:51,青岛北,14:59
K1054/K1055,快速,青岛北,18:39,葫芦岛,第2日10:43,10:46,延吉,04:45
K125/K128,快速,长春,13:32,葫芦岛,当天20:26,20:36,西安,20:22
K187/K190,快速,沈阳北,12:20,葫芦岛,当天17:15,17:18,上海,16:04
K188/K189,快速,上海,18:08,葫芦岛,第2日18:21,18:24,沈阳北,23:42
K2045/K2048,快速,沈阳北,08:00,葫芦岛,当天13:33,13:36,西安,14:44
K2385/K2388,快速,长春,11:45,葫芦岛,当天18:39,18:41,南宁,16:55
K2386/K2387,快速,南宁,22:40,葫芦岛,第3日21:25,21:28,长春,05:04
K345/K348,快速,温州,18:20,葫芦岛,第3日03:21,03:24,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,葫芦岛,第2日00:44,00:46,温州,11:40
K4009,快速,山海关,17:58,葫芦岛,当天19:32,19:35,大庆西,09:32
K4017,快速,北京,04:34,葫芦岛,当天11:47,11:50,长春,20:27
K4022,快速,哈尔滨,06:35,葫芦岛,当天18:20,18:22,北京,01:06
K4023,快速,北京,12:07,葫芦岛,当天18:14,18:17,哈尔滨西,04:44
K4081/K4084,快速,北京,01:43,葫芦岛,当天08:00,08:03,齐齐哈尔,05:50
K4082/K4083,快速,齐齐哈尔,19:30,葫芦岛,第2日17:03,17:07,北京,00:43
K4119,快速,天津,00:14,葫芦岛,当天07:47,07:50,牡丹江,01:14
K4120,快速,牡丹江,22:33,葫芦岛,第2日15:26,15:29,天津,23:19
K429,快速,北京,11:27,葫芦岛,当天17:21,17:24,通化,06:24
K4409,快速,北京,01:30,葫芦岛,当天07:01,07:04,通辽,13:10
K4410,快速,乌兰浩特,07:29,葫芦岛,当天18:09,18:12,北京,00:35
K4575/K4578,快速,哈尔滨西,01:25,葫芦岛,当天11:10,11:13,济南,22:59
K4576/K4577,快速,菏泽,14:15,葫芦岛,第2日09:25,09:29,哈尔滨西,23:49
K4688/K4689,快速,青岛北,20:47,葫芦岛,第2日15:18,15:21,齐齐哈尔,04:58
K4729,快速,北京,22:36,葫芦岛,第2日06:29,06:31,海拉尔,08:00
K48/K49,快速,杭州,13:48,葫芦岛,第2日18:52,18:54,齐齐哈尔,08:10
K4929,快速,北京,22:36,葫芦岛,第2日06:29,06:31,齐齐哈尔,23:09
K4930,快速,齐齐哈尔,06:30,葫芦岛,当天23:32,23:35,北京,08:50
K497,快速,北京,13:36,葫芦岛,当天19:55,20:05,加格达奇,15:19
K4984/K4985,快速,南通,06:00,葫芦岛,第2日04:26,04:29,长春,12:54
K4987/K4990,快速,山海关,10:30,葫芦岛,当天12:03,12:13,包头,16:28
K4988/K4989,快速,包头,17:22,葫芦岛,第2日21:35,21:38,山海关,23:11
K5011,快速,绥中,14:19,葫芦岛,当天15:08,15:11,沈阳,18:42
K5012,快速,沈阳,07:08,葫芦岛,当天10:51,10:54,绥中,11:44
K5045,快速,山海关,17:50,葫芦岛,当天19:14,19:17,吉林,05:25
K5046,快速,吉林,17:55,葫芦岛,第2日06:11,06:14,山海关,07:50
K5051,快速,山海关,14:29,葫芦岛,当天16:04,16:07,阜新南,19:30
K5052,快速,阜新南,08:40,葫芦岛,当天11:52,11:55,山海关,13:34
K5083,快速,山海关,22:10,葫芦岛,当天23:38,23:41,锦州,00:20
K5084,快速,锦州,07:43,葫芦岛,当天08:14,08:17,山海关,09:54
K5085,快速,山海关,05:30,葫芦岛,当天06:57,07:00,锦州,07:39
K5086,快速,锦州,15:09,葫芦岛,当天15:43,15:46,山海关,17:28
K55/K58,快速,大连,11:45,葫芦岛,当天20:54,20:57,包头,12:16
K56/K57,快速,包头,18:18,葫芦岛,第2日09:58,10:01,大连,19:12
K702/K703,快速,青岛北,18:32,葫芦岛,第2日10:26,10:35,齐齐哈尔,00:35
K715/K718,快速,大连,13:36,葫芦岛,当天19:58,20:00,郑州,13:30
K7343,快速,山海关,14:30,葫芦岛,当天16:02,16:05,锦州,17:05
K7344,快速,锦州,06:55,葫芦岛,当天07:28,07:31,山海关,09:15
K76/K77,快速,宁波,15:43,葫芦岛,第2日20:43,20:46,长春,09:39
K915,快速,北京东,20:28,葫芦岛,第2日03:49,03:58,阜新南,06:54
K916,快速,阜新南,21:30,葫芦岛,第2日01:52,01:54,北京东,08:12
K955/K958,快速,白城,12:52,葫芦岛,第2日00:24,00:26,青岛北,16:19
K956/K957,快速,青岛北,18:25,葫芦岛,第2日09:40,09:50,白城,21:32
K96,快速,抚顺北,22:02,葫芦岛,第2日05:01,05:04,北京,11:42
T131/T134,空调特快,大连,11:34,葫芦岛,当天17:31,17:34,上海,12:42
T182/T183,空调特快,汉口,15:04,葫芦岛,第2日09:11,09:14,哈尔滨西,18:23
T3017,空调特快,北京,05:10,葫芦岛,当天11:36,11:39,哈尔滨东,23:50
T40,空调特快,齐齐哈尔,17:45,葫芦岛,第2日06:00,06:03,北京,12:22
Z185/Z188,直达特快,沈阳北,17:35,葫芦岛,当天22:01,22:04,深圳,04:28
Z4062,直达特快,长春,10:07,葫芦岛,当天16:16,16:19,北京,21:02
Z4064,直达特快,长春,08:29,葫芦岛,当天14:24,14:27,北京,19:50
Z622/Z722,直达特快,沈阳北,10:02,葫芦岛,当天13:44,13:46,北京西,18:43
