车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4174,普快,佳木斯,12:32,桦南,当天13:49,13:57,牡丹江,19:41
4185,普快,桦南,07:14,桦南,当天07:14,07:14,佳木斯,08:18
4186,普快,佳木斯,05:48,桦南,当天06:53,06:53,桦南,06:53
6215,普慢,桦南,06:45,桦南,当天06:45,06:45,佳木斯,08:31
6216,普慢,佳木斯,04:45,桦南,当天06:17,06:17,桦南,06:17
6281/6284,普慢,七台河,06:28,桦南,当天09:28,09:36,佳木斯,11:01
6282/6283,普慢,佳木斯,14:39,桦南,当天15:54,15:59,七台河,18:58
K5115,快速,桦南,11:04,桦南,当天11:04,11:04,佳木斯,12:13
K5116,快速,佳木斯,09:26,桦南,当天10:35,10:35,桦南,10:35
K5119,快速,桦南,18:25,桦南,当天18:25,18:25,佳木斯,19:28
K5120,快速,佳木斯,16:40,桦南,当天17:59,17:59,桦南,17:59
K7012/K7013,快速,桦南,20:20,桦南,当天20:20,20:20,哈尔滨东,06:21
K7207,快速,桦南,10:45,桦南,当天10:45,10:45,佳木斯,12:04
K7208,快速,佳木斯,09:14,桦南,当天10:21,10:21,桦南,10:21
K7209,快速,桦南,18:58,桦南,当天18:58,18:58,佳木斯,20:04
K7210,快速,佳木斯,17:07,桦南,当天18:38,18:38,桦南,18:38
K7237,快速,桦南,16:38,桦南,当天16:38,16:38,佳木斯,17:54
K7238,快速,佳木斯,15:12,桦南,当天16:16,16:16,桦南,16:16
K7266,快速,佳木斯,07:00,桦南,当天08:21,08:27,牡丹江,13:06
