车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1147/1150,普快,连云港东,16:15,华山,第2日06:22,06:24,宝鸡,10:36
2671,普快,大同,16:40,华山,第2日06:49,07:03,西安,08:51
2675,普快,临汾,06:30,华山,当天12:19,12:19,华山,12:19
2676,普快,华山,13:20,华山,当天13:20,13:20,临汾,19:15
3030/3031,普快,库尔勒,17:05,华山,第3日13:20,13:22,襄阳,09:56
3603,普快,北京,00:52,华山,当天16:06,16:10,重庆北,04:53
3902/3903,普快,汉口,23:59,华山,第2日15:34,15:37,乌鲁木齐南,04:29
4945,普快,潼关,18:30,华山,当天18:42,18:44,西安,20:51
4946,普快,西安,15:12,华山,当天17:14,17:24,潼关,17:42
K1316/K1317,快速,福州,11:50,华山,第2日13:29,13:31,呼和浩特东,08:30
K1886/K1887,快速,张家界,16:16,华山,第2日10:05,10:22,太原,18:30
K237/K240,快速,太原,23:15,华山,第2日07:22,07:40,深圳西,13:40
K2666/K2667,快速,苏州,15:30,华山,第2日11:36,11:52,临汾,16:23
K4185/K4188,快速,西安,12:49,华山,当天14:31,14:34,上海,13:24
K4246/K4247,快速,昆山,19:55,华山,第2日21:24,21:27,兰州,09:45
K8179,快速,潼关,18:22,华山,当天18:34,18:47,西安,20:34
K8211,快速,潼关,09:22,华山,当天09:35,09:45,宝鸡,14:51
T137/T140,空调特快,西安,20:02,华山,当天21:38,21:40,上海,12:33
Z252/Z253,直达特快,上海,15:52,华山,第2日06:13,06:15,西安,07:57
