车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,怀仁,第2日03:52,03:55,包头,12:00
2462/2463,普快,包头,16:14,怀仁,当天23:01,23:04,临汾,08:40
2671,普快,大同,16:40,怀仁,当天17:17,17:20,西安,08:51
2672,普快,西安,22:53,怀仁,第2日14:40,14:43,大同,15:27
4629,普快,大同,06:46,怀仁,当天07:31,07:33,朔州,08:46
4630,普快,朔州,17:50,怀仁,当天19:04,19:06,大同,19:59
4641,普快,大同,15:45,怀仁,当天16:25,16:28,朔州,17:46
4642,普快,朔州,19:12,怀仁,当天20:26,20:29,大同,21:13
6823,普慢,大同,13:06,怀仁,当天13:58,14:01,宁武,16:32
6824,普慢,宁武,14:46,怀仁,当天17:11,17:14,大同,18:15
6826,普慢,宁武,10:47,怀仁,当天13:12,13:15,大同,14:16
8823,普快,大同,13:03,怀仁,当天13:55,13:58,宁武,16:32
8824,普快,宁武,09:12,怀仁,当天11:37,11:40,大同,12:41
K729/K732,快速,广州东,14:50,怀仁,第3日04:40,04:43,大同,05:27
K730/K731,快速,大同,14:20,怀仁,当天14:55,14:59,广州东,05:26
K7807,快速,大同,06:20,怀仁,当天06:55,06:58,运城,19:17
K7808,快速,运城,07:50,怀仁,当天19:24,19:28,大同,20:12
