车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2613/2616,普快,连云港东,16:41,潢川,第2日02:00,02:03,汉口,05:42
2614/2615,普快,汉口,17:55,潢川,当天21:39,21:42,连云港东,06:55
3093,普快,北京西,01:30,潢川,当天16:15,16:18,麻城,17:59
3094,普快,武穴,06:12,潢川,当天10:15,10:18,北京西,00:15
3159,普快,阜阳,15:15,潢川,当天16:56,17:01,东莞东,11:46
3160,普快,东莞东,18:00,潢川,第2日12:40,12:42,阜阳,14:10
3223,普快,潢川,22:55,潢川,当天22:55,22:55,深圳东,20:15
3269,普快,潢川,21:16,潢川,当天21:16,21:16,东莞东,19:00
3291,普快,潢川,12:07,潢川,当天12:07,12:07,东莞东,09:37
3385/3388,普快,吉安,06:19,潢川,当天16:13,16:17,郑州,01:25
3555/3558,普快,信阳,13:00,潢川,当天15:01,15:11,上海,04:49
3556/3557,普快,上海,05:49,潢川,当天18:12,18:17,信阳,20:09
8323,普快,固始,13:53,潢川,当天14:55,15:10,信阳,17:04
8324,普快,信阳,08:00,潢川,当天09:54,10:09,固始,11:11
8331,普快,淮滨,10:20,潢川,当天11:12,11:14,麻城,13:23
8332,普快,麻城,07:05,潢川,当天09:03,09:05,淮滨,09:50
K1039/K1042,快速,兰州,22:02,潢川,第2日19:12,19:17,宁波,08:09
K106,快速,深圳,10:31,潢川,第2日04:45,05:06,北京西,16:23
K1065/K1068,快速,汉口,11:39,潢川,当天15:00,15:04,威海,08:01
K1073,快速,济南,18:18,潢川,第2日03:15,03:32,长沙,13:02
K1105/K1108,快速,南阳,21:30,潢川,第2日02:00,02:10,上海,13:05
K1106/K1107,快速,上海,15:04,潢川,第2日01:00,01:03,南阳,05:25
K1121/K1124,快速,宝鸡,07:05,潢川,当天19:45,19:49,绍兴,07:06
K1122/K1123,快速,绍兴,09:16,潢川,当天20:12,20:15,宝鸡,10:19
K1136/K1137,快速,青岛,17:40,潢川,第2日07:48,07:51,南宁,10:45
K1155/K1158,快速,成都,11:07,潢川,第2日05:23,05:35,上海,16:24
K1156/K1157,快速,上海,11:16,潢川,当天22:01,22:05,成都,15:45
K1201/K1204,快速,烟台,12:38,潢川,第2日05:48,05:51,贵阳,04:45
K1202/K1203,快速,贵阳,16:01,潢川,第2日15:26,15:36,烟台,10:08
K1309/K1312,快速,东莞东,18:10,潢川,第2日11:25,11:30,西宁,12:23
K1310/K1311,快速,西宁,20:00,潢川,第2日20:10,20:15,东莞东,13:17
K132/K133,快速,兰州,13:16,潢川,第2日13:52,13:56,深圳西,09:30
K1322/K1323,快速,榆林,09:20,潢川,第2日04:30,04:37,苏州,15:47
K1324,快速,苏州,17:15,潢川,第2日06:43,06:47,榆林,05:15
K1453,快速,北京西,12:19,潢川,第2日00:51,00:54,赣州,11:40
K1546/K1547,快速,福州,21:50,潢川,第2日16:58,17:01,佳木斯,04:47
K1575/K1578,快速,太原,10:20,潢川,当天23:21,23:24,福州,11:10
K1576/K1577,快速,福州,17:47,潢川,第2日06:57,07:00,太原,21:33
K1619/K1622,快速,天津,22:20,潢川,第2日10:36,10:39,深圳东,06:34
K1623/K1626,快速,连云港东,16:36,潢川,第2日01:39,01:48,汉口,05:12
K2385/K2388,快速,长春,11:45,潢川,第2日13:44,13:47,南宁,16:55
K2386/K2387,快速,南宁,22:40,潢川,第3日00:53,00:56,长春,05:04
K301/K304,快速,连云港东,11:41,潢川,当天20:27,20:30,广州,15:13
K302,快速,广州,21:06,潢川,第2日15:49,15:55,徐州,21:10
K305/K308,快速,温州,18:50,潢川,第2日11:50,11:52,兰州,08:08
