车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2167,普快,长春,18:41,吉林,当天20:16,20:26,牡丹江,09:53
4301,普快,吉林,16:55,吉林,当天16:55,16:55,舒兰,19:06
4302,普快,舒兰,04:50,吉林,当天06:49,06:49,吉林,06:49
4341,普快,吉林,07:28,吉林,当天07:28,07:28,山河屯,10:21
4342,普快,山河屯,14:03,吉林,当天16:52,16:52,吉林,16:52
4343,普快,吉林,06:35,吉林,当天06:35,06:35,图们,14:35
4344,普快,图们,06:55,吉林,当天15:38,15:38,吉林,15:38
4375/4378,普快,长春,07:45,吉林,当天09:41,09:53,榆树,13:41
4376/4377,普快,榆树,10:19,吉林,当天13:42,13:49,长春,16:38
6021,普慢,吉林,07:28,吉林,当天07:28,07:28,哈尔滨东,14:00
6022,普慢,哈尔滨东,15:40,吉林,当天21:55,21:55,吉林,21:55
C1001,城际高速,长春,05:47,吉林,当天06:27,06:29,延吉西,08:04
C1003,城际高速,长春,06:30,吉林,当天07:10,07:12,珲春,09:40
C1004,城际高速,延吉西,07:36,吉林,当天09:17,09:19,长春,09:59
C1005,城际高速,长春,06:52,吉林,当天07:32,07:34,延吉西,09:09
C1006,城际高速,延吉西,10:01,吉林,当天11:42,11:44,长春,12:24
C1007,城际高速,长春,07:27,吉林,当天08:07,08:10,延吉西,09:39
C1008,城际高速,珲春,10:00,吉林,当天12:23,12:25,长春,13:05
C1009,城际高速,长春西,07:51,吉林,当天09:00,09:02,珲春,11:19
C1010,城际高速,延吉西,11:25,吉林,当天13:00,13:02,长春,13:42
C1012,城际高速,珲春,11:41,吉林,当天13:58,14:00,长春,14:40
C1013,城际高速,长春,09:27,吉林,当天10:07,10:10,珲春,12:26
C1014,城际高速,珲春,13:50,吉林,当天16:13,16:15,长春,16:55
C1015,城际高速,长春,10:20,吉林,当天11:00,11:02,珲春,13:19
C1016,城际高速,延吉西,15:37,吉林,当天17:12,17:15,长春,17:55
C1017,城际高速,长春,13:00,吉林,当天13:40,13:42,延吉西,15:17
C1018,城际高速,延吉西,16:14,吉林,当天18:01,18:04,长春,18:46
C1019,城际高速,长春,13:31,吉林,当天14:11,14:13,延吉西,15:54
C1020,城际高速,延吉西,17:29,吉林,当天19:04,19:07,长春,19:47
C1021,城际高速,长春,14:32,吉林,当天15:12,15:14,延吉西,16:55
C1022,城际高速,珲春,17:38,吉林,当天19:55,19:57,长春,20:37
C1023,城际高速,长春,15:10,吉林,当天15:55,15:57,珲春,18:20
C1024,城际高速,延吉西,18:34,吉林,当天20:15,20:17,长春,20:57
C1025,城际高速,长春,17:15,吉林,当天17:55,17:57,珲春,20:08
C1026,城际高速,珲春,18:40,吉林,当天21:03,21:05,长春,21:45
C1027,城际高速,长春,19:08,吉林,当天19:48,19:51,延吉西,21:32
C1028,城际高速,延吉西,20:20,吉林,当天21:55,21:57,长春,22:37
C1029,城际高速,长春,21:01,吉林,当天21:41,21:43,敦化,22:37
C1030,城际高速,敦化,06:33,吉林,当天07:34,07:36,长春,08:16
C1041,城际高速,长春,18:52,吉林,当天19:32,19:34,延吉西,21:09
C1042,城际高速,珲春,08:22,吉林,当天10:45,10:47,长春,11:27
C1043,城际高速,长春,12:26,吉林,当天13:06,13:09,珲春,15:38
C1044,城际高速,珲春,16:24,吉林,当天18:53,18:58,长春,19:38
C1045,城际高速,长春,13:10,吉林,当天13:50,13:53,延吉西,15:34
C1046,城际高速,延吉西,16:02,吉林,当天17:49,17:57,长春,18:38
C1047,城际高速,长春,08:05,吉林,当天08:45,08:47,延吉西,10:22
