车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2149/2152,普快,日照,19:20,济宁,第2日00:30,00:32,郑州,05:50
2150/2151,普快,郑州,21:00,济宁,第2日02:29,02:34,日照,07:35
5022/5023,普快,青岛,20:32,济宁,第2日05:15,05:30,曹县,07:39
5025/5028,普快,曹县,21:36,济宁,当天23:51,23:58,青岛,07:26
5039/5042,普快,威海,19:42,济宁,第2日07:14,07:17,菏泽,08:28
5045,普快,济南,08:48,济宁,当天11:34,11:34,济宁,11:34
5046,普快,济宁,17:36,济宁,当天17:36,17:36,济南,20:34
K1073,快速,济南,18:18,济宁,当天20:57,21:00,长沙,13:02
K1074,快速,长沙,15:00,济宁,第2日06:29,06:37,济南,09:33
K1136/K1137,快速,青岛,17:40,济宁,第2日01:07,01:10,南宁,10:45
K1509/K1512,快速,义乌,11:03,济宁,第2日04:52,04:58,聊城,08:07
K1511,快速,聊城,12:59,济宁,当天16:23,16:27,金华,09:20
K1677,快速,济南,09:46,济宁,当天12:33,12:38,张家界,09:22
K1678,快速,张家界,20:33,济宁,第2日16:38,16:41,济南,19:34
K1901/K1904,快速,北京,23:26,济宁,第2日08:11,08:14,日照,12:42
K341/K344,快速,青岛,12:50,济宁,当天20:25,20:28,南昌,09:11
K4115/K4118,快速,日照,11:15,济宁,当天17:51,17:54,西安,07:51
K4116/K4117,快速,西安,14:52,济宁,第2日04:24,04:38,日照,09:58
K4576/K4577,快速,菏泽,14:15,济宁,当天15:27,15:30,哈尔滨西,23:49
K5501,快速,济南,08:48,济宁,当天11:34,11:37,菏泽,13:00
K5502,快速,菏泽,15:22,济宁,当天16:38,16:41,济南,19:34
K631/K634,快速,日照,07:22,济宁,当天13:06,13:09,信阳,22:21
K632/K633,快速,信阳,07:20,济宁,当天16:58,17:00,日照,21:35
T179,空调特快,济南,17:19,济宁,当天20:01,20:08,广州,16:24
T396/T397,空调特快,青岛,16:56,济宁,第2日00:02,00:10,深圳,20:52
