车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2011,普快,张家界,17:26,吉首,当天19:18,19:28,南宁,09:21
2012,普快,南宁,16:50,吉首,第2日06:21,06:31,张家界,08:16
3315/3318,普快,苏州,00:26,吉首,第2日01:38,01:48,怀化,04:30
3316/3317,普快,怀化,15:50,吉首,当天17:28,17:36,苏州,23:06
7265,普慢,张家界,08:30,吉首,当天12:08,12:16,怀化,14:50
7266,普慢,怀化,07:00,吉首,当天09:08,09:14,澧县,15:58
K1261,快速,襄阳,21:30,吉首,第2日08:17,08:31,昆明,04:25
K1262,快速,昆明,09:45,吉首,第2日03:28,03:35,襄阳,14:29
K1373/K1376,快速,上海南,16:49,吉首,第2日15:00,15:08,怀化,17:10
K1374/K1375,快速,怀化,15:08,吉首,当天16:48,16:56,上海南,15:13
K379,快速,张家界,17:26,吉首,当天19:18,19:26,南宁,08:50
K380,快速,南宁,17:20,吉首,第2日06:21,06:31,张家界,08:16
K4267,快速,北京西,23:00,吉首,第2日23:35,23:43,怀化,01:12
K4705/K4708,快速,吉首,12:30,吉首,当天12:30,12:30,武昌,05:01
K4706/K4707,快速,武昌,18:30,吉首,第2日08:50,08:50,吉首,08:50
K473,快速,北京,16:16,吉首,第2日18:48,18:57,昆明,12:14
K474,快速,昆明,19:38,吉首,第2日12:08,12:14,北京,14:55
K748/K749,快速,南宁,17:20,吉首,第2日06:21,06:31,西宁,15:36
K807/K810,快速,苏州,16:59,吉首,第2日19:32,19:40,怀化,21:19
K808/K809,快速,怀化,12:00,吉首,当天13:30,13:36,苏州,14:54
K9005/K9008,快速,张家界,15:25,吉首,当天17:37,17:49,深圳,12:35
K9031/K9034,快速,长沙,20:36,吉首,第2日05:06,05:18,张家界,07:22
K9032/K9033,快速,张家界,19:00,吉首,当天20:42,20:50,长沙,05:28
K9064/K9065,快速,深圳西,10:30,吉首,第2日05:46,06:00,铜仁,10:00
K9067/K9070,快速,张家界,16:05,吉首,当天17:56,18:08,肇庆,12:29
K9068/K9069,快速,肇庆,18:46,吉首,第2日12:53,13:00,张家界,14:55
