车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K29/K32,快速,洛阳,13:14,建瓯,第2日09:47,09:51,福州,13:28
K394/K395,快速,福州,08:18,建瓯,当天14:52,14:58,西安,15:05
K475/K478,快速,福州,10:15,建瓯,当天14:27,14:31,贵阳,13:19
K476/K477,快速,贵阳,15:20,建瓯,第2日16:22,16:28,福州,21:04
K4804/K4805,快速,福州,16:37,建瓯,当天21:20,21:31,重庆北,05:35
K4806,快速,广元,03:10,建瓯,第2日15:35,15:42,福州,20:05
K525,快速,南京,13:17,建瓯,第2日05:11,05:20,福州,09:08
K526,快速,福州,11:44,建瓯,当天16:25,16:31,南京,08:09
K635/K638,快速,福州,16:08,建瓯,当天19:47,20:19,昆明,08:18
K803/K806,快速,重庆北,08:07,建瓯,第2日15:37,15:42,福州,20:10
K987/K990,快速,信阳,20:40,建瓯,第2日10:06,10:12,福州,15:52
