车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,介休,当天21:06,21:09,兰州西,15:04
1096,普快,兰州西,16:27,介休,第2日11:24,11:28,太原,13:29
2095,普快,太原,19:10,介休,当天21:13,21:18,西安,07:03
2096,普快,西安,19:00,介休,第2日04:41,04:47,太原南,07:00
2461/2464,普快,临汾,18:40,介休,当天20:54,20:58,包头,12:00
2462/2463,普快,包头,16:14,介休,第2日06:19,06:23,临汾,08:40
2671,普快,大同,16:40,介休,第2日00:37,00:41,西安,08:51
2672,普快,西安,22:53,介休,第2日06:57,07:01,大同,15:27
4611,普快,太原,07:09,介休,当天10:26,10:26,介休,10:26
4612,普快,介休,15:23,介休,当天15:23,15:23,太原,17:47
4631,普快,太原,18:06,介休,当天20:07,20:12,临汾,22:22
6815,普快,介休,10:32,介休,当天10:32,10:32,阳泉曲,11:50
6816,普快,阳泉曲,14:00,介休,当天15:17,15:17,介休,15:17
8815,普快,介休,10:32,介休,当天10:32,10:32,阳泉曲,11:50
8816,普快,阳泉曲,14:00,介休,当天15:17,15:17,介休,15:17
K1886/K1887,快速,张家界,16:16,介休,第2日16:33,16:37,太原,18:30
K237/K240,快速,太原,23:15,介休,第2日01:01,01:05,深圳西,13:40
K4097,快速,北京西,01:35,介休,当天17:24,17:28,临汾,19:43
K5321,快速,太原,16:05,介休,当天18:01,18:05,临汾,20:13
K5322,快速,临汾,08:15,介休,当天10:25,10:29,太原,12:30
K5325,快速,太原,19:10,介休,当天21:06,21:09,河津,01:07
K5326,快速,河津,06:27,介休,当天10:49,10:53,太原,12:52
K603,快速,北京,17:12,介休,第2日05:21,05:25,运城,09:55
K604,快速,运城,12:36,介休,当天17:15,17:19,北京,05:33
K609,快速,北京,23:53,介休,第2日09:59,10:07,韩城,15:28
K690,快速,重庆北,07:47,介休,第2日03:11,03:16,太原,05:22
K7807,快速,大同,06:20,介休,当天14:37,14:41,运城,19:17
K7808,快速,运城,07:50,介休,当天12:25,12:33,大同,20:12
K865/K868,快速,唐山,19:46,介休,第2日09:37,09:41,临汾,11:51
K866/K867,快速,运城,13:32,介休,当天18:08,18:12,唐山,07:12
