车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3055/3058,普快,上海南,00:50,进贤,当天10:23,10:27,重庆北,12:35
K1185/K1188,快速,上海南,08:48,进贤,当天18:45,18:48,九江,21:50
K1186/K1187,快速,九江,16:50,进贤,当天19:59,20:11,上海南,07:06
K1250/K1251,快速,上海南,11:13,进贤,当天20:30,20:34,重庆,23:49
K150,快速,湛江,22:45,进贤,第2日20:30,20:34,上海南,06:12
K1670/K1671,快速,温州,17:50,进贤,第2日04:45,04:48,九江,07:18
K394/K395,快速,福州,08:18,进贤,当天20:36,20:41,西安,15:05
K4039,快速,鹰潭,13:40,进贤,当天14:39,14:44,东莞东,02:56
K4281,快速,上饶,12:58,进贤,当天15:45,15:50,南昌,16:36
K4282,快速,南昌,16:23,进贤,当天17:36,17:41,上海南,04:35
K4326,快速,赣州,11:30,进贤,当天17:22,17:27,上海南,03:08
K4701,快速,鹰潭,21:02,进贤,当天21:59,22:03,广州东,11:55
K475/K478,快速,福州,10:15,进贤,当天19:52,19:55,贵阳,13:19
K4977/K4980,快速,上海南,05:51,进贤,当天18:21,18:26,九江,21:31
K4978/K4979,快速,九江,14:45,进贤,当天18:04,18:08,上海南,04:55
K527,快速,南京,14:38,进贤,第2日05:21,05:25,广州,18:48
K528,快速,广州,07:45,进贤,当天19:41,19:44,南京,08:16
K529/K532,快速,杭州,10:50,进贤,当天18:01,18:05,成都东,21:18
K581/K584,快速,宁波,08:16,进贤,当天17:38,17:41,南宁,12:18
K582/K583,快速,南宁,21:55,进贤,第2日20:18,20:23,宁波,06:17
K5843,快速,玉山,15:51,进贤,当天19:22,19:26,南昌,20:27
K5844,快速,南昌,10:57,进贤,当天11:41,11:44,玉山,14:40
K5848,快速,南昌,09:40,进贤,当天10:39,10:42,玉山,13:46
K5849,快速,玉山,10:25,进贤,当天13:17,13:20,南昌,14:05
K5861,快速,玉山,16:00,进贤,当天19:23,19:27,南昌,20:20
K5872/K5873,快速,九江,12:54,进贤,当天15:52,15:55,景德镇,19:20
K5875/K5878,快速,景德镇,14:30,进贤,当天18:24,18:28,九江,21:37
K5891,快速,鹰潭,10:19,进贤,当天11:18,11:22,萍乡,15:08
K5895,快速,玉山,13:30,进贤,当天16:22,16:25,南昌,17:10
K794/K795,快速,广州东,16:30,进贤,第2日04:34,04:44,鹰潭,05:41
K8713,快速,玉山,08:18,进贤,当天11:18,11:21,南昌,12:06
K8714,快速,南昌,16:23,进贤,当天17:08,17:11,玉山,20:10
K8715,快速,景德镇,07:38,进贤,当天11:53,11:56,南昌,12:41
K8716,快速,南昌,17:00,进贤,当天17:53,17:56,景德镇,22:02
K8721,快速,玉山,12:55,进贤,当天15:50,15:53,南昌,16:38
K8722,快速,南昌,07:27,进贤,当天08:20,08:23,玉山,11:28
K8729,快速,景德镇,14:05,进贤,当天17:32,17:35,南昌,18:25
K8730,快速,南昌,08:11,进贤,当天09:04,09:07,景德镇,12:47
K945/K948,快速,贵阳,20:56,进贤,第2日14:48,14:51,厦门,07:30
K946/K947,快速,厦门,20:15,进贤,第2日10:31,10:41,贵阳,05:13
T8004,空调特快,南昌,18:16,进贤,当天19:04,19:07,玉山,21:43
