车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K101/K104,快速,北京,23:20,缙云,第3日02:04,02:07,温州,05:50
K102,快速,温州,12:00,缙云,当天14:50,14:52,北京,15:43
K1050/K1051,快速,温州,23:00,缙云,第2日02:48,02:50,青岛北,06:10
K1237/K1240,快速,郑州,12:33,缙云,第2日08:15,08:20,温州,11:57
K1238/K1239,快速,温州,15:10,缙云,当天17:57,18:00,郑州,12:53
K1256/K1257,快速,温州,20:00,缙云,当天22:32,22:34,成都东,07:46
K1395/K1398,快速,太原,21:14,缙云,第3日01:27,01:35,温州,05:30
K1586/K1587,快速,温州,13:47,缙云,当天16:25,16:27,武昌,05:55
K1670/K1671,快速,温州,17:50,缙云,当天20:33,20:35,九江,07:18
K2905/K2908,快速,西安,20:59,缙云,第3日00:53,01:00,温州,05:00
K2906/K2907,快速,温州,07:00,缙云,当天09:29,09:31,西安,13:39
K305/K308,快速,温州,18:50,缙云,当天21:51,21:53,兰州,08:08
K306/K307,快速,兰州,20:33,缙云,第3日09:23,09:30,温州,13:40
K325/K328,快速,温州,17:15,缙云,当天19:55,19:57,广州,16:30
K326/K327,快速,广州,10:17,缙云,第2日06:56,06:58,温州,10:00
K345/K348,快速,温州,18:20,缙云,当天21:09,21:12,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,缙云,第3日07:43,07:46,温州,11:40
K4401/K4404,快速,南昌,18:21,缙云,第2日04:48,04:51,温州,07:50
K4402/K4403,快速,温州,08:30,缙云,当天11:50,12:00,南昌,20:55
K4505/K4508,快速,武昌,21:48,缙云,第2日14:54,14:56,温州,19:30
K4555/K4558,快速,汉口,09:12,缙云,第2日05:25,05:31,温州,08:47
K4556/K4557,快速,温州,09:40,缙云,当天13:00,13:16,汉口,03:38
K5621/K5624,快速,阜阳,22:00,缙云,第2日12:27,12:29,温州,15:56
K8401/K8404,快速,亳州,10:43,缙云,第2日07:12,07:14,温州,10:30
K8402/K8403,快速,温州,11:20,缙云,当天14:06,14:08,阜阳,06:47
K941/K944,快速,温州,07:30,缙云,当天10:01,10:03,贵阳,09:51
K942/K943,快速,贵阳,11:15,缙云,第2日11:50,11:52,温州,14:27
