车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,锦州,当天18:53,19:04,上海,18:15
1228/1229,普快,上海,20:22,锦州,第2日21:14,21:37,阜新南,23:26
1489,普快,天津,20:30,锦州,第2日04:41,04:47,佳木斯,22:50
1490,普快,佳木斯,18:20,锦州,第2日12:42,12:48,天津,19:22
2065/2068,普快,承德,07:02,锦州,当天16:21,16:36,沈阳,19:40
2066/2067,普快,沈阳,08:20,锦州,当天11:08,11:22,承德,21:16
2261,普快,天津,14:23,锦州,当天20:13,20:28,乌兰浩特,07:08
2262,普快,乌兰浩特,17:06,锦州,第2日06:18,06:32,天津,13:10
2549,普快,北京,22:45,锦州,第2日04:31,04:37,鞍山,07:19
2589/2592,普快,北京,12:44,锦州,当天20:24,20:36,松原,05:05
4310,普快,通辽,12:16,锦州,当天18:53,19:04,上海,18:15
K1053/K1056,快速,延吉,07:31,锦州,当天23:10,23:16,青岛北,14:59
K1054/K1055,快速,青岛北,18:39,锦州,第2日11:25,11:31,延吉,04:45
K125/K128,快速,长春,13:32,锦州,当天19:48,19:53,西安,20:22
K1546/K1547,快速,福州,21:50,锦州,第3日10:55,11:00,佳木斯,04:47
K1571/K1574,快速,重庆北,14:57,锦州,第3日03:49,03:57,长春,11:30
K187/K190,快速,沈阳北,12:20,锦州,当天16:38,16:42,上海,16:04
K188/K189,快速,上海,18:08,锦州,第2日19:04,19:10,沈阳北,23:42
K19,快速,北京,23:00,锦州,第2日06:11,06:15,满洲里,04:17
K20,快速,满洲里,23:59,锦州,第2日22:11,22:16,北京,05:46
K2045/K2048,快速,沈阳北,08:00,锦州,当天12:52,13:00,西安,14:44
K2385/K2388,快速,长春,11:45,锦州,当天17:58,18:06,南宁,16:55
K2386/K2387,快速,南宁,22:40,锦州,第3日22:07,22:11,长春,05:04
K28,快速,丹东,18:31,锦州,第2日00:56,01:00,北京,08:38
K294/K295,快速,济南,19:25,锦州,第2日06:26,06:32,哈尔滨东,17:29
K345/K348,快速,温州,18:20,锦州,第3日04:04,04:07,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,锦州,第2日00:06,00:10,温州,11:40
K39/K7139,快速,北京,23:00,锦州,第2日06:11,06:15,鸡西,23:52
K4009,快速,山海关,17:58,锦州,当天20:14,20:20,大庆西,09:32
K4017,快速,北京,04:34,锦州,当天12:29,12:39,长春,20:27
K4018,快速,长春,14:37,锦州,当天21:04,21:08,北京,03:36
K4021/K4024,快速,北京,02:06,锦州,当天10:47,10:51,哈尔滨,23:23
K4022,快速,哈尔滨,06:35,锦州,当天17:41,17:47,北京,01:06
K4023,快速,北京,12:07,锦州,当天18:56,19:02,哈尔滨西,04:44
K4081/K4084,快速,北京,01:43,锦州,当天08:42,08:48,齐齐哈尔,05:50
K4082/K4083,快速,齐齐哈尔,19:30,锦州,第2日16:24,16:30,北京,00:43
K4119,快速,天津,00:14,锦州,当天08:32,08:38,牡丹江,01:14
K4120,快速,牡丹江,22:33,锦州,第2日14:43,14:49,天津,23:19
K429,快速,北京,11:27,锦州,当天18:03,18:09,通化,06:24
K4409,快速,北京,01:30,锦州,当天07:39,07:53,通辽,13:10
K4410,快速,乌兰浩特,07:29,锦州,当天17:20,17:36,北京,00:35
K4575/K4578,快速,哈尔滨西,01:25,锦州,当天10:30,10:36,济南,22:59
K4576/K4577,快速,菏泽,14:15,锦州,第2日10:11,10:17,哈尔滨西,23:49
K4688/K4689,快速,青岛北,20:47,锦州,第2日16:00,16:14,齐齐哈尔,04:58
K4690,快速,齐齐哈尔,09:50,锦州,当天22:21,22:33,青岛北,19:55
K4729,快速,北京,22:36,锦州,第2日07:10,07:18,海拉尔,08:00
K4789,快速,天津,20:30,锦州,第2日03:41,03:47,佳木斯,20:28
K48/K49,快速,杭州,13:48,锦州,第2日19:33,19:44,齐齐哈尔,08:10
K489,快速,天津,20:30,锦州,第2日03:41,03:47,佳木斯,20:45
K4929,快速,北京,22:36,锦州,第2日07:10,07:18,齐齐哈尔,23:09
K4930,快速,齐齐哈尔,06:30,锦州,当天22:45,22:55,北京,08:50
K497,快速,北京,13:36,锦州,当天20:46,20:58,加格达奇,15:19
K4984/K4985,快速,南通,06:00,锦州,第2日05:08,05:13,长春,12:54
K4987/K4990,快速,山海关,10:30,锦州,当天12:52,13:05,包头,16:28
K4988/K4989,快速,包头,17:22,锦州,第2日20:49,21:02,山海关,23:11
K5011,快速,绥中,14:19,锦州,当天15:50,15:56,沈阳,18:42
K5012,快速,沈阳,07:08,锦州,当天10:12,10:18,绥中,11:44
K5045,快速,山海关,17:50,锦州,当天20:08,20:14,吉林,05:25
K5046,快速,吉林,17:55,锦州,第2日05:18,05:38,山海关,07:50
K5051,快速,山海关,14:29,锦州,当天17:03,17:26,阜新南,19:30
K5052,快速,阜新南,08:40,锦州,当天10:58,11:19,山海关,13:34
K5053,快速,锦州,04:08,锦州,当天04:08,04:08,阜新南,06:24
K5054,快速,阜新南,20:45,锦州,当天22:56,22:56,锦州,22:56
K5083,快速,山海关,22:10,锦州,第2日00:20,00:20,锦州,00:20
K5084,快速,锦州,07:43,锦州,当天07:43,07:43,山海关,09:54
K5085,快速,山海关,05:30,锦州,当天07:39,07:39,锦州,07:39
K5086,快速,锦州,15:09,锦州,当天15:09,15:09,山海关,17:28
K55/K58,快速,大连,11:45,锦州,当天20:13,20:21,包头,12:16
K56/K57,快速,包头,18:18,锦州,第2日10:38,10:42,大连,19:12
K702/K703,快速,青岛北,18:32,锦州,第2日11:14,11:20,齐齐哈尔,00:35
K715/K718,快速,大连,13:36,锦州,当天19:19,19:25,郑州,13:30
K7343,快速,山海关,14:30,锦州,当天17:05,17:05,锦州,17:05
K7344,快速,锦州,06:55,锦州,当天06:55,06:55,山海关,09:15
K7345,快速,锦州,08:18,锦州,当天08:18,08:18,沈阳,12:06
K7361/K7364,快速,赤峰,22:23,锦州,第2日05:43,06:02,丹东,14:06
