车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3009,普快,北京西,01:43,荆门,当天21:49,21:58,宜昌东,01:07
K1256/K1257,快速,温州,20:00,荆门,第2日14:53,14:55,成都东,07:46
K1261,快速,襄阳,21:30,荆门,当天22:53,23:01,昆明,04:25
K1262,快速,昆明,09:45,荆门,第2日13:01,13:04,襄阳,14:29
K1677,快速,济南,09:46,荆门,第2日03:39,03:44,张家界,09:22
K1678,快速,张家界,20:33,荆门,第2日01:04,01:07,济南,19:34
K1886/K1887,快速,张家界,16:16,荆门,当天22:51,22:54,太原,18:30
K252/K253,快速,上海南,15:37,荆门,第2日13:53,13:57,宜昌东,15:21
K355/K358,快速,重庆北,23:20,荆门,第2日11:37,11:43,广州,05:12
K356/K357,快速,广州,09:22,荆门,第2日01:48,01:54,重庆北,15:30
K381/K384,快速,南通,17:08,荆门,第2日09:55,09:58,宜昌东,12:03
K382/K383,快速,宜昌东,13:55,荆门,当天15:46,15:49,南通,07:36
K4267,快速,北京西,23:00,荆门,第2日16:42,16:45,怀化,01:12
K4287,快速,北京,12:31,荆门,第2日11:55,12:00,宜昌东,14:56
K4288,快速,宜昌东,05:45,荆门,当天07:23,07:33,北京,03:35
K4522,快速,宜昌东,17:00,荆门,当天19:03,19:10,上海南,21:51
K4705/K4708,快速,吉首,12:30,荆门,当天22:18,23:01,武昌,05:01
K4706/K4707,快速,武昌,18:30,荆门,当天22:19,22:37,吉首,08:50
K473,快速,北京,16:16,荆门,第2日11:28,11:31,昆明,12:14
K474,快速,昆明,19:38,荆门,第2日19:24,19:27,北京,14:55
K529/K532,快速,杭州,10:50,荆门,第2日05:19,05:26,成都东,21:18
K530/K531,快速,成都东,22:40,荆门,第2日12:28,12:31,杭州,07:45
K535/K538,快速,洛阳,16:52,荆门,第2日00:51,00:54,深圳,19:01
K536/K537,快速,深圳,14:02,荆门,第2日08:09,08:14,洛阳,15:32
K625/K628,快速,宜昌东,19:40,荆门,当天21:01,21:04,西安,07:10
K646/K647,快速,西安,16:20,荆门,第2日05:38,05:42,广州,20:50
K697,快速,汉口,23:16,荆门,第2日05:53,05:56,成都,23:26
K698,快速,成都,19:31,荆门,第2日10:43,10:46,汉口,17:02
K8087/K8090,快速,恩施,07:00,荆门,当天11:16,11:19,武昌,15:59
K8088/K8089,快速,武昌,19:43,荆门,当天22:59,23:02,恩施,06:00
K8091,快速,汉口,20:30,荆门,当天23:33,23:36,恩施,04:30
K8092,快速,恩施,08:30,荆门,当天13:18,13:26,汉口,17:20
K8101,快速,襄阳,06:35,荆门,当天08:00,08:00,荆门,08:00
K8102,快速,荆门,08:25,荆门,当天08:25,08:25,汉口,11:49
K8103,快速,汉口,17:20,荆门,当天20:40,20:40,荆门,20:40
K8104,快速,荆门,21:13,荆门,当天21:13,21:13,襄阳,22:35
K8105,快速,汉口,12:25,荆门,当天18:15,18:15,荆门,18:15
K8106,快速,荆门,19:15,荆门,当天19:15,19:15,汉口,22:55
K8111,快速,汉口,12:25,荆门,当天15:57,15:57,荆门,15:57
K8112,快速,荆门,16:55,荆门,当天16:55,16:55,汉口,20:30
K8114/K8115,快速,武昌,15:05,荆门,当天19:10,19:10,荆门,19:10
K8116,快速,荆门,08:52,荆门,当天08:52,08:52,武昌,12:38
K8123,快速,襄阳,06:36,荆门,当天08:06,08:06,荆门,08:06
K8124,快速,荆门,19:36,荆门,当天19:36,19:36,襄阳,20:58
K8135,快速,汉口,12:30,荆门,当天16:40,16:40,荆门,16:40
K8136,快速,荆门,08:00,荆门,当天08:00,08:00,汉口,11:30
K859,快速,新乡,16:00,荆门,第2日03:01,03:05,长沙,09:52
K860,快速,长沙,12:10,荆门,当天19:04,19:08,新乡,05:35
K935,快速,襄阳,17:50,荆门,当天19:19,19:24,广州东,11:15
K936,快速,广州东,13:28,荆门,第2日06:48,06:51,襄阳,09:22
T3049,空调特快,北京西,08:50,荆门,当天23:54,23:58,恩施,04:28
T6701,空调特快,汉口,07:38,荆门,当天11:14,11:14,荆门,11:14
T6702,空调特快,荆门,16:40,荆门,当天16:40,16:40,汉口,20:25
T6704/T6705,空调特快,武昌,11:51,荆门,当天15:40,15:40,荆门,15:40
T6706,空调特快,荆门,14:00,荆门,当天14:00,14:00,武昌,18:20
