车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2635,普快,呼和浩特,16:03,景泰,第2日05:39,05:41,兰州西,09:32
2636,普快,兰州西,10:48,景泰,当天15:04,15:06,呼和浩特,06:03
7509,普慢,干塘,15:13,景泰,当天16:33,16:35,兰州,23:32
7510,普慢,兰州,07:46,景泰,当天13:31,13:34,干塘,14:47
K6801,快速,银川,19:20,景泰,第2日01:13,01:16,兰州,05:05
K6803,快速,石嘴山,21:08,景泰,第2日03:16,03:21,兰州西,07:48
K6965,快速,平凉,23:50,景泰,第2日07:52,07:54,兰州,11:06
K6966,快速,兰州,20:50,景泰,第2日01:08,01:14,平凉,08:50
K886/K887,快速,西宁,10:35,景泰,当天17:00,17:02,天津,16:06
K9663,快速,长庆桥,19:57,景泰,第2日05:59,06:01,兰州,09:19
K9664,快速,兰州,19:59,景泰,当天23:08,23:10,长庆桥,08:39
K9665,快速,银川,07:40,景泰,当天11:48,11:50,兰州,14:54
K9666,快速,兰州,12:05,景泰,当天15:22,15:28,银川,20:12
