车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3105/3108,普快,东莞东,23:00,九江,第2日12:35,12:41,麻城,16:42
3106/3107,普快,麻城,19:29,九江,当天22:38,22:45,东莞东,12:16
3159,普快,阜阳,15:15,九江,当天21:47,21:53,东莞东,11:46
3160,普快,东莞东,18:00,九江,第2日08:11,08:17,阜阳,14:10
3171/3174,普快,洛阳,10:05,九江,第2日08:34,08:41,深圳,00:45
3197/3200,普快,上海南,01:27,九江,当天16:46,16:46,九江,16:46
3198/3199,普快,九江,10:30,九江,当天10:30,10:30,上海南,00:27
3224,普快,深圳东,22:00,九江,第2日12:42,12:48,麻城,16:31
3270,普快,东莞东,20:30,九江,第2日10:09,10:20,麻城,13:20
3291,普快,潢川,12:07,九江,当天20:19,20:26,东莞东,09:37
3385/3388,普快,吉安,06:19,九江,当天10:55,11:01,郑州,01:25
3485,普快,九江,19:20,九江,当天19:20,19:20,东莞东,09:15
3614,普快,龙南,08:16,九江,当天18:30,18:30,九江,18:30
3615,普快,麻城,15:52,九江,当天19:59,20:05,东莞东,09:55
3782,普快,东莞东,01:20,九江,当天15:23,15:50,徐州,08:25
6025,普慢,麻城,09:00,九江,当天13:28,13:28,九江,13:28
6026,普慢,九江,14:30,九江,当天14:30,14:30,麻城,18:15
D6341,动车组,九江,06:31,九江,当天06:31,06:31,南昌,07:38
D6342,动车组,南昌,06:56,九江,当天08:10,08:10,九江,08:10
D6343,动车组,九江,08:27,九江,当天08:27,08:27,南昌,09:40
D6344,动车组,南昌,08:20,九江,当天09:28,09:28,九江,09:28
D6345,动车组,九江,09:45,九江,当天09:45,09:45,南昌,10:58
D6346,动车组,南昌,10:09,九江,当天11:17,11:17,九江,11:17
D6347,动车组,九江,11:32,九江,当天11:32,11:32,南昌,12:39
D6348,动车组,南昌,11:13,九江,当天12:21,12:21,九江,12:21
D6349,动车组,九江,12:37,九江,当天12:37,12:37,南昌,13:42
D6350,动车组,南昌,13:00,九江,当天14:08,14:08,九江,14:08
D6351,动车组,九江,15:00,九江,当天15:00,15:00,南昌,16:07
D6352,动车组,南昌,14:02,九江,当天15:15,15:15,九江,15:15
D6353,动车组,九江,15:30,九江,当天15:30,15:30,南昌,16:38
D6354,动车组,南昌,16:23,九江,当天17:37,17:37,九江,17:37
D6355,动车组,九江,17:52,九江,当天17:52,17:52,南昌,19:05
D6356,动车组,南昌,18:18,九江,当天19:28,19:28,九江,19:28
D6357,动车组,九江,19:50,九江,当天19:50,19:50,南昌,21:03
D6358,动车组,南昌,20:28,九江,当天21:40,21:40,九江,21:40
D6359,动车组,九江,21:55,九江,当天21:55,21:55,南昌,23:00
D6360,动车组,南昌,21:18,九江,当天22:23,22:23,九江,22:23
D6366,动车组,南昌,21:43,九江,当天22:59,22:59,九江,22:59
D6371,动车组,九江,20:25,九江,当天20:25,20:25,南昌西,21:30
D6372,动车组,南昌西,06:51,九江,当天07:46,07:46,九江,07:46
D6374,动车组,南昌西,07:46,九江,当天08:55,08:55,九江,08:55
D6375,动车组,九江,20:38,九江,当天20:38,20:38,南昌西,21:47
D6376,动车组,南昌西,08:10,九江,当天09:11,09:11,九江,09:11
D6377,动车组,九江,22:11,九江,当天22:11,22:11,南昌西,23:13
D6378,动车组,南昌西,07:29,九江,当天08:36,08:36,九江,08:36
D6380,动车组,南昌西,20:57,九江,当天22:05,22:05,九江,22:05
D6391,动车组,九江,11:29,九江,当天11:29,11:29,南昌,12:39
D6392,动车组,南昌,11:17,九江,当天12:27,12:27,九江,12:27
D6505,动车组,九江,09:17,九江,当天09:17,09:17,福州,14:23
D6508,动车组,福州,14:40,九江,当天19:39,19:39,九江,19:39
D81/D84,动车组,杭州东,15:10,九江,当天20:04,20:04,九江,20:04
D9593,动车组,九江,17:23,九江,当天17:23,17:23,福州,22:01
D9594,动车组,福州,12:40,九江,当天17:08,17:08,九江,17:08
G1582/G1583,高速动车,常州北,15:29,九江,当天21:30,21:30,九江,21:30
K1020,快速,深圳东,19:05,九江,第2日08:26,08:26,九江,08:26
K1030,快速,东莞东,15:09,九江,第2日04:06,04:17,合肥,09:18
K105,快速,北京西,23:19,九江,第2日14:22,14:25,深圳,04:20
K1136/K1137,快速,青岛,17:40,九江,第2日12:08,12:12,南宁,10:45
K115,快速,九江,15:15,九江,当天15:15,15:15,深圳,05:25
K116,快速,深圳,17:36,九江,第2日06:50,06:50,九江,06:50
K1185/K1188,快速,上海南,08:48,九江,当天21:50,21:50,九江,21:50
K1186/K1187,快速,九江,16:50,九江,当天16:50,16:50,上海南,07:06
K1191,快速,南京,19:50,九江,第2日03:33,03:39,南宁,23:40
K1192,快速,南宁,15:08,九江,第2日10:27,10:40,南京,18:29
K1218/K1219,快速,南昌,20:50,九江,当天22:10,22:18,宁波,10:03
K1236,快速,昆明,12:49,九江,第2日17:02,17:02,九江,17:02
K1282/K1283,快速,深圳东,15:40,九江,第2日04:30,04:40,济南,19:15
K1309/K1312,快速,东莞东,18:10,九江,第2日06:11,06:20,西宁,12:23
K132/K133,快速,兰州,13:16,九江,第2日18:57,19:01,深圳西,09:30
K1325/K1328,快速,苏州,16:58,九江,第2日04:12,04:20,南昌,06:01
K1326/K1327,快速,南昌,21:50,九江,当天23:07,23:15,苏州,10:14
K1370/K1371,快速,苏州,09:08,九江,当天23:45,23:45,九江,23:45
K1453,快速,北京西,12:19,九江,第2日05:01,05:05,赣州,11:40
K1523,快速,九江,13:06,九江,当天13:06,13:06,南宁,11:04
K1524,快速,南宁,14:30,九江,第2日10:16,10:16,九江,10:16
K1546/K1547,快速,福州,21:50,九江,第2日13:05,13:11,佳木斯,04:47
K1555/K1558,快速,南宁,21:40,九江,第2日18:10,18:18,上海,06:13
K1561/K1564,快速,济南,21:31,九江,第2日12:25,12:31,南宁,13:46
K1562/K1563,快速,南宁,22:10,九江,第2日23:01,23:08,济南,15:00
K1575/K1578,快速,太原,10:20,九江,第2日03:19,03:30,福州,11:10
K1576/K1577,快速,福州,17:47,九江,第2日01:50,02:12,太原,21:33
K161,快速,徐州,19:33,九江,第2日07:25,07:31,南宁,05:20
K1670/K1671,快速,温州,17:50,九江,第2日07:18,07:18,九江,07:18
K2385/K2388,快速,长春,11:45,九江,第2日17:52,17:56,南宁,16:55
K2386/K2387,快速,南宁,22:40,九江,第2日20:08,20:19,长春,05:04
K252/K253,快速,上海南,15:37,九江,第2日03:33,03:45,宜昌东,15:21
K255,快速,合肥,18:10,九江,当天23:32,23:38,深圳西,14:38
K256,快速,深圳西,16:38,九江,第2日05:51,06:09,合肥,11:05
K29/K32,快速,洛阳,13:14,九江,第2日02:26,02:30,福州,13:28
K301/K304,快速,连云港东,11:41,九江,第2日00:23,00:31,广州,15:13
K302,快速,广州,21:06,九江,第2日11:35,11:40,徐州,21:10
K309/K312,快速,广州东,10:24,九江,第2日00:42,01:01,合肥,05:47
K310/K311,快速,合肥,13:20,九江,当天18:22,18:30,广州东,08:54
K321,快速,合肥,20:42,九江,第2日01:37,01:44,昆明,05:25
K322,快速,昆明,11:02,九江,第2日16:31,16:44,合肥,21:40
K341/K344,快速,青岛,12:50,九江,第2日07:27,07:37,南昌,09:11
K393/K396,快速,西安,23:58,九江,第2日16:57,17:08,福州,07:10
K394/K395,快速,福州,08:18,九江,当天23:18,23:25,西安,15:05
K4033,快速,阜阳,11:15,九江,当天16:42,16:49,东莞东,08:45
K4034,快速,东莞东,09:40,九江,当天22:35,22:41,阜阳,04:58
K4065/K4068,快速,厦门,11:15,九江,第2日11:20,11:26,重庆,13:33
K4199,快速,九江,12:15,九江,当天12:15,12:15,深圳西,04:53
K4200,快速,赣州,14:46,九江,当天22:12,22:12,九江,22:12
K4204,快速,东莞东,12:05,九江,第2日03:01,03:07,北京西,21:55
K4265,快速,九江,09:50,九江,当天09:50,09:50,广州东,02:53
K4275/K4278,快速,广州东,15:22,九江,第2日07:06,07:06,九江,07:06
K4277,快速,九江,13:26,九江,当天13:26,13:26,广州东,05:10
K4296/K4297,快速,杭州,00:35,九江,当天12:11,12:11,九江,12:11
K4325/K4328,快速,上海南,04:07,九江,当天17:36,17:36,九江,17:36
K4367,快速,广州东,15:58,九江,第2日08:08,08:08,九江,08:08
K4369,快速,九江,13:26,九江,当天13:26,13:26,广州东,05:10
K445/K448,快速,西安,23:20,九江,第2日14:36,14:40,深圳,04:37
K4697,快速,阜阳,09:30,九江,当天22:03,22:22,东莞东,12:50
K4698,快速,东莞东,13:45,九江,第2日03:16,03:22,阜阳,12:40
K4977/K4980,快速,上海南,05:51,九江,当天21:31,21:31,九江,21:31
K4978/K4979,快速,九江,14:45,九江,当天14:45,14:45,上海南,04:55
K561,快速,阜阳,11:35,九江,当天17:46,17:56,深圳东,07:20
K562,快速,深圳东,12:33,九江,第2日01:53,02:11,阜阳,10:18
K5851,快速,九江,19:00,九江,当天19:00,19:00,萍乡,00:54
K5853,快速,九江,13:50,九江,当天13:50,13:50,萍乡,19:47
K5858,快速,萍乡,14:28,九江,当天19:46,19:46,九江,19:46
K5862,快速,赣州,09:30,九江,当天17:18,17:18,九江,17:18
K5869,快速,九江,07:16,九江,当天07:16,07:16,赣州,15:17
K5870,快速,赣州,16:03,九江,当天22:52,22:52,九江,22:52
K5872/K5873,快速,九江,12:54,九江,当天12:54,12:54,景德镇,19:20
K5875/K5878,快速,景德镇,14:30,九江,当天21:37,21:37,九江,21:37
K5880,快速,南昌,18:38,九江,当天20:35,20:35,九江,20:35
K5884,快速,南昌,20:45,九江,当天22:34,22:34,九江,22:34
K5885,快速,九江,13:15,九江,当天13:15,13:15,南昌,14:56
K5886,快速,南昌,09:00,九江,当天10:48,10:48,九江,10:48
K5887,快速,九江,14:07,九江,当天14:07,14:07,向塘,16:35
K5888,快速,南昌,16:38,九江,当天18:48,18:48,九江,18:48
K611/K614,快速,连云港东,18:14,九江,第2日07:20,07:26,南昌,08:43
K6297,快速,九江,20:40,九江,当天20:40,20:40,厦门,10:25
K676/K677,快速,徐州,18:25,九江,第2日06:10,06:16,广州东,20:57
K68/K69,快速,福州,15:50,九江,第2日01:18,01:24,青岛,20:52
K721/K724,快速,昆明,18:53,九江,第2日23:24,23:33,南通,11:15
K729/K732,快速,广州东,14:50,九江,第2日04:23,04:29,大同,05:27
K730/K731,快速,大同,14:20,九江,第2日14:09,14:17,广州东,05:26
K751/K754,快速,上海南,10:42,九江,当天23:14,23:23,平顶山,12:20
K790/K791,快速,南昌,21:38,九江,当天22:55,22:59,西安,14:08
K821/K824,快速,深圳东,16:58,九江,第2日06:18,06:30,信阳,13:10
K85/K88,快速,广州,18:22,九江,第2日07:38,07:38,九江,07:38
K86/K87,快速,九江,18:19,九江,当天18:19,18:19,广州,07:48
K8725,快速,九江,11:46,九江,当天11:46,11:46,定南,20:00
K8726,快速,定南,08:35,九江,当天16:56,16:56,九江,16:56
K875/K878,快速,烟台,18:09,九江,第2日13:38,13:42,昆明,20:33
K91/K94,快速,泰州,13:15,九江,第2日00:36,00:42,深圳东,14:15
K92/K93,快速,深圳东,18:06,九江,第2日07:12,07:18,泰州,20:19
K921/K924,快速,广州东,11:22,九江,第2日01:25,01:32,汉口,06:24
K987/K990,快速,信阳,20:40,九江,第2日02:19,02:24,福州,15:52
K988/K989,快速,福州,17:19,九江,第2日05:15,05:30,信阳,13:38
T3090/T3091,空调特快,广州东,07:20,九江,第2日02:03,02:20,合肥,07:45
T396/T397,空调特快,青岛,16:56,九江,第2日09:02,09:05,深圳,20:52
T91,空调特快,北京,22:16,九江,第2日10:55,11:00,南昌,12:28
T92,空调特快,南昌,20:58,九江,当天22:16,22:20,北京,12:59
Z102/Z103,直达特快,长春,16:15,九江,第2日12:53,12:57,厦门,20:02
Z112/Z113,直达特快,海口,16:50,九江,第2日18:17,18:23,哈尔滨东,18:29
Z133,直达特快,北京西,19:15,九江,第2日06:22,06:25,井冈山,10:44
Z134,直达特快,井冈山,16:35,九江,当天20:57,21:02,北京西,08:03
Z181/Z184,直达特快,临河,17:09,九江,第2日15:53,15:59,深圳东,05:00
Z182/Z183,直达特快,深圳东,11:08,九江,当天23:11,23:17,临河,21:47
Z185/Z188,直达特快,沈阳北,17:35,九江,第2日16:09,16:13,深圳,04:28
Z186/Z187,直达特快,深圳,19:50,九江,第2日07:24,07:28,沈阳北,05:30
Z295/Z298,直达特快,包头,11:48,九江,第2日07:40,07:46,赣州,13:03
Z296/Z297,直达特快,赣州,18:00,九江,当天23:27,23:40,包头,21:43
Z307,直达特快,北京西,16:04,九江,第2日03:09,03:15,厦门,10:49
Z308,直达特快,厦门,17:25,九江,第2日00:51,00:54,北京西,12:04
Z383/Z386,直达特快,三亚,06:30,九江,第2日12:25,12:31,长春,11:43
Z65,直达特快,北京西,19:49,九江,第2日06:41,06:44,南昌,07:47
Z66,直达特快,南昌,19:35,九江,当天20:38,20:44,北京西,07:38
Z67,直达特快,北京西,20:01,九江,第2日06:52,06:55,南昌,07:58
Z68,直达特快,南昌,19:42,九江,当天20:45,20:50,北京西,07:46
Z71,直达特快,北京,18:56,九江,第2日06:15,06:18,三明北,10:55
Z72,直达特快,三明北,14:45,九江,当天18:46,19:01,北京,06:28
