车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2149/2152,普快,日照,19:20,莒南,当天20:12,20:14,郑州,05:50
2150/2151,普快,郑州,21:00,莒南,第2日06:27,06:30,日照,07:35
K171/K174,快速,日照,17:50,莒南,当天18:48,18:51,上海,11:31
K172/K173,快速,上海,13:09,莒南,第2日05:05,05:08,日照,06:07
K4052,快速,日照,12:30,莒南,当天13:19,13:26,北京,04:05
K4115/K4118,快速,日照,11:15,莒南,当天12:07,12:25,西安,07:51
K4116/K4117,快速,西安,14:52,莒南,第2日08:57,08:59,日照,09:58
K52,快速,日照,17:05,莒南,当天17:57,17:59,北京,05:20
K631/K634,快速,日照,07:22,莒南,当天08:14,08:17,信阳,22:21
K632/K633,快速,信阳,07:20,莒南,当天20:33,20:36,日照,21:35
K8285,快速,济南,09:10,莒南,当天13:52,13:55,日照,14:56
K8286,快速,日照,09:03,莒南,当天09:50,09:53,济南,14:36
K8287,快速,济南,16:28,莒南,当天21:00,21:03,日照,21:55
K8288,快速,日照,05:00,莒南,当天05:47,05:49,济南,10:39
