车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3030/3031,普快,库尔勒,17:05,库尔勒,当天17:05,17:05,襄阳,09:56
3129,普快,郑州,05:20,库尔勒,第3日08:29,09:00,阿克苏,16:36
3130,普快,阿克苏,09:24,库尔勒,当天15:05,15:18,郑州,16:15
3206/3207,普快,合肥,08:40,库尔勒,第4日05:11,05:11,库尔勒,05:11
3208,普快,库尔勒,16:37,库尔勒,当天16:37,16:37,合肥,14:03
3307,普快,济南,05:40,库尔勒,第4日05:11,05:11,库尔勒,05:11
3308,普快,库尔勒,16:37,库尔勒,当天16:37,16:37,济南,14:18
3355/3358,普快,阿克苏,15:55,库尔勒,当天23:31,00:09,成都,09:13
3356,普快,成都,14:45,库尔勒,第3日16:26,16:46,阿克苏,00:42
5817/5820,普快,和田,16:44,库尔勒,第2日12:46,13:10,乌鲁木齐,20:53
5818/5819,普快,乌鲁木齐,11:27,库尔勒,当天18:16,18:38,和田,13:32
7561/7564,普慢,和田,16:13,库尔勒,第2日10:23,10:43,乌鲁木齐南,16:38
7562/7563,普慢,乌鲁木齐南,12:14,库尔勒,当天18:45,19:05,和田,13:26
K6704,快速,和田,13:51,库尔勒,第2日12:26,12:50,乌鲁木齐南,19:16
K6705/K6708,快速,喀什,16:50,库尔勒,第2日06:59,07:25,乌鲁木齐南,14:16
K6707,快速,吐鲁番,12:39,库尔勒,当天16:35,16:55,喀什,08:08
K6717,快速,吐鲁番,22:05,库尔勒,第2日04:13,05:02,喀什,21:43
K6724,快速,和田,13:50,库尔勒,第2日09:20,09:40,伊宁,09:13
K9755/K9758,快速,库尔勒,23:55,库尔勒,当天23:55,23:55,乌鲁木齐,06:43
K9756/K9757,快速,乌鲁木齐,23:25,库尔勒,第2日07:09,07:09,库尔勒,07:09
K9759,快速,库尔勒,09:11,库尔勒,当天09:11,09:11,阿克苏,15:35
K9760,快速,阿克苏,17:12,库尔勒,当天22:59,22:59,库尔勒,22:59
K9767/K9770,快速,库尔勒,14:56,库尔勒,当天14:56,14:56,伊宁,07:26
K9775/K9778,快速,阿克苏,18:14,库尔勒,第2日00:06,00:31,乌鲁木齐,07:13
K9776/K9777,快速,乌鲁木齐,18:36,库尔勒,第2日01:05,01:25,阿克苏,07:42
K9781/K9784,快速,阿克苏,21:33,库尔勒,第2日03:05,03:20,乌鲁木齐,09:27
K9782/K9783,快速,乌鲁木齐,17:45,库尔勒,第2日00:16,00:36,阿克苏,07:00
T9505/T9508,空调特快,阿克苏,20:17,库尔勒,第2日02:37,02:52,乌鲁木齐南,07:50
T9506/T9507,空调特快,乌鲁木齐南,21:01,库尔勒,第2日02:00,02:15,阿克苏,08:35
T9515/T9518,空调特快,喀什,17:34,库尔勒,第2日04:40,05:00,伊宁,16:54
T9516/T9517,空调特快,伊宁,09:30,库尔勒,当天21:18,21:33,喀什,09:29
T9592/T9593,空调特快,乌鲁木齐南,13:43,库尔勒,当天18:45,19:10,和田,13:05
T9594,空调特快,和田,14:22,库尔勒,第2日07:54,08:20,乌鲁木齐南,13:12
Z6501/Z6504,直达特快,库尔勒,08:10,库尔勒,当天08:10,08:10,乌鲁木齐南,12:36
Z6502/Z6503,直达特快,乌鲁木齐南,08:38,库尔勒,当天13:07,13:07,库尔勒,13:07
Z6505/Z6508,直达特快,库尔勒,13:37,库尔勒,当天13:37,13:37,乌鲁木齐南,17:52
Z6506/Z6507,直达特快,乌鲁木齐南,13:06,库尔勒,当天17:21,17:21,库尔勒,17:21
Z6509/Z6512,直达特快,库尔勒,17:51,库尔勒,当天17:51,17:51,乌鲁木齐南,22:16
Z6510/Z6511,直达特快,乌鲁木齐南,18:22,库尔勒,当天22:48,22:48,库尔勒,22:48
