车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2083,普快,大连,08:49,镇赉,当天21:42,21:45,海拉尔,09:22
2211,普快,白城,05:41,镇赉,当天06:08,06:10,齐齐哈尔,09:41
2212,普快,齐齐哈尔,18:20,镇赉,当天21:32,21:35,白城,22:05
2667,普快,沈阳,15:08,镇赉,当天23:01,23:03,加格达奇,09:22
2685/2688,普快,满洲里,10:39,镇赉,第2日00:35,00:37,丹东,13:48
2686/2687,普快,丹东,16:20,镇赉,第2日04:46,04:58,满洲里,19:46
K1259,快速,大连,22:07,镇赉,第2日11:12,11:15,齐齐哈尔,13:54
K4688/K4689,快速,青岛北,20:47,镇赉,第3日01:20,01:27,齐齐哈尔,04:58
K4690,快速,齐齐哈尔,09:50,镇赉,当天13:12,13:15,青岛北,19:55
K497,快速,北京,13:36,镇赉,第2日05:29,05:31,加格达奇,15:19
K549,快速,大连,17:02,镇赉,第2日05:09,05:11,齐齐哈尔,07:50
T40,空调特快,齐齐哈尔,17:45,镇赉,当天20:17,20:19,北京,12:22
