车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,兰州,第2日14:37,14:52,兰州西,15:04
1096,普快,兰州西,16:27,兰州,当天16:39,16:49,太原,13:29
2635,普快,呼和浩特,16:03,兰州,第2日08:56,09:20,兰州西,09:32
2636,普快,兰州西,10:48,兰州,当天11:00,11:22,呼和浩特,06:03
3027,普快,郑州,14:13,兰州,第2日09:37,09:53,乌鲁木齐南,13:15
3028/3029,普快,乌鲁木齐南,15:25,兰州,第2日23:10,23:25,郑州,20:50
3030/3031,普快,库尔勒,17:05,兰州,第2日23:10,23:30,襄阳,09:56
3118,普快,哈密,13:10,兰州,第2日11:29,11:46,天水,17:13
3129,普快,郑州,05:20,兰州,第2日05:32,05:52,阿克苏,16:36
3130,普快,阿克苏,09:24,兰州,第2日19:57,20:16,郑州,16:15
3155/3158,普快,奎屯,16:51,兰州,第2日22:45,23:05,信阳,03:40
3188/3189,普快,上海,07:46,兰州,第2日20:59,21:14,乌鲁木齐南,00:19
3206/3207,普快,合肥,08:40,兰州,第2日20:59,21:14,库尔勒,05:11
3208,普快,库尔勒,16:37,兰州,第3日01:34,01:49,合肥,14:03
3247,普快,郑州,16:00,兰州,第2日10:37,10:53,乌鲁木齐南,13:27
3248,普快,哈密,20:33,兰州,第2日13:48,14:03,郑州,09:00
3307,普快,济南,05:40,兰州,第2日20:59,21:14,库尔勒,05:11
3308,普快,库尔勒,16:37,兰州,第3日01:34,01:49,济南,14:18
3355/3358,普快,阿克苏,15:55,兰州,第3日08:01,08:21,成都,09:13
3356,普快,成都,14:45,兰州,第2日13:13,13:33,阿克苏,00:42
3669,普快,天水,23:30,兰州,第2日04:15,04:32,乌鲁木齐南,04:51
3902/3903,普快,汉口,23:59,兰州,第3日04:16,04:35,乌鲁木齐南,04:29
3927,普快,商丘,07:33,兰州,第2日05:05,05:20,乌鲁木齐南,06:18
3928,普快,乌鲁木齐南,08:12,兰州,第2日13:38,13:57,郑州,12:10
7501,普慢,陇西,15:11,兰州,当天19:24,19:24,兰州,19:24
7502,普慢,兰州,09:57,兰州,当天09:57,09:57,陇西,14:22
7505,普慢,兰州,17:23,兰州,当天17:23,17:23,武威南,22:28
7506,普慢,武威南,10:50,兰州,当天16:47,16:47,兰州,16:47
7509,普慢,干塘,15:13,兰州,当天23:32,23:32,兰州,23:32
7510,普慢,兰州,07:46,兰州,当天07:46,07:46,干塘,14:47
C8501,城际高速,兰州,05:55,兰州,当天05:55,05:55,中川机场,06:38
C8502,城际高速,中川机场,07:20,兰州,当天08:19,08:19,兰州,08:19
C8503,城际高速,兰州,06:57,兰州,当天06:57,06:57,中川机场,07:58
C8504,城际高速,中川机场,08:40,兰州,当天09:38,09:38,兰州,09:38
C8505,城际高速,兰州,09:13,兰州,当天09:13,09:13,中川机场,10:02
C8506,城际高速,中川机场,10:34,兰州,当天11:24,11:24,兰州,11:24
C8507,城际高速,兰州,08:43,兰州,当天08:43,08:43,中川机场,09:26
C8508,城际高速,中川机场,09:54,兰州,当天10:46,10:46,兰州,10:46
C8509,城际高速,兰州,10:00,兰州,当天10:00,10:00,中川机场,10:49
C8510,城际高速,中川机场,11:05,兰州,当天11:57,11:57,兰州,11:57
C8511,城际高速,兰州,11:48,兰州,当天11:48,11:48,中川机场,12:46
C8512,城际高速,中川机场,13:07,兰州,当天13:58,13:58,兰州,13:58
C8513,城际高速,兰州,11:02,兰州,当天11:02,11:02,中川机场,11:46
