车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D401,动车组,北京南,20:58,廊坊,当天21:19,21:28,济南西,23:19
D402,动车组,济南西,07:25,廊坊,当天09:16,09:19,北京南,09:40
D4960,动车组,青岛北,05:42,廊坊,当天10:28,10:30,北京南,10:51
G105,高速动车,北京南,07:35,廊坊,当天07:56,07:58,上海虹桥,13:15
G112,高速动车,上海虹桥,08:05,廊坊,当天13:44,13:47,北京南,14:08
G118,高速动车,上海虹桥,09:54,廊坊,当天15:26,15:28,北京南,15:49
G121,高速动车,北京南,10:28,廊坊,当天10:49,10:51,上海虹桥,16:28
G124,高速动车,上海虹桥,11:05,廊坊,当天16:32,16:34,北京南,16:55
G135,高速动车,北京南,12:55,廊坊,当天13:16,13:19,上海虹桥,18:54
G136,高速动车,上海虹桥,13:17,廊坊,当天18:44,18:46,北京南,19:08
G144,高速动车,上海虹桥,14:35,廊坊,当天20:06,20:08,北京南,20:29
G147,高速动车,北京南,15:46,廊坊,当天16:07,16:09,上海虹桥,21:50
G156,高速动车,上海虹桥,17:19,廊坊,当天22:29,22:31,北京南,22:52
G161,高速动车,北京南,14:41,廊坊,当天15:02,15:09,安庆,21:41
G176,高速动车,潍坊,07:30,廊坊,当天10:52,10:54,北京南,11:14
G182/G472,高速动车,烟台,06:50,廊坊,当天12:14,12:17,北京南,12:38
G183,高速动车,北京南,11:53,廊坊,当天12:15,12:17,青岛,16:50
G186,高速动车,青岛,10:21,廊坊,当天14:52,14:54,北京南,15:14
G189,高速动车,北京南,13:18,廊坊,当天13:39,13:41,青岛,18:03
G194,高速动车,青岛,14:30,廊坊,当天18:56,18:58,北京南,19:19
G195,高速动车,北京南,16:10,廊坊,当天16:31,16:33,青岛,20:58
G199,高速动车,北京南,17:25,廊坊,当天17:46,17:48,青岛,22:20
G202,高速动车,南京南,06:51,廊坊,当天11:10,11:12,北京南,11:33
G204,高速动车,南京南,07:25,廊坊,当天11:50,11:52,北京南,12:13
G207,高速动车,北京南,19:10,廊坊,当天19:32,19:34,徐州东,22:29
G266,高速动车,六安,08:08,廊坊,当天13:23,13:32,北京南,13:53
G269,高速动车,北京南,18:35,廊坊,当天18:56,19:00,合肥南,23:19
G303,高速动车,北京南,12:30,廊坊,当天12:51,12:53,福州,21:43
G326,高速动车,厦门北,10:59,廊坊,当天21:56,21:58,北京南,22:19
G332,高速动车,济南西,07:16,廊坊,当天08:38,08:40,北京南,09:01
G333,高速动车,北京南,19:52,廊坊,当天20:13,20:21,济南西,21:44
G337,高速动车,北京南,20:58,廊坊,当天21:19,21:24,济南西,22:54
G338/G484,高速动车,滕州东,07:25,廊坊,当天09:55,09:57,北京南,10:18
G352,高速动车,黄山北,08:00,廊坊,当天14:06,14:08,北京南,14:29
G356,高速动车,厦门北,10:59,廊坊,当天21:56,21:58,北京南,22:19
G39,高速动车,北京南,16:47,廊坊,当天17:08,17:10,杭州东,22:39
G395,高速动车,北京南,09:05,廊坊,当天09:26,09:28,丹东,15:45
G411,高速动车,北京南,11:20,廊坊,当天11:41,11:43,上海虹桥,17:08
G4169,高速动车,北京南,17:55,廊坊,当天18:16,18:18,青岛北,22:22
G4219,高速动车,北京南,06:33,廊坊,当天06:54,07:05,烟台,13:50
G4221,高速动车,北京南,11:20,廊坊,当天11:41,11:43,荣成,18:22
G4288,高速动车,枣庄,07:48,廊坊,当天10:27,10:29,北京南,10:50
G4521,高速动车,北京南,19:10,廊坊,当天19:32,19:34,济南西,21:05
G483,高速动车,北京南,19:52,廊坊,当天20:13,20:21,济南西,21:44
G60,高速动车,宁波,14:38,廊坊,当天21:06,21:08,北京南,21:29
G8902,高速动车,天津西,09:20,廊坊,当天09:42,09:48,北京南,10:08
G8917,高速动车,北京南,18:10,廊坊,当天18:31,18:39,唐山,19:39
G8923,高速动车,北京南,20:30,廊坊,当天20:51,20:53,秦皇岛,22:32
G8924,高速动车,秦皇岛,07:32,廊坊,当天09:24,09:26,北京南,09:48
G8936,高速动车,德州东,07:15,廊坊,当天08:27,08:29,北京南,08:51
G9001,高速动车,北京南,20:42,廊坊,当天21:04,21:04,廊坊,21:04
G9002,高速动车,廊坊,07:25,廊坊,当天07:25,07:25,北京南,07:46
G9013,高速动车,北京南,21:45,廊坊,当天22:07,22:09,天津西,22:29
