车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1309/K1312,快速,东莞东,18:10,乐都,第3日10:47,10:50,西宁,12:23
K1310/K1311,快速,西宁,20:00,乐都,当天20:57,21:01,东莞东,13:17
K1329,快速,兰州,19:55,乐都,当天21:58,22:02,格尔木,07:00
K1517/K1520,快速,沈阳北,12:33,乐都,第3日07:12,07:16,西宁,08:17
K1518/K1519,快速,西宁,12:20,乐都,当天13:17,13:21,沈阳北,06:31
K177,快速,郑州,15:30,乐都,第2日08:45,08:49,西宁,09:43
K375/K378,快速,西宁,21:05,乐都,当天22:04,22:08,上海,05:24
K376/K377,快速,上海,08:57,乐都,第2日15:53,15:57,西宁,16:51
K748/K749,快速,南宁,17:20,乐都,第3日14:38,14:42,西宁,15:36
K816,快速,西宁,19:20,乐都,当天20:18,20:23,银川,07:01
T176,空调特快,西宁,12:05,乐都,当天12:51,12:55,北京西,09:35
T389,空调特快,合肥,17:00,乐都,第2日17:55,17:59,西宁,18:56
T390,空调特快,西宁,08:20,乐都,当天09:13,09:17,合肥,10:00
