车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3055/3058,普快,上海南,00:50,醴陵,当天14:05,14:10,重庆北,12:35
K1076/K1077,快速,重庆北,23:53,醴陵,第2日17:52,17:56,宁波,06:52
K1191,快速,南京,19:50,醴陵,第2日09:35,09:38,南宁,23:40
K1236,快速,昆明,12:49,醴陵,第2日11:17,11:20,九江,17:02
K1249/K1252,快速,重庆,16:00,醴陵,第2日16:58,17:11,上海南,08:19
K1373/K1376,快速,上海南,16:49,醴陵,第2日05:28,05:31,怀化,17:10
K149,快速,上海南,08:36,醴陵,当天21:28,21:31,湛江,14:28
K150,快速,湛江,22:45,醴陵,第2日16:32,16:36,上海南,06:12
K1524,快速,南宁,14:30,醴陵,第2日04:50,04:53,九江,10:16
K155,快速,南京,16:23,醴陵,第2日08:28,08:31,昆明,07:04
K156,快速,昆明,19:18,醴陵,第2日17:42,17:45,南京,09:48
K1561/K1564,快速,济南,21:31,醴陵,第2日18:29,18:32,南宁,13:46
K221/K224,快速,泰州,15:07,醴陵,第2日09:27,09:33,广州,19:26
K222/K223,快速,广州,08:52,醴陵,当天17:35,17:38,泰州,12:12
K322,快速,昆明,11:02,醴陵,第2日10:36,10:41,合肥,21:40
K325/K328,快速,温州,17:15,醴陵,第2日06:29,06:43,广州,16:30
K326/K327,快速,广州,10:17,醴陵,当天18:53,18:57,温州,10:00
K333/K336,快速,厦门,18:40,醴陵,第2日10:05,10:08,重庆北,05:30
K334/K335,快速,重庆北,13:20,醴陵,第2日05:52,05:55,厦门,20:50
K4215,快速,南昌,09:57,醴陵,当天14:24,14:30,广州,23:28
K4249,快速,上海南,21:38,醴陵,第2日12:05,12:10,贵阳,02:18
K4381/K4384,快速,达州,16:29,醴陵,第2日22:16,22:21,福州,16:16
K4382/K4383,快速,福州,18:20,醴陵,第2日12:27,12:32,达州,15:28
K4387/K4390,快速,福州,20:32,醴陵,第2日11:27,11:32,重庆,09:39
K4417,快速,上海南,22:54,醴陵,第2日12:54,13:00,昆明,15:57
K4662/K4663,快速,上海南,09:29,醴陵,当天22:50,22:54,成都,05:17
K4766/K4767,快速,福州,22:20,醴陵,第2日16:14,16:20,贵阳,09:33
K495,快速,上海南,19:03,醴陵,第2日08:01,08:04,贵阳,22:37
K527,快速,南京,14:38,醴陵,第2日09:24,09:27,广州,18:48
K576,快速,永州,15:36,醴陵,当天21:39,21:42,上海南,11:18
K581/K584,快速,宁波,08:16,醴陵,当天21:17,21:20,南宁,12:18
K636/K637,快速,昆明,20:27,醴陵,第2日20:28,20:38,福州,10:10
K785/K788,快速,成都东,15:23,醴陵,第2日14:45,14:49,南昌,19:18
K786/K787,快速,南昌,12:18,醴陵,当天16:24,16:27,成都东,13:27
K807/K810,快速,苏州,16:59,醴陵,第2日09:02,09:05,怀化,21:19
K875/K878,快速,烟台,18:09,醴陵,第2日19:34,19:37,昆明,20:33
K945/K948,快速,贵阳,20:56,醴陵,第2日11:00,11:03,厦门,07:30
K946/K947,快速,厦门,20:15,醴陵,第2日14:27,14:30,贵阳,05:13
T145/T148,空调特快,北京,12:38,醴陵,第2日06:50,06:53,南昌,10:34
T146/T147,空调特快,南昌,12:10,醴陵,当天15:43,15:46,北京,10:52
T3145,空调特快,北京,07:10,醴陵,第2日01:50,01:53,南昌,06:27
