车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D331/D334,动车组,武汉,08:12,丽水,当天15:13,15:15,温州南,15:53
D332/D333,动车组,温州南,13:12,丽水,当天13:52,13:54,武汉,20:30
D4165,动车组,金华南,16:56,丽水,当天17:35,17:37,福州,20:34
D4166,动车组,福州,12:52,丽水,当天15:42,15:44,金华南,16:36
D5585/D5588,动车组,合肥南,07:33,丽水,当天12:05,12:07,温州南,12:52
D5586/D5587,动车组,温州南,16:33,丽水,当天17:13,17:16,合肥南,22:09
D5591,动车组,丽水,07:41,丽水,当天07:41,07:41,温州南,08:23
D5592,动车组,温州南,06:47,丽水,当天07:22,07:22,丽水,07:22
G1731,高速动车,济南西,08:56,丽水,当天15:02,15:04,温州南,15:40
G1732,高速动车,温州南,16:15,丽水,当天16:55,16:58,济南西,23:16
G1966/G1967,高速动车,温州南,15:32,丽水,当天16:06,16:08,郑州东,23:23
G2302/G2303,高速动车,温州南,10:21,丽水,当天11:01,11:03,贵阳北,19:41
G2306/G2307,高速动车,温州南,08:10,丽水,当天08:44,08:46,贵阳北,17:15
G2312/G2313,高速动车,温州南,07:19,丽水,当天07:59,08:01,长沙南,12:47
G2316/G2317,高速动车,温州南,14:30,丽水,当天15:04,15:06,长沙南,20:08
G2322/G2323,高速动车,温州南,14:15,丽水,当天14:55,14:57,南昌西,18:07
G2325/G2328,高速动车,南昌西,13:35,丽水,当天16:49,16:51,温州南,17:33
G2326/G2327,高速动车,温州南,09:07,丽水,当天09:41,09:43,南昌西,13:07
G7179,高速动车,安庆,07:32,丽水,当天14:43,14:45,温州南,15:26
G7180,高速动车,温州南,12:43,丽水,当天13:23,13:25,安庆,20:48
G7322,高速动车,苍南,12:08,丽水,当天13:08,13:10,上海虹桥,15:44
G7323,高速动车,上海虹桥,17:53,丽水,当天20:54,20:56,温州南,21:38
G7324,高速动车,温州南,08:38,丽水,当天09:12,09:14,上海虹桥,12:00
G7325,高速动车,上海虹桥,08:31,丽水,当天11:55,11:57,温州南,12:33
G7326,高速动车,温州南,13:03,丽水,当天13:43,13:45,上海虹桥,16:25
G7330,高速动车,温州南,06:40,丽水,当天07:14,07:16,上海虹桥,10:07
G7331,高速动车,上海虹桥,06:13,丽水,当天09:03,09:05,温州南,09:41
G7332,高速动车,苍南,07:51,丽水,当天09:03,09:05,上海虹桥,11:51
G7333,高速动车,上海虹桥,06:30,丽水,当天09:12,09:14,温州南,09:56
G7334,高速动车,温州南,11:30,丽水,当天12:04,12:06,上海虹桥,15:08
G7335,高速动车,上海虹桥,12:30,丽水,当天15:22,15:24,苍南,16:32
G7336,高速动车,苍南,13:58,丽水,当天15:16,15:19,上海虹桥,17:52
G7337,高速动车,上海虹桥,15:32,丽水,当天18:14,18:16,苍南,19:50
G7338,高速动车,温州南,17:57,丽水,当天18:37,18:39,上海虹桥,21:28
G7339,高速动车,上海虹桥,18:35,丽水,当天21:20,21:22,温州南,22:04
G7340,高速动车,温州南,18:34,丽水,当天19:14,19:16,上海虹桥,22:04
G7341,高速动车,杭州东,06:15,丽水,当天07:42,07:44,苍南,09:09
G7342,高速动车,苍南,20:48,丽水,当天21:55,21:57,杭州东,23:19
G7343,高速动车,上海虹桥,19:04,丽水,当天21:56,21:58,苍南,23:08
G7344,高速动车,苍南,06:56,丽水,当天08:18,08:20,上海虹桥,11:11
G7345,高速动车,杭州东,13:00,丽水,当天14:23,14:25,苍南,15:42
G7346,高速动车,苍南,08:50,丽水,当天10:03,10:05,杭州东,11:55
G7348,高速动车,丽水,11:19,丽水,当天11:19,11:19,上海虹桥,14:04
G7349,高速动车,南京南,07:30,丽水,当天11:44,11:46,温州南,12:27
G7350,高速动车,苍南,17:36,丽水,当天18:51,18:53,南京南,23:28
G7369,高速动车,杭州东,06:29,丽水,当天07:52,07:52,丽水,07:52
G7379,高速动车,杭州东,11:07,丽水,当天12:59,12:59,丽水,12:59
G7380,高速动车,丽水,13:19,丽水,当天13:19,13:19,杭州东,15:18
G7591/G7594,高速动车,安庆,07:32,丽水,当天14:45,14:47,温州南,15:29
G7592/G7593,高速动车,温州南,12:43,丽水,当天13:23,13:25,安庆,20:48
G7610/G7616,高速动车,温州南,09:59,丽水,当天10:39,10:41,合肥南,15:05
G7615,高速动车,合肥南,15:34,丽水,当天20:01,20:03,温州南,20:45
G7619,高速动车,南京南,10:49,丽水,当天13:54,13:57,温州南,14:39
G7620,高速动车,温州南,17:07,丽水,当天17:47,17:49,南京南,21:06
G7622/G7623,高速动车,杭州东,17:36,丽水,当天19:29,19:32,苍南,21:04
G7625,高速动车,南京南,06:48,丽水,当天10:15,10:17,温州南,10:54
G7626,高速动车,温州南,15:45,丽水,当天16:25,16:28,南京南,19:48
G7628,高速动车,温州南,19:25,丽水,当天19:59,20:01,南京南,23:09
G7629/G7637,高速动车,南京南,18:34,丽水,当天21:39,21:41,苍南,22:54
G7630/G7638,高速动车,温州南,19:08,丽水,当天19:48,19:50,南京南,22:51
G7632/G7633,高速动车,丽水,08:08,丽水,当天08:08,08:08,合肥南,12:17
G7635,高速动车,南京南,09:01,丽水,当天12:20,12:22,苍南,13:42
G7636,高速动车,温州南,19:33,丽水,当天20:07,20:09,南京南,23:02
G7643,高速动车,南京南,07:04,丽水,当天10:53,10:53,丽水,10:53
G9302,高速动车,温州南,13:05,丽水,当天13:45,13:47,上海虹桥,16:25
G9303,高速动车,上海虹桥,11:04,丽水,当天14:11,14:14,温州南,14:50
G9304,高速动车,温州南,20:33,丽水,当天21:13,21:15,上海虹桥,23:37
G9305,高速动车,杭州东,18:10,丽水,当天19:39,19:41,温州南,20:17
G9306,高速动车,温州南,15:16,丽水,当天15:56,15:58,杭州东,17:53
G9307,高速动车,杭州东,09:38,丽水,当天11:32,11:34,苍南,12:46
G9308,高速动车,苍南,13:07,丽水,当天14:24,14:26,杭州东,16:23
G9309,高速动车,杭州东,17:09,丽水,当天18:54,18:56,温州南,19:32
G9310,高速动车,温州南,19:49,丽水,当天20:29,20:31,杭州东,22:12
G9315/G9318,高速动车,合肥南,09:15,丽水,当天13:55,13:57,温州南,14:39
G9316,高速动车,温州南,09:39,丽水,当天10:19,10:21,杭州东,11:55
G9317,高速动车,杭州东,13:00,丽水,当天14:34,14:34,丽水,14:34
G9319,高速动车,杭州东,17:50,丽水,当天20:14,20:16,温州南,20:52
G9320,高速动车,温州南,21:20,丽水,当天22:00,22:02,杭州东,23:35
G9321,高速动车,杭州东,20:14,丽水,当天22:08,22:08,丽水,22:08
G9322,高速动车,丽水,22:25,丽水,当天22:25,22:25,杭州东,23:46
G9328,高速动车,温州南,20:20,丽水,当天21:00,21:02,上海虹桥,23:49
G9343,高速动车,上海虹桥,19:04,丽水,当天21:56,21:58,苍南,23:08
G9344,高速动车,苍南,06:56,丽水,当天08:18,08:20,上海虹桥,11:11
G9371,高速动车,杭州东,17:50,丽水,当天19:23,19:25,温州南,20:06
G9372,高速动车,温州南,14:55,丽水,当天15:35,15:37,杭州东,17:05
G9373,高速动车,杭州东,16:46,丽水,当天18:58,19:01,温州南,19:40
G9374,高速动车,温州南,13:51,丽水,当天14:31,14:33,杭州东,16:26
G9382,高速动车,温州南,13:05,丽水,当天13:45,13:47,上海虹桥,16:25
G9383,高速动车,上海虹桥,11:14,丽水,当天14:09,14:11,温州南,14:52
G9386,高速动车,丽水,22:20,丽水,当天22:20,22:20,杭州东,23:40
K101/K104,快速,北京,23:20,丽水,第3日03:05,03:07,温州,05:50
K102,快速,温州,12:00,丽水,当天14:15,14:18,北京,15:43
K1050/K1051,快速,温州,23:00,丽水,第2日02:12,02:16,青岛北,06:10
K1237/K1240,快速,郑州,12:33,丽水,第2日09:50,09:52,温州,11:57
K1238/K1239,快速,温州,15:10,丽水,当天17:10,17:13,郑州,12:53
K1256/K1257,快速,温州,20:00,丽水,当天21:58,22:00,成都东,07:46
K1395/K1398,快速,太原,21:14,丽水,第3日02:38,02:43,温州,05:30
K1586/K1587,快速,温州,13:47,丽水,当天15:50,15:53,武昌,05:55
K1670/K1671,快速,温州,17:50,丽水,当天19:53,19:56,九江,07:18
K2906/K2907,快速,温州,07:00,丽水,当天08:55,08:57,西安,13:39
K305/K308,快速,温州,18:50,丽水,当天21:17,21:19,兰州,08:08
K306/K307,快速,兰州,20:33,丽水,第3日10:10,10:13,温州,13:40
K325/K328,快速,温州,17:15,丽水,当天19:11,19:22,广州,16:30
K326/K327,快速,广州,10:17,丽水,第2日07:30,07:32,温州,10:00
K345/K348,快速,温州,18:20,丽水,当天20:27,20:29,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,丽水,第3日08:18,08:21,温州,11:40
K4401/K4404,快速,南昌,18:21,丽水,第2日05:23,05:27,温州,07:50
K4402/K4403,快速,温州,08:30,丽水,当天11:15,11:18,南昌,20:55
K4506,快速,温州,20:17,丽水,当天22:23,22:25,武昌,14:30
K4555/K4558,快速,汉口,09:12,丽水,第2日06:03,06:05,温州,08:47
K5622,快速,温州,16:58,丽水,当天18:51,18:54,阜阳,09:46
K8401/K8404,快速,亳州,10:43,丽水,第2日07:46,07:49,温州,10:30
K8402/K8403,快速,温州,11:20,丽水,当天13:23,13:25,阜阳,06:47
K941/K944,快速,温州,07:30,丽水,当天09:26,09:28,贵阳,09:51
K942/K943,快速,贵阳,11:15,丽水,第2日12:24,12:29,温州,14:27
