车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7273,普慢,益阳,07:12,涟源,当天10:17,10:20,怀化,16:35
7274,普慢,新晃,09:30,涟源,当天16:54,17:03,益阳,20:26
K432/K433,快速,北京西,08:42,涟源,第2日07:04,07:07,玉溪,06:56
K434,快速,玉溪,20:40,涟源,第2日20:29,20:31,北京西,22:03
K471,快速,北京西,08:42,涟源,第2日07:04,07:08,昆明,05:09
K472,快速,昆明,22:25,涟源,第2日20:29,20:31,北京西,22:03
K577/K580,快速,长沙,14:22,涟源,当天17:50,17:53,成都东,11:30
K6597,快速,长沙,13:48,涟源,当天16:40,16:43,怀化,20:48
K79,快速,上海南,18:26,涟源,第2日11:05,11:08,昆明,06:07
K80,快速,昆明,19:10,涟源,第2日12:48,12:51,上海南,05:16
K846/K847,快速,贵阳,22:20,涟源,第2日08:17,08:27,宁波,05:11
K9005/K9008,快速,张家界,15:25,涟源,当天23:30,23:33,深圳,12:35
K9013,快速,长沙,11:28,涟源,当天14:22,14:32,怀化,18:30
K9014,快速,怀化,08:50,涟源,当天12:36,12:39,长沙,15:50
K9031/K9034,快速,长沙,20:36,涟源,当天23:40,23:44,张家界,07:22
K9059/K9062,快速,怀化,13:17,涟源,当天17:12,17:15,深圳西,06:50
K9060/K9061,快速,深圳西,19:50,涟源,第2日08:10,08:13,怀化,12:36
K9067/K9070,快速,张家界,16:05,涟源,当天23:35,23:39,肇庆,12:29
K9068/K9069,快速,肇庆,18:46,涟源,第2日07:18,07:21,张家界,14:55
K942/K943,快速,贵阳,11:15,涟源,当天21:36,21:40,温州,14:27
T8303,空调特快,长沙,11:28,涟源,当天14:22,14:33,怀化,18:26
T8304,空调特快,怀化,08:50,涟源,当天12:32,12:35,长沙,15:50
