车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1303,普快,北京西,22:35,聊城,第2日03:52,03:58,郑州,09:23
1487,普快,北京西,11:05,聊城,当天16:02,16:11,郑州,22:26
1488,普快,郑州,20:55,聊城,第2日03:19,03:40,北京西,10:00
1501/1504,普快,连云港东,17:29,聊城,第2日01:51,02:10,北京,08:15
1502/1503,普快,北京,09:15,聊城,当天14:49,15:04,连云港东,23:36
3093,普快,北京西,01:30,聊城,当天08:39,08:49,麻城,17:59
3094,普快,武穴,06:12,聊城,当天18:38,18:48,北京西,00:15
3732,普快,阜阳,15:25,聊城,当天21:40,21:50,北京西,02:32
5013/5016,普快,菏泽,06:12,聊城,当天07:58,08:10,青岛,17:57
5014/5015,普快,烟台,17:30,聊城,第2日03:21,03:27,菏泽,05:14
K1011/K1014,快速,石家庄北,15:30,聊城,当天19:12,19:16,上海,10:05
K1012/K1013,快速,上海,11:41,聊城,第2日03:11,03:16,石家庄北,07:05
K105,快速,北京西,23:19,聊城,第2日04:16,04:19,深圳,04:20
K106,快速,深圳,10:31,聊城,第2日11:26,11:29,北京西,16:23
K1071,快速,北京西,12:12,聊城,当天17:17,17:20,安庆,06:18
K1072,快速,安庆,17:42,聊城,第2日05:55,06:01,北京西,10:59
K1109,快速,北京西,13:35,聊城,当天18:42,18:45,黄山,09:46
K1110,快速,黄山,16:32,聊城,第2日06:14,06:17,北京西,12:35
K1214/K1215,快速,石家庄,21:35,聊城,第2日02:14,02:42,青岛北,08:53
K1216,快速,青岛北,10:09,聊城,当天16:23,16:47,石家庄,21:13
K125/K128,快速,长春,13:32,聊城,第2日06:52,07:08,西安,20:22
K1263,快速,石家庄,14:45,聊城,当天20:23,20:29,杭州,10:51
K1264,快速,杭州,11:53,聊城,第2日02:23,02:42,石家庄,06:58
K1282/K1283,快速,深圳东,15:40,聊城,第2日16:43,17:00,济南,19:15
K1291/K1294,快速,烟台,17:38,聊城,第2日03:05,03:32,太原,09:50
K1292/K1293,快速,太原,17:25,聊城,第2日00:42,01:12,烟台,10:08
K1395/K1398,快速,太原,21:14,聊城,第2日04:41,04:47,温州,05:30
K1453,快速,北京西,12:19,聊城,当天17:49,17:55,赣州,11:40
K147,快速,北京西,09:43,聊城,当天15:16,15:19,阜阳,20:06
K148,快速,阜阳,21:13,聊城,第2日02:16,02:19,北京西,08:33
K1509/K1512,快速,义乌,11:03,聊城,第2日08:07,08:07,聊城,08:07
K1511,快速,聊城,12:59,聊城,当天12:59,12:59,金华,09:20
K1546/K1547,快速,福州,21:50,聊城,第2日23:37,23:48,佳木斯,04:47
K1575/K1578,快速,太原,10:20,聊城,当天16:39,16:45,福州,11:10
K1576/K1577,快速,福州,17:47,聊城,第2日14:31,14:37,太原,21:33
K1611/K1614,快速,连云港东,18:05,聊城,第2日01:49,02:11,北京,08:16
K1612/K1613,快速,北京,09:16,聊城,当天14:49,15:05,连云港东,23:08
K1619/K1622,快速,天津,22:20,聊城,第2日03:29,03:35,深圳东,06:34
K1901/K1904,快速,北京,23:26,聊城,第2日04:23,04:32,日照,12:42
K2045/K2048,快速,沈阳北,08:00,聊城,第2日01:32,01:38,西安,14:44
K2385/K2388,快速,长春,11:45,聊城,第2日06:10,06:16,南宁,16:55
K2386/K2387,快速,南宁,22:40,聊城,第3日08:56,09:02,长春,05:04
K329/K332,快速,天津,19:52,聊城,第2日01:10,01:25,洛阳,08:39
K330/K331,快速,洛阳,17:00,聊城,第2日00:29,00:37,天津,06:14
K4053,快速,北京西,23:56,聊城,第2日06:36,06:44,阜阳,12:40
K4131,快速,北京,01:43,聊城,当天08:49,08:57,阜阳,14:13
K4132,快速,阜阳,14:20,聊城,当天19:07,19:15,北京,00:38
K4159,快速,北京西,23:56,聊城,第2日05:30,05:38,安庆,20:34
K4160,快速,安庆,21:50,聊城,第2日10:50,10:56,北京西,15:28
K4203,快速,北京西,03:29,聊城,当天08:27,08:35,赣州,02:22
K4204,快速,东莞东,12:05,聊城,第2日16:49,16:55,北京西,21:55
K4207,快速,北京西,04:55,聊城,当天10:12,10:20,麻城,19:12
K4208,快速,蕲春,07:58,聊城,当天17:56,18:04,北京西,23:22
K4299,快速,北京,18:20,聊城,第2日00:25,00:33,合肥,08:46
K4300,快速,安庆,20:05,聊城,第2日09:41,09:48,北京,16:45
K4335/K4338,快速,呼和浩特东,12:57,聊城,第2日06:18,07:00,烟台,18:22
K4336/K4337,快速,烟台,10:30,聊城,当天19:59,20:25,呼和浩特东,11:16
K4601,快速,北京西,23:56,聊城,第2日05:30,05:38,阜阳,10:24
