车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6035/6038,普慢,通辽,09:30,林西,当天15:25,15:28,锡林浩特,20:46
6036/6037,普慢,锡林浩特,19:28,林西,第2日00:55,00:57,通辽,07:20
6039/6042,普慢,通辽,08:59,林西,当天17:43,17:46,集宁南,08:28
6040/6041,普慢,集宁南,09:28,林西,当天22:00,22:03,通辽,09:53
K1382/K1383,快速,包头,12:02,林西,第2日00:59,01:01,哈尔滨西,15:22
K1565/K1568,快速,大连,21:06,林西,第2日12:12,12:14,包头,00:34
K1566/K1567,快速,包头,12:40,林西,第2日01:36,01:38,大连,19:49
K2015/K2018,快速,通辽,10:46,林西,当天16:29,16:32,锡林浩特,22:09
K2016/K2017,快速,锡林浩特,20:31,林西,第2日02:05,02:07,通辽,07:59
K4987/K4990,快速,山海关,10:30,林西,当天23:49,23:51,包头,16:28
K4988/K4989,快速,包头,17:22,林西,第2日08:38,08:41,山海关,23:11
K895/K898,快速,通辽,12:07,林西,当天18:14,18:17,包头,08:07
K896/K897,快速,包头,15:10,林西,第2日04:20,04:38,通辽,10:39
