车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1212,快速,周口,18:18,临颍,当天19:57,20:00,新乡,22:59
K1387/K909,快速,郑州,13:21,临颍,当天14:42,14:45,重庆北,09:55
K4060,快速,周口,18:18,临颍,当天19:57,20:00,新乡,22:57
K4211,快速,郑州,14:58,临颍,当天16:43,17:05,广州东,15:44
K4212,快速,广州东,16:30,临颍,第2日16:36,16:40,郑州,18:10
K4318,快速,汉口,08:00,临颍,当天13:29,13:45,北京,01:18
K434,快速,玉溪,20:40,临颍,第3日11:49,11:54,北京西,22:03
K458,快速,海口,13:08,临颍,第2日21:23,21:47,郑州,23:13
K4635/K4638,快速,信阳,14:50,临颍,当天17:08,17:12,郑州,19:34
K4641/K4644,快速,洛阳,12:08,临颍,当天16:22,16:24,信阳,19:02
K472,快速,昆明,22:25,临颍,第3日11:49,11:54,北京西,22:03
K632/K633,快速,信阳,07:20,临颍,当天10:25,10:27,日照,21:35
K910,快速,重庆北,10:54,临颍,第2日06:03,06:06,郑州,07:45
