车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,灵石,当天21:34,21:36,兰州西,15:04
1096,普快,兰州西,16:27,灵石,第2日10:51,10:54,太原,13:29
2095,普快,太原,19:10,灵石,当天21:44,21:47,西安,07:03
2096,普快,西安,19:00,灵石,第2日04:09,04:11,太原南,07:00
2461/2464,普快,临汾,18:40,灵石,当天20:21,20:24,包头,12:00
2462/2463,普快,包头,16:14,灵石,第2日06:48,06:50,临汾,08:40
2672,普快,西安,22:53,灵石,第2日06:27,06:29,大同,15:27
4631,普快,太原,18:06,灵石,当天20:37,20:40,临汾,22:22
K4097,快速,北京西,01:35,灵石,当天17:53,17:56,临汾,19:43
K5321,快速,太原,16:05,灵石,当天18:30,18:33,临汾,20:13
K5322,快速,临汾,08:15,灵石,当天09:52,09:55,太原,12:30
K5325,快速,太原,19:10,灵石,当天21:34,21:36,河津,01:07
K5326,快速,河津,06:27,灵石,当天10:18,10:21,太原,12:52
K603,快速,北京,17:12,灵石,第2日05:51,05:53,运城,09:55
K604,快速,运城,12:36,灵石,当天16:43,16:45,北京,05:33
K609,快速,北京,23:53,灵石,第2日10:32,10:35,韩城,15:28
K690,快速,重庆北,07:47,灵石,第2日02:38,02:41,太原,05:22
K7807,快速,大同,06:20,灵石,当天15:06,15:08,运城,19:17
K7808,快速,运城,07:50,灵石,当天11:57,11:59,大同,20:12
K865/K868,快速,唐山,19:46,灵石,第2日10:06,10:09,临汾,11:51
K866/K867,快速,运城,13:32,灵石,当天17:36,17:38,唐山,07:12
