车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4351/4354,普快,通辽,06:10,柳河,当天14:40,14:42,通化,17:59
4352/4353,普快,通化,06:27,柳河,当天08:42,08:48,通辽,16:35
K429,快速,北京,11:27,柳河,第2日04:20,04:36,通化,06:24
K430/K7430,快速,白山市,15:12,柳河,当天18:24,18:26,北京,10:27
K7385,快速,大连,16:25,柳河,第2日04:57,05:02,通化,07:07
K7386,快速,通化,17:33,柳河,当天19:19,19:24,大连,08:36
K7387/K7390,快速,靖宇,06:58,柳河,当天15:12,15:15,吉林,22:52
K7388/K7389,快速,吉林,13:26,柳河,当天20:43,20:46,靖宇,05:05
K7391/K7394,快速,白山市,21:45,柳河,第2日01:00,01:03,吉林,08:45
K7392/K7393,快速,吉林,19:47,柳河,第2日03:47,03:55,通化,06:02
K7395/K7398,快速,白河,23:10,柳河,第2日07:19,07:22,沈阳,12:30
K7396/K7397,快速,沈阳,09:11,柳河,当天14:00,14:03,白河,22:29
K7521/K7524,快速,四平,13:50,柳河,当天17:47,17:52,通化,20:09
K7522/K7523,快速,通化,06:27,柳河,当天08:41,08:48,四平,12:48
K7547,快速,梅河口,17:03,柳河,当天17:47,17:50,通化,20:18
K7548,快速,通化,08:25,柳河,当天10:26,10:30,梅河口,11:05
K969/K972,快速,通化,15:33,柳河,当天17:17,17:19,青岛北,16:44
