车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5527,普快,柳州,08:10,柳州,当天08:10,08:10,金城江,10:35
5528,普快,金城江,11:30,柳州,当天13:53,13:53,柳州,13:53
5529,普快,柳州,15:05,柳州,当天15:05,15:05,金城江,17:40
5530,普快,金城江,18:50,柳州,当天21:20,21:20,柳州,21:20
5533,普快,柳州,08:08,柳州,当天08:08,08:08,湛江,15:20
5534,普快,湛江,16:00,柳州,当天23:19,23:19,柳州,23:19
5537/5540,普快,金城江,08:00,柳州,当天10:10,10:30,湛江,17:25
5538/5539,普快,湛江,12:40,柳州,当天19:09,19:26,金城江,22:15
D2943/D2946,动车组,柳州,14:10,柳州,当天14:10,14:10,广州南,18:31
D2944/D2945,动车组,广州南,08:25,柳州,当天13:44,13:44,柳州,13:44
D2947/D2950,动车组,柳州,16:07,柳州,当天16:07,16:07,广州南,20:30
D2948/D2949,动车组,广州南,11:31,柳州,当天15:47,15:47,柳州,15:47
D2951/D2954,动车组,柳州,08:30,柳州,当天08:30,08:30,广州南,12:50
D2952/D2953,动车组,广州南,13:10,柳州,当天17:05,17:05,柳州,17:05
D2955/D2958,动车组,柳州,12:37,柳州,当天12:37,12:37,广州南,17:04
D2956/D2957,动车组,广州南,17:25,柳州,当天21:38,21:38,柳州,21:38
D2991/D2994,动车组,柳州,11:58,柳州,当天11:58,11:58,广州南,16:00
D2992/D2993,动车组,广州南,07:18,柳州,当天11:37,11:37,柳州,11:37
D3522,动车组,南宁东,07:50,柳州,当天09:06,09:09,贵阳北,13:20
D3523,动车组,贵阳北,13:47,柳州,当天18:02,18:05,南宁东,19:27
D3525,动车组,贵阳北,16:31,柳州,当天20:34,20:39,南宁东,21:55
D3526,动车组,南宁东,10:15,柳州,当天11:37,11:41,贵阳北,15:47
D3529,动车组,贵阳北,15:55,柳州,当天20:22,20:27,梧州南,22:44
D3530,动车组,梧州南,09:00,柳州,当天11:30,11:34,贵阳北,15:27
D3561,动车组,贵阳北,07:16,柳州,当天11:13,11:16,北海,14:40
D3562,动车组,南宁东,07:50,柳州,当天09:06,09:09,贵阳北,13:25
D3563,动车组,贵阳北,08:16,柳州,当天12:13,12:17,北海,15:16
D3565,动车组,贵阳北,13:54,柳州,当天17:48,17:53,南宁东,19:23
D3566,动车组,南宁东,10:15,柳州,当天11:37,11:41,贵阳北,15:53
D3567,动车组,贵阳北,16:00,柳州,当天20:11,20:15,梧州南,22:50
D3568,动车组,北海,14:30,柳州,当天18:16,18:20,贵阳北,22:24
D3569,动车组,贵阳北,16:14,柳州,当天20:32,20:37,南宁东,21:59
D3570,动车组,北海,15:10,柳州,当天18:48,18:52,贵阳北,22:49
D3652,动车组,广州南,12:58,柳州,当天17:13,17:13,柳州,17:13
D3655,动车组,柳州,17:29,柳州,当天17:29,17:29,广州南,21:42
D3657,动车组,柳州,13:52,柳州,当天13:52,13:52,广州南,17:48
D3658/D3754,动车组,广州南,09:36,柳州,当天13:31,13:31,柳州,13:31
D3665,动车组,柳州,12:48,柳州,当天12:48,12:48,广州南,17:18
D3666,动车组,广州南,08:14,柳州,当天12:27,12:27,柳州,12:27
D3667,动车组,柳州,18:13,柳州,当天18:13,18:13,广州南,22:45
D3668,动车组,广州南,13:32,柳州,当天17:45,17:45,柳州,17:45
D3671/D3674,动车组,柳州,18:32,柳州,当天18:32,18:32,广州南,22:53
D3672/D3673,动车组,广州南,13:07,柳州,当天17:50,17:50,柳州,17:50
D3675/D3678,动车组,柳州,11:53,柳州,当天11:53,11:53,广州南,16:01
D3751,动车组,桂林北,06:45,柳州,当天08:17,08:21,广州南,12:41
D3752,动车组,广州南,08:12,柳州,当天12:31,12:31,柳州,12:31
D3753,动车组,柳州,12:54,柳州,当天12:54,12:54,广州南,17:16
D3755,动车组,柳州,13:53,柳州,当天13:53,13:53,广州南,18:09
D3756,动车组,广州南,12:39,柳州,当天16:44,16:44,柳州,16:44
D3757,动车组,柳州,17:04,柳州,当天17:04,17:04,广州南,21:26
D3758,动车组,广州南,12:45,柳州,当天17:26,17:26,柳州,17:26
D3759,动车组,柳州,17:47,柳州,当天17:47,17:47,广州南,22:15
D3760,动车组,广州南,13:32,柳州,当天17:45,17:45,柳州,17:45
D3761,动车组,柳州,18:08,柳州,当天18:08,18:08,广州南,22:45
D3762,动车组,广州南,17:46,柳州,当天21:45,21:49,桂林,22:54
D3943,动车组,衡阳东,07:05,柳州,当天11:05,11:10,昆明南,18:00
D3945,动车组,桂林,14:48,柳州,当天15:53,15:57,昆明南,22:18
D3946,动车组,昆明南,15:19,柳州,当天21:39,21:43,桂林,22:48
D4125,动车组,桂林北,07:15,柳州,当天08:40,08:43,昆明南,15:18
D4126,动车组,昆明南,15:45,柳州,当天22:07,22:10,桂林北,23:32
D4706,动车组,广州南,09:19,柳州,当天13:27,13:27,柳州,13:27
D8201,动车组,桂林,07:20,柳州,当天08:24,08:27,南宁东,09:55
D8202,动车组,南宁,07:25,柳州,当天09:00,09:03,桂林,10:06
D8203,动车组,桂林北,08:10,柳州,当天09:42,09:45,南宁东,11:13
D8204,动车组,南宁东,08:53,柳州,当天10:15,10:19,桂林,11:30
D8205,动车组,兴安北,08:10,柳州,当天10:03,10:08,南宁,11:54
D8206,动车组,南宁东,10:25,柳州,当天11:43,11:47,桂林,12:52
D8207,动车组,桂林,16:31,柳州,当天17:35,17:38,南宁,19:24
D8208,动车组,南宁东,11:40,柳州,当天13:08,13:12,桂林,14:24
D8209,动车组,桂林,10:25,柳州,当天11:29,11:33,南宁,13:03
D8210,动车组,南宁东,17:35,柳州,当天19:00,19:08,桂林北,20:46
D8211,动车组,桂林,13:56,柳州,当天15:01,15:05,南宁东,16:33
D8212,动车组,南宁东,18:40,柳州,当天20:08,20:12,桂林北,21:45
D8213,动车组,桂林,15:37,柳州,当天16:48,16:51,南宁东,18:13
D8214,动车组,南宁东,19:15,柳州,当天20:37,20:43,桂林北,22:08
D8215,动车组,桂林,16:08,柳州,当天17:20,17:28,南宁东,18:50
D8216,动车组,南宁东,11:38,柳州,当天13:07,13:11,桂林,14:28
D8217,动车组,桂林北,16:15,柳州,当天17:29,17:34,南宁东,18:56
D8218,动车组,南宁东,19:45,柳州,当天21:07,21:11,桂林北,22:32
D8219,动车组,桂林,17:54,柳州,当天19:05,19:09,南宁东,20:25
D8220,动车组,南宁东,20:47,柳州,当天22:03,22:07,桂林,23:12
D8221,动车组,桂林,18:12,柳州,当天19:23,19:27,南宁东,20:43
D8222,动车组,南宁,06:15,柳州,当天07:52,07:52,柳州,07:52
D8223,动车组,桂林北,18:40,柳州,当天20:01,20:05,南宁东,21:28
D8224,动车组,南宁东,20:05,柳州,当天21:27,21:33,桂林北,22:56
D8225,动车组,桂林北,20:37,柳州,当天21:57,22:00,南宁东,23:22
D8231/D8234,动车组,南宁东,09:30,柳州,当天10:52,10:55,贺州,13:36
D8232/D8233,动车组,贺州,08:10,柳州,当天11:06,11:09,南宁东,12:31
D8235/D8238,动车组,南宁东,12:58,柳州,当天14:26,14:29,贺州,17:24
D8236/D8237,动车组,贺州,13:56,柳州,当天16:35,16:38,南宁东,18:00
D8240,动车组,贺州,17:45,柳州,当天20:38,20:46,南宁东,22:08
D8241/D8244,动车组,贺州,17:45,柳州,当天20:38,20:46,南宁东,22:08
D8242/D8243,动车组,南宁东,18:21,柳州,当天19:43,19:46,贺州,22:28
D8246,动车组,北海,08:00,柳州,当天11:17,11:20,贺州,13:51
D8247,动车组,柳州,06:35,柳州,当天06:35,06:35,北海,09:59
D8248,动车组,北海,19:55,柳州,当天23:28,23:28,柳州,23:28
D8251,动车组,柳州,06:35,柳州,当天06:35,06:35,南宁,08:10
D8252,动车组,北海,19:52,柳州,当天23:19,23:19,柳州,23:19
D8253,动车组,柳州,08:00,柳州,当天08:00,08:00,北海,11:11
D8255,动车组,柳州,17:18,柳州,当天17:18,17:18,北海,20:24
D8257,动车组,柳州,17:34,柳州,当天17:34,17:34,南宁东,18:56
D8259,动车组,柳州,22:05,柳州,当天22:05,22:05,南宁东,23:21
D8261,动车组,桂林,08:00,柳州,当天09:04,09:07,北海,12:13
D8262,动车组,北海,08:44,柳州,当天12:05,12:11,桂林,13:15
D8263,动车组,贺州,08:10,柳州,当天10:54,10:58,南宁东,12:20
D8264,动车组,北海,09:45,柳州,当天13:17,13:21,桂林,14:37
D8265,动车组,桂林,11:51,柳州,当天12:55,13:01,北海,16:17
D8266,动车组,贺州,13:56,柳州,当天16:33,16:38,南宁东,18:00
D8267,动车组,桂林,15:00,柳州,当天16:10,16:15,北海,19:22
D8268,动车组,南宁东,09:30,柳州,当天10:52,10:55,贺州,13:36
D8269/D8272,动车组,南宁东,12:58,柳州,当天14:26,14:29,贺州,17:23
D8270,动车组,北海,17:26,柳州,当天20:48,20:52,桂林北,22:11
D8271,动车组,贺州,17:45,柳州,当天20:39,20:45,南宁东,22:08
D8274,动车组,北海,09:50,柳州,当天13:16,13:20,桂林,14:29
D8277/D8280,动车组,南宁东,18:20,柳州,当天19:36,19:40,贺州,22:10
D8293,动车组,桂林北,08:00,柳州,当天09:31,09:34,防城港北,12:23
D8294,动车组,防城港北,12:50,柳州,当天16:02,16:05,桂林北,17:27
D8295,动车组,桂林,13:10,柳州,当天14:24,14:27,防城港北,17:18
D8296,动车组,防城港北,18:05,柳州,当天21:19,21:22,桂林北,22:41
D8341,动车组,桂林,18:05,柳州,当天19:10,19:14,南宁东,20:37
D8342,动车组,百色,12:58,柳州,当天16:30,16:36,桂林,17:40
