车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D81/D84,动车组,杭州东,15:10,龙游,当天16:31,16:38,九江,20:04
G1301/G9699,高速动车,上海虹桥,10:23,龙游,当天12:41,12:43,广州南,19:03
G1321,高速动车,上海虹桥,06:25,龙游,当天08:20,08:22,贵阳北,15:38
G1324,高速动车,贵阳北,10:06,龙游,当天17:23,17:25,上海虹桥,19:23
G1325,高速动车,南京南,07:39,龙游,当天11:31,11:33,贵阳北,18:31
G1328,高速动车,贵阳北,11:54,龙游,当天19:18,19:20,上海虹桥,21:42
G1350,高速动车,长沙南,09:27,龙游,当天12:44,12:46,上海虹桥,14:54
G1377,高速动车,南京南,07:39,龙游,当天11:31,11:33,昆明南,21:20
G1383,高速动车,上海虹桥,06:45,龙游,当天08:55,08:57,南昌西,10:47
G1387,高速动车,上海虹桥,12:20,龙游,当天14:23,14:27,南昌西,16:13
G1452,高速动车,南昌西,09:17,龙游,当天11:01,11:03,杭州东,12:11
G1455,高速动车,杭州东,15:50,龙游,当天17:02,17:04,南昌西,19:05
G1483,高速动车,南京南,15:18,龙游,当天17:53,17:55,长沙南,21:41
G1517/G1520,高速动车,黄山北,08:11,龙游,当天10:01,10:03,上海虹桥,12:22
G1632,高速动车,福州,08:00,龙游,当天10:37,10:39,上海虹桥,12:35
G1636,高速动车,福州,12:26,龙游,当天14:47,14:49,上海虹桥,16:55
G1639,高速动车,上海虹桥,17:22,龙游,当天19:25,19:30,福州,22:08
G1653,高速动车,上海虹桥,08:15,龙游,当天10:11,10:13,厦门北,14:40
G1657,高速动车,上海虹桥,10:18,龙游,当天12:21,12:23,厦门北,16:46
G1658,高速动车,厦门北,16:15,龙游,当天20:43,20:44,上海虹桥,22:47
G2321/G2324,高速动车,南昌西,09:51,龙游,当天11:51,11:57,温州南,13:49
G2326/G2327,高速动车,温州南,09:07,龙游,当天11:06,11:13,南昌西,13:07
G2356/G2357,高速动车,宁波,14:43,龙游,当天17:18,17:21,南昌西,19:21
G2361/G2364,高速动车,贵阳北,07:30,龙游,当天14:38,14:40,宁波,17:14
G2362/G2363,高速动车,宁波,10:47,龙游,当天13:11,13:14,贵阳北,20:46
G46,高速动车,江山,08:04,龙游,当天08:28,08:30,北京南,15:28
G4762,高速动车,南昌西,17:12,龙游,当天19:28,19:41,上海虹桥,21:51
G4771,高速动车,上海虹桥,10:23,龙游,当天12:41,12:43,萍乡北,15:29
G4772,高速动车,萍乡北,15:56,龙游,当天19:18,19:20,上海虹桥,21:42
G4774,高速动车,南昌西,08:57,龙游,当天11:13,11:26,杭州东,12:35
G4780,高速动车,南昌西,07:41,龙游,当天10:00,10:02,南京南,12:55
G4835,高速动车,上海虹桥,05:01,龙游,当天06:48,06:50,贵阳北,14:17
G4838,高速动车,怀化南,14:48,龙游,当天19:54,19:59,南京南,22:45
G7361,高速动车,杭州东,05:50,龙游,当天06:57,06:59,江山,07:24
G7364/G7366,高速动车,江山,07:39,龙游,当天08:03,08:05,上海虹桥,10:36
G7367,高速动车,上海虹桥,16:08,龙游,当天18:10,18:12,江山,18:30
G7371/G7374,高速动车,合肥南,14:57,龙游,当天20:37,20:44,江山,21:09
G7372/G7373,高速动车,江山,06:27,龙游,当天06:51,06:53,合肥南,12:38
G7381,高速动车,上海虹桥,19:15,龙游,当天21:40,21:42,衢州,21:54
G7382,高速动车,衢州,07:15,龙游,当天07:26,07:28,上海虹桥,09:58
G7384,高速动车,衢州,21:15,龙游,当天21:26,21:28,杭州东,22:35
G7385/G7388,高速动车,合肥南,14:26,龙游,当天20:11,20:13,衢州,20:25
G7692/G7693,高速动车,江山,13:19,龙游,当天13:43,13:45,合肥南,17:37
G7698,高速动车,江山,15:44,龙游,当天16:08,16:13,徐州东,21:08
G912,高速动车,福州,08:00,龙游,当天10:37,10:39,上海虹桥,12:35
G9314,高速动车,衢州,19:42,龙游,当天19:53,19:59,杭州东,21:09
G9326,高速动车,衢州,18:09,龙游,当天18:20,18:22,上海虹桥,20:25
G9392,高速动车,衢州,22:20,龙游,当天22:31,22:33,杭州东,23:41
K1245/K1248,快速,宁波,16:58,龙游,当天22:50,22:53,重庆,09:24
K325/K328,快速,温州,17:15,龙游,当天23:00,23:03,广州,16:30
K759,快速,上海南,12:01,龙游,当天17:32,17:35,衡阳,05:00
K8371,快速,徐州,18:42,龙游,第2日12:14,12:41,江山,14:33
K8372,快速,江山,15:33,龙游,当天16:18,16:21,淮北,07:33
K846/K847,快速,贵阳,22:20,龙游,第2日22:17,22:20,宁波,05:11
T3085/T3088,空调特快,广州,17:42,龙游,第2日10:09,10:13,上海南,15:57
T3087,空调特快,上海南,17:41,龙游,当天23:25,23:30,广州,16:05
