车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3030/3031,普快,库尔勒,17:05,漯河,第3日22:46,23:30,襄阳,09:56
3062/3063,普快,平顶山,13:25,漯河,当天14:46,15:09,佛山,14:52
3155/3158,普快,奎屯,16:51,漯河,第3日23:00,23:33,信阳,03:40
3166/3167,普快,周口,19:30,漯河,当天20:23,20:56,广州东,19:50
3251,普快,漯河,20:45,漯河,当天20:45,20:45,广州东,18:17
3545,普快,漯河,16:43,漯河,当天16:43,16:43,广州,14:57
3902/3903,普快,汉口,23:59,漯河,第2日05:37,06:12,乌鲁木齐南,04:29
K1045/K1048,快速,上海,20:28,漯河,第2日12:01,12:01,漯河,12:01
K1046/K1047,快速,漯河,14:40,漯河,当天14:40,14:40,上海,05:15
K1160/K1161,快速,广州,08:15,漯河,第2日02:13,03:03,烟台,21:36
K1211,快速,郑州,13:55,漯河,当天15:39,15:59,周口,16:52
K1212,快速,周口,18:18,漯河,当天19:14,19:34,新乡,22:59
K1276/K1277,快速,南昌,09:52,漯河,当天20:34,20:37,包头,20:30
K1316/K1317,快速,福州,11:50,漯河,第2日05:12,05:18,呼和浩特东,08:30
K1377/K1380,快速,绍兴,21:03,漯河,第2日13:38,14:12,洛阳,19:39
K1378/K1379,快速,洛阳,21:35,漯河,第2日03:28,03:58,绍兴,20:03
K1387/K909,快速,郑州,13:21,漯河,当天15:09,15:34,重庆北,09:55
K158,快速,湛江,19:30,漯河,第2日20:12,20:14,北京西,05:52
K1627,快速,郑州,17:15,漯河,当天19:05,19:08,南宁,19:08
K1628,快速,南宁,14:50,漯河,第2日13:52,13:55,郑州,15:39
K21,快速,北京西,08:06,漯河,当天19:48,20:00,南宁,19:35
K226/K227,快速,广州,20:20,漯河,第2日14:37,14:40,兰州,08:44
K237/K240,快速,太原,23:15,漯河,第2日15:35,16:05,深圳西,13:40
K278/K279,快速,北京西,09:52,漯河,当天21:08,21:33,十堰,05:36
K280,快速,十堰,11:20,漯河,当天20:05,20:42,北京西,08:51
K337,快速,郑州,19:52,漯河,当天22:06,22:09,昆明,05:58
