车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2593/2596,普快,郑州,20:40,马鞍山,第2日08:12,08:17,杭州,13:20
2594/2595,普快,杭州,15:24,马鞍山,当天20:39,20:43,郑州,08:45
3215/3218,普快,成都,03:20,马鞍山,第2日06:31,06:36,上海,13:16
3216/3217,普快,上海,13:32,马鞍山,当天20:53,20:57,成都,00:25
3255/3258,普快,成都,16:10,马鞍山,第3日08:31,08:35,上海,14:54
3256/3257,普快,上海,16:25,马鞍山,当天22:22,22:26,成都,15:43
3801/3804,普快,安康,23:58,马鞍山,第2日20:19,20:24,上海,02:08
K101/K104,快速,北京,23:20,马鞍山,第2日15:29,15:34,温州,05:50
K102,快速,温州,12:00,马鞍山,当天23:56,23:59,北京,15:43
K1191,快速,南京,19:50,马鞍山,当天21:10,21:14,南宁,23:40
K1192,快速,南宁,15:08,马鞍山,第2日16:44,16:50,南京,18:29
K1325/K1328,快速,苏州,16:58,马鞍山,当天21:48,21:53,南昌,06:01
K1326/K1327,快速,南昌,21:50,马鞍山,第2日05:36,05:40,苏州,10:14
K155,快速,南京,16:23,马鞍山,当天17:44,17:51,昆明,07:04
K1555/K1558,快速,南宁,21:40,马鞍山,第3日00:48,00:52,上海,06:13
K156,快速,昆明,19:18,马鞍山,第3日08:43,08:48,南京,09:48
K161,快速,徐州,19:33,马鞍山,第2日01:47,01:54,南宁,05:20
K1651/K1654,快速,郑州,20:41,马鞍山,第2日08:12,08:17,杭州,13:20
K1652/K1653,快速,杭州,15:59,马鞍山,当天20:40,20:46,郑州,08:28
K221/K224,快速,泰州,15:07,马鞍山,当天19:17,19:20,广州,19:26
K222/K223,快速,广州,08:52,马鞍山,第2日08:24,08:27,泰州,12:12
K25,快速,南京,15:40,马鞍山,当天16:45,16:49,深圳,16:18
K26,快速,深圳,12:20,马鞍山,第2日12:48,12:51,南京,14:03
K33/K36,快速,苏州,18:02,马鞍山,当天22:12,22:15,深圳,22:33
K34/K35,快速,深圳,12:17,马鞍山,第2日12:48,12:51,苏州,17:05
K345/K348,快速,温州,18:20,马鞍山,第2日06:18,06:21,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,马鞍山,第2日21:23,21:27,温州,11:40
K4137/K4140,快速,成都,20:01,马鞍山,第3日06:53,06:57,上海,14:29
K4138/K4139,快速,上海,17:13,马鞍山,当天22:45,22:51,成都,09:14
K46,快速,福州,18:12,马鞍山,第2日13:47,13:52,北京,05:07
K4615/K4618,快速,南充,18:45,马鞍山,第2日19:37,19:41,上海,01:47
K4616/K4617,快速,上海,02:44,马鞍山,当天09:22,09:29,南充,11:37
K721/K724,快速,昆明,18:53,马鞍山,第3日05:58,06:03,南通,11:15
K782/K783,快速,上海,12:28,马鞍山,当天18:20,18:25,鹰潭,05:40
K8417/K8420,快速,黄山,20:08,马鞍山,第2日01:25,01:29,上海,08:03
K8418/K8419,快速,上海,20:16,马鞍山,第2日01:20,01:27,黄山,07:11
K905/K908,快速,太原,09:54,马鞍山,第2日03:19,03:22,杭州,08:24
K906/K907,快速,杭州,12:50,马鞍山,当天17:49,17:59,太原,12:02
T151/T154,空调特快,泰州,15:35,马鞍山,当天19:07,19:12,广州,17:00
T152/T153,空调特快,广州,09:04,马鞍山,第2日07:36,07:43,泰州,10:56
