车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5801,普快,乌鲁木齐,22:36,玛纳斯,第2日00:55,00:57,阿拉山口,07:38
5802/X802,普快,阿拉山口,23:12,玛纳斯,第2日06:34,06:36,乌鲁木齐,08:58
K9751,快速,乌鲁木齐南,12:43,玛纳斯,当天14:17,14:19,奎屯,16:06
K9752,快速,奎屯,12:40,玛纳斯,当天14:02,14:06,乌鲁木齐南,15:40
K9765,快速,乌鲁木齐,19:02,玛纳斯,当天20:51,20:54,霍尔果斯,07:42
K9766,快速,霍尔果斯,21:30,玛纳斯,第2日08:57,09:00,乌鲁木齐,10:52
K9789,快速,乌鲁木齐,20:07,玛纳斯,当天21:38,21:40,霍尔果斯,07:43
K9790,快速,霍尔果斯,20:00,玛纳斯,第2日04:36,04:38,乌鲁木齐,06:30
T9563,空调特快,乌鲁木齐南,15:18,玛纳斯,当天16:38,16:40,奎屯,17:58
T9564,空调特快,奎屯,18:30,玛纳斯,当天19:46,19:48,乌鲁木齐南,21:09
