车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4351/4354,普快,通辽,06:10,梅河口,当天13:59,14:05,通化,17:59
4352/4353,普快,通化,06:27,梅河口,当天09:32,09:41,通辽,16:35
K216,快速,图们,11:22,梅河口,当天21:18,21:24,北京,11:53
K429,快速,北京,11:27,梅河口,第2日03:37,03:47,通化,06:24
K430/K7430,快速,白山市,15:12,梅河口,当天18:59,19:05,北京,10:27
K5041,快速,梅河口,08:00,梅河口,当天08:00,08:00,烟筒山,09:40
K5042,快速,烟筒山,15:13,梅河口,当天17:03,17:03,梅河口,17:03
K5043,快速,梅河口,17:40,梅河口,当天17:40,17:40,烟筒山,19:20
K5044,快速,烟筒山,20:00,梅河口,当天21:50,21:50,梅河口,21:50
K5087,快速,沈阳北,15:53,梅河口,当天20:00,20:37,松江河,05:05
K5088,快速,松江河,16:15,梅河口,当天23:37,00:10,沈阳北,05:02
K5097,快速,沈阳北,16:55,梅河口,当天21:41,22:08,白河,07:35
K5098,快速,白河,19:58,梅河口,第2日05:33,06:05,沈阳北,10:42
K7369,快速,营口,12:32,梅河口,当天20:35,20:43,图们,07:40
K7370,快速,图们,17:00,梅河口,第2日03:00,03:08,营口,11:12
K7375,快速,大连,17:19,梅河口,第2日03:03,03:11,吉林,06:26
K7376,快速,吉林,15:45,梅河口,当天19:22,19:28,大连,05:41
K7385,快速,大连,16:25,梅河口,第2日04:08,04:23,通化,07:07
K7386,快速,通化,17:33,梅河口,当天19:58,20:06,大连,08:36
K7387/K7390,快速,靖宇,06:58,梅河口,当天15:50,15:58,吉林,22:52
K7388/K7389,快速,吉林,13:26,梅河口,当天20:01,20:09,靖宇,05:05
K7391/K7394,快速,白山市,21:45,梅河口,第2日01:48,01:58,吉林,08:45
K7392/K7393,快速,吉林,19:47,梅河口,第2日02:50,02:58,通化,06:02
K7395/K7398,快速,白河,23:10,梅河口,第2日07:55,08:22,沈阳,12:30
K7396/K7397,快速,沈阳,09:11,梅河口,当天13:04,13:28,白河,22:29
K7511,快速,大连,14:00,梅河口,第2日00:31,00:59,白河,09:15
K7512,快速,白河,17:35,梅河口,第2日02:07,02:32,大连,12:58
K7521/K7524,快速,四平,13:50,梅河口,当天16:52,17:02,通化,20:09
K7522/K7523,快速,通化,06:27,梅河口,当天09:32,09:41,四平,12:48
K7541,快速,沈阳,15:42,梅河口,当天21:41,21:41,梅河口,21:41
K7542,快速,梅河口,04:20,梅河口,当天04:20,04:20,沈阳,09:56
K7545,快速,沈阳,13:15,梅河口,当天17:25,17:25,梅河口,17:25
K7546,快速,梅河口,07:25,梅河口,当天07:25,07:25,沈阳,12:23
K7547,快速,梅河口,17:03,梅河口,当天17:03,17:03,通化,20:18
K7548,快速,通化,08:25,梅河口,当天11:05,11:05,梅河口,11:05
K76/K77,快速,宁波,15:43,梅河口,第3日04:00,04:10,长春,09:39
K969/K972,快速,通化,15:33,梅河口,当天17:52,18:15,青岛北,16:44
