车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4043,普快,牡丹江,14:12,密山,当天19:29,19:29,密山,19:29
K5155,快速,鸡西,23:59,密山,第2日01:19,01:37,虎林,03:07
K5156,快速,密山,13:10,密山,当天13:10,13:10,鸡西,15:15
K5191,快速,鸡西,14:20,密山,当天16:19,16:24,虎林,18:12
K5192,快速,虎林,09:49,密山,当天11:33,11:35,鸡西,13:26
K7027,快速,哈尔滨东,21:38,密山,第2日07:26,07:26,密山,07:26
K7028,快速,密山,20:36,密山,当天20:36,20:36,哈尔滨东,06:42
K7077,快速,牡丹江,07:55,密山,当天12:26,12:41,东方红,16:07
K7081,快速,香坊,16:30,密山,第2日02:06,02:14,东方红,05:10
K7082,快速,东方红,16:45,密山,当天19:39,19:43,香坊,05:23
K7135/K7138,快速,虎林,18:37,密山,当天20:10,20:15,绥化,07:49
K7136/K7137,快速,绥化,16:32,密山,第2日04:28,04:37,虎林,06:07
